index,content,difficulty,board,row,column
14,"6, 5, 7, 5, 8, 3, 2, 6, 7, 3, 5, 1, 0, 4, 8, 2, 4, 0, 1, 4, 9, 4, 0, 9, 3, 5, 3, 0, 9, 1, 6, 8, 1, 8, 6, 7, 9, 7, 2, 2",28.944,1,8,5
15,"3, 2, 3, 2, 2, 7, 2, 3, 9, 5, 5, 6, 0, 3, 5, 4, 8, 0, 6, 4, 4, 8, 0, 7, 9, 6, 9, 0, 1, 8, 9, 7, 1, 1, 6, 5, 7, 1, 4, 8",29.256,1,8,5
16,"5, 5, 6, 3, 9, 8, 3, 2, 1, 9, 8, 1, 0, 6, 7, 9, 4, 0, 9, 1, 6, 1, 0, 7, 3, 2, 5, 0, 4, 3, 4, 5, 6, 4, 8, 2, 7, 8, 2, 7",29.511,1,8,5
17,"7, 7, 3, 2, 3, 2, 8, 5, 6, 3, 5, 3, 0, 4, 4, 9, 6, 0, 5, 7, 9, 1, 0, 4, 7, 2, 5, 0, 8, 2, 1, 9, 1, 4, 6, 8, 6, 1, 9, 8",29.796,1,8,5
18,"5, 8, 4, 3, 8, 4, 5, 7, 3, 5, 7, 5, 0, 4, 3, 6, 2, 0, 2, 6, 8, 1, 0, 3, 1, 8, 7, 0, 7, 6, 1, 9, 1, 4, 6, 9, 9, 9, 2, 2",30.107,1,8,5
19,"9, 6, 8, 9, 6, 7, 9, 5, 5, 2, 7, 4, 0, 7, 1, 2, 3, 0, 1, 4, 6, 8, 0, 7, 4, 2, 4, 0, 9, 1, 3, 3, 3, 6, 2, 5, 1, 5, 8, 8",30.378,1,8,5
20,"1, 8, 3, 4, 4, 8, 2, 3, 5, 1, 2, 9, 0, 8, 8, 6, 5, 0, 2, 5, 3, 3, 0, 9, 4, 7, 6, 0, 4, 1, 7, 7, 2, 5, 1, 9, 6, 6, 7, 9",30.668,1,8,5
21,"2, 9, 2, 4, 3, 3, 7, 7, 9, 4, 2, 1, 0, 1, 4, 1, 9, 0, 5, 7, 3, 8, 0, 4, 9, 5, 6, 0, 6, 8, 1, 6, 2, 8, 3, 5, 6, 8, 5, 7",30.961,1,8,5
22,"3, 2, 8, 5, 7, 2, 9, 8, 4, 7, 3, 6, 0, 3, 4, 8, 1, 0, 8, 1, 9, 5, 0, 4, 5, 6, 3, 0, 7, 4, 6, 2, 2, 6, 1, 9, 1, 9, 7, 5",31.254,1,8,5
23,"1, 5, 6, 1, 5, 6, 9, 9, 3, 7, 4, 3, 0, 5, 3, 8, 2, 0, 4, 4, 9, 2, 0, 4, 5, 9, 7, 0, 6, 7, 8, 2, 6, 8, 1, 2, 7, 3, 8, 1",31.549,1,8,5
24,"1, 2, 9, 9, 1, 1, 5, 8, 5, 4, 7, 4, 0, 5, 3, 9, 4, 0, 2, 8, 7, 7, 0, 8, 1, 5, 4, 0, 3, 6, 6, 6, 2, 7, 8, 9, 6, 2, 3, 3",31.836,1,8,5
25,"9, 8, 3, 8, 4, 1, 1, 3, 9, 6, 3, 5, 0, 6, 4, 7, 6, 0, 1, 2, 2, 2, 0, 5, 8, 7, 9, 0, 4, 4, 5, 7, 2, 8, 6, 3, 7, 9, 5, 1",32.144,1,8,5
26,"3, 7, 5, 6, 7, 5, 9, 4, 4, 3, 9, 9, 0, 6, 1, 8, 1, 0, 9, 8, 2, 4, 0, 6, 7, 5, 2, 0, 3, 7, 3, 1, 4, 6, 2, 8, 2, 5, 8, 1",32.423,1,8,5
27,"1, 7, 3, 1, 9, 9, 5, 2, 6, 8, 4, 3, 0, 2, 5, 2, 6, 0, 6, 7, 4, 1, 0, 7, 8, 1, 5, 0, 4, 2, 7, 8, 6, 4, 5, 8, 9, 3, 3, 9",32.71,1,8,5
28,"6, 5, 7, 3, 5, 8, 2, 6, 1, 1, 1, 1, 0, 7, 4, 5, 2, 0, 4, 2, 3, 8, 0, 9, 2, 8, 9, 0, 4, 7, 8, 9, 4, 5, 7, 6, 9, 3, 6, 3",33.002,1,8,5
29,"4, 7, 5, 6, 6, 9, 3, 3, 7, 2, 9, 2, 0, 4, 7, 7, 6, 0, 5, 4, 1, 8, 0, 4, 8, 1, 9, 0, 2, 1, 6, 5, 2, 8, 1, 3, 8, 9, 3, 5",33.298,1,8,5
30,"5, 4, 9, 8, 3, 6, 5, 9, 4, 1, 2, 8, 0, 7, 1, 5, 8, 0, 2, 2, 7, 6, 0, 9, 2, 9, 1, 0, 1, 8, 5, 4, 3, 3, 7, 7, 4, 6, 6, 3",33.585,1,8,5
31,"4, 7, 7, 3, 9, 5, 5, 9, 6, 6, 5, 3, 0, 4, 1, 5, 2, 0, 3, 8, 3, 4, 0, 6, 7, 2, 8, 0, 4, 1, 9, 6, 8, 8, 1, 7, 2, 1, 2, 9",33.877,1,8,5
32,"2, 4, 2, 2, 1, 1, 6, 4, 4, 8, 3, 9, 0, 3, 4, 6, 6, 0, 7, 9, 6, 3, 0, 7, 8, 5, 3, 0, 1, 5, 5, 5, 9, 2, 1, 7, 8, 9, 7, 8",34.171,1,8,5
33,"6, 4, 7, 7, 6, 6, 5, 6, 9, 1, 4, 2, 0, 9, 3, 1, 3, 0, 5, 2, 7, 8, 0, 7, 2, 9, 4, 0, 5, 8, 9, 4, 8, 2, 1, 3, 3, 8, 1, 5",34.46,1,8,5
34,"9, 2, 7, 2, 2, 4, 2, 7, 4, 6, 3, 6, 0, 7, 5, 6, 7, 0, 5, 3, 8, 8, 0, 9, 9, 4, 5, 0, 9, 1, 6, 8, 4, 1, 1, 1, 3, 3, 5, 8",34.752,1,8,5
35,"3, 8, 5, 1, 3, 6, 5, 5, 8, 3, 6, 1, 0, 2, 2, 4, 4, 0, 2, 9, 7, 2, 0, 6, 1, 8, 6, 0, 4, 1, 5, 7, 4, 3, 9, 9, 8, 7, 7, 9",35.044,1,8,5
36,"6, 4, 1, 9, 2, 7, 3, 8, 3, 7, 1, 9, 0, 3, 2, 8, 7, 0, 7, 4, 8, 9, 0, 8, 2, 6, 4, 0, 5, 2, 1, 4, 3, 5, 6, 5, 9, 1, 5, 6",35.336,1,8,5
37,"6, 7, 7, 6, 8, 9, 9, 6, 4, 3, 8, 1, 0, 4, 1, 5, 4, 0, 2, 7, 9, 3, 0, 3, 1, 4, 5, 0, 2, 3, 5, 7, 2, 9, 1, 5, 6, 8, 2, 8",35.627,1,8,5
38,"4, 2, 3, 4, 4, 5, 9, 9, 8, 1, 7, 6, 0, 8, 2, 5, 3, 0, 5, 1, 9, 9, 0, 8, 1, 4, 5, 0, 1, 7, 3, 6, 6, 2, 8, 2, 7, 7, 3, 6",35.919,1,8,5
39,"9, 1, 6, 4, 1, 1, 7, 2, 6, 1, 6, 7, 0, 4, 9, 6, 8, 0, 3, 2, 5, 7, 0, 4, 8, 9, 5, 0, 8, 7, 9, 5, 3, 2, 3, 5, 2, 4, 3, 8",36.21,1,8,5
40,"9, 4, 8, 9, 6, 2, 8, 8, 3, 7, 6, 4, 0, 7, 5, 3, 9, 0, 1, 5, 4, 2, 0, 1, 4, 1, 3, 0, 1, 2, 5, 7, 9, 3, 7, 6, 6, 8, 5, 2",36.502,1,8,5
41,"4, 1, 7, 5, 8, 7, 3, 6, 2, 6, 8, 6, 0, 8, 3, 9, 2, 0, 3, 2, 9, 8, 0, 4, 3, 5, 2, 0, 4, 1, 4, 7, 1, 6, 1, 7, 9, 5, 9, 5",36.794,1,8,5
42,"2, 1, 3, 7, 3, 2, 7, 7, 4, 3, 4, 1, 0, 5, 6, 4, 9, 0, 9, 5, 5, 2, 0, 8, 8, 4, 8, 0, 8, 6, 9, 3, 6, 1, 1, 9, 6, 5, 2, 7",37.085,1,8,5
43,"5, 2, 9, 8, 4, 7, 9, 6, 5, 3, 7, 1, 0, 4, 9, 5, 2, 0, 3, 3, 5, 2, 0, 9, 8, 1, 2, 0, 3, 6, 1, 4, 7, 4, 7, 1, 6, 8, 6, 8",37.377,1,8,5
44,"3, 8, 7, 9, 1, 2, 2, 3, 4, 9, 9, 4, 0, 1, 9, 1, 6, 0, 5, 4, 2, 5, 0, 1, 7, 8, 3, 0, 2, 7, 5, 5, 7, 8, 3, 6, 6, 6, 8, 4",37.67,1,8,5
45,"9, 4, 3, 4, 1, 8, 5, 5, 8, 6, 7, 3, 0, 2, 4, 9, 9, 0, 3, 1, 5, 1, 0, 2, 7, 8, 6, 0, 1, 7, 8, 7, 6, 2, 9, 5, 3, 6, 2, 4",37.961,1,8,5
46,"8, 9, 7, 7, 1, 7, 6, 1, 6, 6, 8, 9, 0, 5, 1, 3, 3, 0, 9, 4, 3, 4, 0, 3, 2, 7, 5, 0, 2, 2, 5, 4, 9, 6, 5, 1, 2, 4, 8, 8",38.252,1,8,5
47,"5, 2, 9, 8, 8, 3, 5, 6, 9, 3, 7, 6, 0, 4, 7, 4, 1, 0, 9, 3, 2, 8, 0, 4, 1, 2, 3, 0, 9, 6, 7, 7, 5, 4, 2, 6, 5, 1, 8, 1",38.545,1,8,5
48,"1, 2, 4, 2, 6, 9, 3, 5, 8, 6, 4, 3, 0, 7, 9, 4, 3, 0, 6, 8, 5, 8, 0, 6, 5, 7, 1, 0, 4, 1, 1, 2, 7, 9, 9, 7, 2, 5, 8, 3",38.838,1,8,5
49,"4, 4, 9, 5, 9, 7, 4, 6, 3, 8, 2, 2, 0, 3, 5, 5, 7, 0, 6, 8, 5, 7, 0, 7, 1, 6, 1, 0, 2, 6, 8, 2, 9, 1, 3, 4, 1, 3, 9, 8",39.129,1,8,5
50,"3, 5, 5, 4, 3, 1, 6, 8, 1, 2, 4, 6, 0, 5, 9, 7, 3, 0, 4, 8, 2, 7, 0, 1, 6, 2, 4, 0, 3, 8, 9, 8, 9, 1, 7, 2, 7, 6, 5, 9",39.42,1,8,5
51,"7, 6, 4, 8, 5, 9, 5, 1, 4, 5, 7, 2, 0, 5, 1, 3, 3, 0, 6, 7, 2, 4, 0, 9, 9, 1, 8, 0, 3, 3, 7, 8, 2, 8, 4, 2, 6, 1, 9, 6",39.71,1,8,5
52,"4, 8, 3, 6, 8, 5, 1, 6, 6, 2, 2, 9, 0, 4, 8, 3, 5, 0, 1, 6, 9, 5, 0, 1, 7, 9, 2, 0, 4, 2, 3, 7, 4, 1, 3, 9, 7, 7, 5, 8",40.002,1,8,5
53,"1, 6, 9, 4, 2, 7, 3, 1, 6, 9, 3, 8, 0, 5, 9, 3, 5, 0, 8, 2, 6, 4, 0, 2, 2, 7, 8, 0, 9, 4, 5, 1, 5, 3, 4, 7, 6, 1, 8, 7",40.295,1,8,5
54,"2, 2, 9, 5, 7, 8, 2, 4, 2, 3, 4, 1, 0, 3, 8, 9, 8, 0, 5, 9, 1, 3, 0, 7, 6, 9, 7, 0, 8, 6, 7, 5, 4, 1, 4, 5, 3, 6, 6, 1",40.587,1,8,5
55,"1, 4, 3, 7, 6, 2, 4, 8, 1, 5, 9, 2, 0, 8, 4, 9, 9, 0, 6, 8, 3, 3, 0, 7, 9, 1, 7, 0, 6, 3, 5, 5, 5, 2, 8, 1, 4, 2, 7, 6",40.881,1,8,5
56,"3, 2, 5, 8, 8, 8, 1, 6, 9, 7, 4, 2, 0, 6, 4, 2, 2, 0, 5, 7, 9, 6, 0, 4, 7, 1, 5, 0, 6, 7, 5, 3, 9, 3, 8, 9, 1, 1, 3, 4",41.169,1,8,5
57,"5, 1, 7, 3, 9, 8, 3, 2, 2, 6, 1, 4, 0, 4, 9, 4, 8, 0, 7, 5, 6, 3, 0, 3, 2, 1, 2, 0, 7, 5, 6, 7, 6, 1, 8, 9, 8, 5, 4, 9",41.46,1,8,5
58,"7, 1, 4, 2, 9, 9, 6, 6, 2, 9, 6, 8, 0, 3, 3, 8, 1, 0, 5, 5, 4, 7, 0, 6, 9, 8, 3, 0, 7, 1, 4, 1, 2, 8, 3, 7, 5, 4, 2, 5",41.754,1,8,5
59,"8, 7, 6, 7, 7, 3, 8, 9, 1, 1, 4, 3, 0, 4, 5, 1, 2, 0, 2, 7, 2, 4, 0, 8, 2, 6, 3, 0, 6, 9, 5, 5, 9, 5, 3, 8, 9, 1, 4, 6",42.044,1,8,5
60,"4, 9, 2, 6, 1, 4, 3, 1, 2, 5, 9, 8, 0, 7, 5, 4, 7, 0, 4, 3, 8, 6, 0, 7, 1, 3, 8, 0, 6, 1, 9, 2, 5, 2, 7, 5, 3, 9, 6, 8",42.336,1,8,5
61,"4, 4, 3, 8, 2, 5, 9, 2, 2, 4, 9, 8, 0, 1, 6, 3, 6, 0, 8, 8, 1, 1, 0, 5, 7, 7, 6, 0, 5, 3, 5, 6, 7, 7, 3, 2, 1, 9, 4, 9",42.628,1,8,5
62,"6, 2, 1, 3, 7, 8, 3, 5, 7, 9, 1, 9, 0, 7, 4, 4, 5, 0, 8, 5, 1, 9, 0, 9, 1, 6, 3, 0, 2, 4, 6, 5, 2, 6, 2, 3, 4, 7, 8, 8",42.921,1,8,5
63,"6, 9, 3, 6, 7, 9, 1, 2, 5, 4, 8, 3, 0, 6, 8, 7, 2, 0, 5, 1, 2, 4, 0, 7, 5, 4, 3, 0, 1, 9, 4, 8, 9, 7, 3, 1, 8, 2, 6, 5",43.216,1,8,5
64,"5, 4, 7, 3, 6, 5, 1, 9, 6, 9, 8, 6, 0, 9, 7, 4, 8, 0, 4, 2, 5, 7, 0, 3, 2, 3, 2, 0, 6, 2, 9, 5, 1, 8, 8, 1, 7, 3, 4, 1",43.505,1,8,5
65,"3, 6, 2, 2, 4, 9, 2, 1, 8, 2, 1, 9, 0, 5, 5, 1, 5, 0, 3, 7, 8, 4, 0, 3, 5, 8, 8, 0, 4, 6, 4, 7, 7, 7, 3, 6, 9, 9, 6, 1",43.796,1,8,5
66,"5, 7, 4, 9, 8, 2, 9, 4, 3, 1, 1, 6, 0, 5, 2, 6, 7, 0, 9, 6, 7, 2, 0, 1, 9, 7, 5, 0, 4, 2, 6, 3, 8, 8, 3, 8, 4, 3, 5, 1",44.101,1,8,5
67,"4, 5, 4, 1, 6, 9, 6, 8, 2, 7, 2, 8, 0, 2, 3, 3, 5, 0, 4, 1, 9, 5, 0, 1, 9, 7, 7, 0, 8, 9, 5, 6, 3, 2, 4, 6, 1, 8, 3, 7",44.377,1,8,5
68,"6, 5, 3, 2, 1, 2, 7, 8, 3, 6, 9, 2, 0, 8, 8, 5, 3, 0, 3, 7, 4, 4, 0, 2, 7, 4, 6, 0, 1, 8, 1, 9, 9, 9, 5, 5, 6, 1, 4, 7",44.674,1,8,5
69,"9, 5, 8, 6, 2, 3, 2, 9, 1, 8, 8, 1, 0, 2, 9, 7, 6, 0, 7, 1, 4, 7, 0, 4, 8, 1, 2, 0, 6, 3, 4, 6, 4, 5, 3, 5, 7, 5, 9, 3",44.979,1,8,5
70,"6, 7, 5, 8, 3, 8, 3, 4, 6, 2, 2, 7, 0, 2, 1, 9, 9, 0, 8, 9, 1, 3, 0, 4, 1, 7, 6, 0, 7, 8, 1, 3, 5, 4, 5, 5, 4, 2, 6, 9",45.253,1,8,5
71,"6, 6, 7, 5, 9, 3, 8, 1, 2, 7, 7, 6, 0, 5, 3, 6, 8, 0, 4, 1, 2, 9, 0, 8, 2, 3, 5, 0, 1, 4, 1, 9, 4, 2, 8, 9, 3, 5, 4, 7",45.552,1,8,5
72,"5, 2, 6, 3, 1, 9, 4, 7, 6, 5, 6, 7, 0, 2, 8, 4, 2, 0, 5, 8, 3, 9, 0, 7, 3, 9, 7, 0, 3, 8, 1, 8, 2, 5, 4, 4, 1, 1, 6, 9",45.855,1,8,5
73,"6, 4, 4, 5, 7, 3, 2, 8, 4, 9, 1, 7, 0, 9, 1, 1, 2, 0, 3, 7, 5, 5, 0, 8, 9, 5, 4, 0, 7, 8, 3, 1, 6, 2, 6, 6, 9, 3, 8, 2",46.133,1,8,5
74,"5, 1, 8, 9, 2, 8, 4, 9, 9, 2, 7, 6, 0, 8, 6, 3, 4, 0, 3, 9, 6, 1, 0, 5, 7, 1, 5, 0, 2, 6, 4, 8, 7, 3, 5, 2, 1, 3, 4, 7",46.42,1,8,5
75,"3, 9, 4, 2, 8, 6, 8, 9, 3, 1, 3, 4, 0, 9, 4, 5, 7, 0, 8, 2, 1, 8, 0, 9, 7, 7, 1, 0, 3, 2, 5, 1, 5, 6, 5, 2, 6, 7, 4, 6",46.727,1,8,5
76,"4, 6, 1, 4, 3, 7, 5, 5, 8, 7, 8, 9, 0, 8, 4, 6, 9, 0, 2, 1, 7, 2, 0, 3, 6, 3, 4, 0, 2, 1, 5, 9, 7, 5, 2, 9, 6, 3, 1, 8",47.035,1,8,5
77,"8, 3, 2, 6, 1, 5, 7, 8, 3, 5, 4, 9, 0, 2, 5, 1, 5, 0, 9, 6, 3, 6, 0, 9, 9, 3, 7, 0, 1, 7, 4, 6, 4, 1, 4, 8, 2, 8, 7, 2",47.331,1,8,5
78,"5, 4, 6, 8, 7, 4, 8, 1, 2, 1, 3, 9, 0, 9, 4, 7, 8, 0, 1, 3, 7, 5, 0, 4, 9, 5, 2, 0, 8, 3, 2, 6, 9, 1, 2, 6, 7, 3, 5, 6",47.615,1,8,5
79,"4, 2, 7, 1, 8, 8, 4, 9, 5, 6, 5, 7, 0, 3, 9, 7, 3, 0, 8, 2, 5, 7, 0, 6, 1, 6, 2, 0, 6, 5, 3, 8, 3, 1, 9, 1, 4, 4, 9, 2",47.922,1,8,5
80,"6, 3, 4, 3, 9, 2, 8, 9, 8, 2, 7, 1, 0, 5, 5, 3, 7, 0, 4, 3, 9, 4, 0, 1, 7, 6, 5, 0, 2, 1, 6, 8, 6, 8, 5, 9, 7, 1, 2, 4",48.175,1,8,5
81,"6, 4, 9, 7, 8, 6, 2, 3, 1, 7, 5, 5, 0, 7, 9, 6, 4, 0, 8, 8, 9, 4, 0, 1, 2, 8, 2, 0, 1, 6, 3, 5, 4, 7, 3, 9, 3, 1, 2, 5",48.48,1,8,5
82,"7, 2, 4, 8, 5, 1, 6, 7, 5, 2, 6, 5, 0, 6, 3, 3, 8, 0, 9, 3, 3, 2, 0, 8, 9, 4, 1, 0, 8, 2, 9, 1, 1, 7, 4, 5, 7, 6, 4, 9",48.76,1,8,5
83,"5, 9, 7, 7, 7, 6, 2, 8, 1, 2, 1, 3, 0, 9, 3, 5, 9, 0, 6, 8, 1, 1, 0, 4, 6, 4, 4, 0, 8, 7, 3, 2, 5, 9, 8, 2, 5, 6, 3, 4",49.093,1,8,5
84,"6, 1, 2, 4, 7, 7, 8, 7, 9, 6, 9, 5, 0, 1, 4, 3, 5, 0, 8, 4, 1, 5, 0, 2, 9, 3, 3, 0, 6, 2, 7, 8, 3, 6, 8, 4, 9, 1, 5, 2",49.346,1,8,5
85,"8, 5, 2, 1, 3, 6, 4, 7, 4, 8, 6, 3, 0, 3, 4, 2, 3, 0, 9, 6, 7, 1, 0, 5, 9, 8, 8, 0, 1, 5, 6, 7, 4, 2, 7, 1, 2, 9, 5, 9",49.676,1,8,5
86,"9, 8, 5, 6, 1, 5, 3, 8, 2, 3, 2, 4, 0, 7, 2, 8, 6, 0, 6, 3, 7, 1, 0, 7, 1, 4, 7, 0, 6, 8, 4, 1, 9, 5, 9, 3, 5, 4, 9, 2",49.858,1,8,5
87,"7, 6, 8, 3, 4, 1, 7, 5, 6, 2, 6, 4, 0, 9, 8, 2, 5, 0, 9, 1, 9, 5, 0, 1, 2, 4, 2, 0, 8, 3, 3, 7, 9, 5, 6, 8, 4, 7, 1, 3",49.859,1,8,5
88,"7, 3, 8, 6, 4, 3, 5, 4, 2, 6, 9, 2, 0, 1, 7, 8, 8, 0, 6, 2, 1, 3, 0, 7, 5, 6, 4, 0, 9, 7, 1, 8, 4, 9, 9, 1, 5, 5, 2, 3",50.226,1,8,5
89,"6, 8, 3, 7, 2, 9, 4, 7, 8, 6, 1, 9, 0, 2, 9, 4, 8, 0, 6, 5, 3, 5, 0, 3, 8, 5, 4, 0, 7, 3, 1, 7, 9, 1, 2, 1, 2, 5, 6, 4",50.262,1,8,5
90,"9, 4, 9, 6, 1, 2, 7, 1, 3, 8, 7, 9, 0, 1, 4, 3, 5, 0, 5, 6, 3, 8, 0, 5, 6, 2, 7, 0, 4, 7, 2, 5, 8, 3, 9, 1, 4, 6, 8, 2",50.34,1,8,5
91,"5, 2, 6, 3, 1, 7, 6, 4, 5, 9, 2, 3, 0, 8, 7, 3, 1, 0, 9, 9, 4, 8, 0, 4, 7, 2, 1, 0, 8, 2, 9, 5, 7, 5, 6, 1, 4, 3, 8, 6",50.402,1,8,5
92,"1, 6, 5, 2, 7, 9, 4, 6, 3, 9, 3, 4, 0, 5, 6, 1, 9, 0, 7, 2, 1, 7, 0, 5, 2, 2, 8, 0, 6, 8, 8, 4, 3, 8, 9, 5, 3, 1, 7, 4",50.485,1,8,5
93,"6, 5, 7, 9, 4, 2, 1, 8, 3, 7, 8, 5, 0, 4, 1, 9, 9, 0, 3, 5, 6, 4, 0, 3, 2, 1, 7, 0, 7, 2, 6, 5, 4, 8, 6, 9, 1, 8, 3, 2",50.682,1,8,5
94,"6, 2, 4, 1, 9, 7, 3, 6, 4, 7, 1, 5, 0, 4, 6, 1, 5, 0, 3, 8, 7, 7, 0, 3, 8, 8, 5, 0, 9, 2, 9, 2, 8, 4, 5, 2, 3, 9, 1, 6",50.724,1,8,5
95,"3, 8, 4, 9, 7, 5, 7, 9, 1, 5, 2, 6, 0, 8, 6, 3, 5, 0, 2, 6, 4, 5, 0, 1, 7, 3, 7, 0, 9, 1, 4, 1, 2, 9, 6, 8, 4, 8, 2, 3",51.07,1,8,5
96,"8, 1, 7, 6, 2, 8, 9, 6, 5, 2, 4, 7, 0, 2, 8, 3, 5, 0, 5, 3, 8, 1, 0, 3, 4, 1, 9, 0, 7, 2, 6, 7, 9, 4, 1, 5, 4, 6, 3, 9",51.201,1,8,5
97,"9, 5, 8, 6, 3, 4, 1, 7, 3, 4, 8, 9, 0, 5, 5, 8, 3, 0, 2, 2, 4, 1, 0, 5, 6, 7, 9, 0, 2, 6, 3, 7, 4, 6, 1, 1, 8, 2, 9, 7",51.285,1,8,5
98,"6, 5, 8, 8, 3, 9, 7, 1, 9, 1, 4, 1, 0, 3, 2, 9, 2, 0, 3, 4, 6, 2, 0, 5, 8, 4, 6, 0, 7, 9, 7, 5, 4, 8, 6, 3, 2, 5, 1, 7",51.366,1,8,5
99,"4, 3, 6, 5, 1, 6, 7, 2, 9, 5, 8, 3, 0, 1, 3, 9, 6, 0, 8, 4, 1, 8, 0, 2, 5, 9, 1, 0, 2, 4, 7, 7, 4, 3, 7, 9, 5, 6, 8, 2",52.091,1,8,5
100,"5, 2, 3, 7, 4, 9, 7, 1, 1, 8, 4, 3, 0, 2, 8, 4, 2, 0, 5, 6, 8, 7, 0, 5, 6, 9, 8, 0, 6, 9, 1, 3, 4, 5, 6, 2, 9, 1, 7, 3",54.002,1,8,5
101,"3, 5, 6, 3, 5, 5, 0, 0, 0, 6, 4, 0, 6, 0, 5, 2, 0, 2, 0, 6, 4, 0, 1, 0, 1, 1, 0, 1, 0, 3, 1, 0, 0, 0, 1, 2, 4, 2, 4, 3",21.5,2,8,5
102,"4, 5, 5, 4, 3, 6, 0, 0, 0, 5, 5, 0, 1, 0, 3, 6, 0, 2, 0, 1, 1, 0, 1, 0, 2, 3, 0, 2, 0, 2, 6, 0, 0, 0, 4, 6, 3, 1, 4, 1",21.725,2,8,5
103,"6, 6, 2, 3, 2, 3, 0, 0, 0, 5, 2, 0, 3, 0, 1, 1, 0, 3, 0, 4, 5, 0, 2, 0, 5, 5, 0, 4, 0, 4, 1, 0, 0, 0, 1, 1, 1, 6, 6, 4",22.089,2,8,5
104,"2, 3, 5, 2, 2, 2, 0, 0, 0, 1, 5, 0, 1, 0, 3, 6, 0, 1, 0, 1, 3, 0, 3, 0, 4, 6, 0, 5, 0, 4, 6, 0, 0, 0, 1, 6, 5, 1, 4, 4",22.301,2,8,5
105,"4, 4, 4, 1, 5, 1, 0, 0, 0, 5, 1, 0, 4, 0, 3, 1, 0, 3, 0, 6, 1, 0, 1, 0, 6, 2, 0, 6, 0, 2, 3, 0, 0, 0, 6, 5, 5, 3, 2, 2",22.35,2,8,5
