bundle,prefab,骨架bundle,骨架
chapter,prefabs/win/trait/reduceTravelSettlement/ChapterReduceScoreWin,chapter,dragonbones/win/JSBSo_ske
chapter,prefabs/win/ChapterScoreWin,chapter,dragonbones/win/jsfs_ske
chapter,prefabs/win/trait/reduceTravelSettlement/ChapterReduceScoreWin,chapter,dragonbones/win/jsfs_ske
chapter,prefabs/win/trait/reduceTravelSettlement/ChapterReduceCollectWin,chapter,dragonbones/win/trait/reduceTravelSettlement/XCfive_ske
chapter,prefabs/win/trait/reduceTravelSettlement/ChapterReduceScoreWin,chapter,dragonbones/win/trait/reduceTravelSettlement/jindutiao_ske
chapter,prefabs/gameover/trait/gateWinStreakState/Winstreak,chapter,textures/gameover/trait/gateWinStreakState/newrecord_conseecutiveVictories_ske
chapter,prefabs/hardLevel/ChapterHardLevelDefeat,chapter,textures/gameover/trait/hardLevelDefeat/effect/result_icon_cup_ske
class,prefabs/board/traits/ClearInitPanelEffectTrait/ClearInitPanelItem,class,dragonbones/board/traits/ClearInitPanelEffectTrait/gameplay_patternFinished_eff_ske
class,prefabs/board/traits/ClearInitPanelEffectTrait/ClearInitPanelEffect,class,dragonbones/board/traits/ClearInitPanelEffectTrait/gameplay_patternFinished_ske
class,prefabs/board/traits/IsOpenSorceBlockTrait/ScoreBlockEffect,class,dragonbones/board/traits/IsOpenSorceBlockTrait/gameplay_scoreBlock_ske
class,prefabs/trait/comboEffectCtrl/ComboEffect,class,dragonbones/combo/trait/comboEffectCtrl/gameplay_dragonbone_combo_grade_ske
class,prefabs/guide/ClassGuideEffect,class,dragonbones/guide/prompt_ske
mergeBlocks,prefabs/guide/MergeBlocksGuideEffect,class,dragonbones/guide/prompt_ske
class,prefabs/topInfo/ClassTopInfo,class,dragonbones/topInfo/comnb_ske
mergeBlocks,prefabs/topInfo/MergeBlocksTopInfo,class,dragonbones/topInfo/comnb_ske
class,prefabs/topInfo/traits/Combo_tips_lv_blockTrait/ComboTipsNew,class,dragonbones/topInfo/traits/Combo_tips_lv_blockTrait/gameplay_combo_tips_ske
gl_fruit,assets/prefabs/effects/BoardFullPanel,gl_fruit,assets/effects/BoardFullPanel/BoardFullPanel
gl_fruit,assets/prefabs/effects/GoldWatermelonPanel,gl_fruit,assets/effects/GoldWatermelonPanel/GoldWatermelonPanel
gl_fruit,assets/prefabs/effects/HsFruitMerge_Click_fx_01_B,gl_fruit,assets/effects/HsFruitMerge_Click_fx_01_B/HsFruitMerge_Click_fx_01_B
gl_fruit,assets/prefabs/effects/lose_hint_fx,gl_fruit,assets/effects/Lose_hint_fx/lose_hint_fx
gl_fruit,assets/prefabs/effects/MergeNew_fx_B,gl_fruit,assets/effects/MergeNew_fx_B/MergeNew_fx_B
gl_fruit,assets/prefabs/items/fruits/Fruit_01,gl_fruit,assets/effects/Skin3/Fruit_01/Fruit_01
gl_fruit,assets/prefabs/items/fruits/Fruit_02,gl_fruit,assets/effects/Skin3/Fruit_02/Fruit_02
gl_fruit,assets/prefabs/items/fruits/Fruit_03,gl_fruit,assets/effects/Skin3/Fruit_03/Fruit_03
gl_fruit,assets/prefabs/items/fruits/Fruit_04,gl_fruit,assets/effects/Skin3/Fruit_04/Fruit_04
gl_fruit,assets/prefabs/items/fruits/Fruit_05,gl_fruit,assets/effects/Skin3/Fruit_05/Fruit_05
gl_fruit,assets/prefabs/items/fruits/Fruit_06,gl_fruit,assets/effects/Skin3/Fruit_06/Fruit_06
gl_fruit,assets/prefabs/items/fruits/Fruit_07,gl_fruit,assets/effects/Skin3/Fruit_07/Fruit_07
gl_fruit,assets/prefabs/items/fruits/Fruit_08,gl_fruit,assets/effects/Skin3/Fruit_08/Fruit_08
gl_fruit,assets/prefabs/items/fruits/Fruit_09,gl_fruit,assets/effects/Skin3/Fruit_09/Fruit_09
gl_fruit,assets/prefabs/items/fruits/Fruit_10,gl_fruit,assets/effects/Skin3/Fruit_10/Fruit_10
gl_fruit,assets/prefabs/items/fruits/Fruit_11,gl_fruit,assets/effects/Skin3/Fruit_11/Fruit_11
gl_fruit,assets/prefabs/items/fruits/Fruit_12,gl_fruit,assets/effects/Skin3/Fruit_12/Fruit_12
gl_fruit,assets/prefabs/effects/WatermelonPanel,gl_fruit,assets/effects/WatermelonPanel/WatermelonPanel
gl_fruit,assets/prefabs/items/GLFruitComboItemNew,gl_fruit,assets/effects/combo/watermelon_gamplay_combo
gl_fruit,assets/prefabs/effects/dianzan,gl_fruit,assets/effects/dianzan/dianzan
gl_fruit,assets/prefabs/effects/juzhongdianzan,gl_fruit,assets/effects/juzhongdianzan/juzhongdianzan
gl_fruit,assets/prefabs/effects/miaozhun,gl_fruit,assets/effects/miaozhun/miaozhun
gl_fruit,assets/prefabs/ui/GLFruitGameView,gl_fruit,assets/effects/miaozhun/miaozhun
gl_fruit,assets/scenes/gl_fruit,gl_fruit,assets/effects/miaozhun/miaozhun
gl_fruit,assets/prefabs/items/fruits/Fruit_01,gl_fruit,assets/effects/samefruit/hcdxg_Prompteff
gl_fruit,assets/prefabs/items/fruits/Fruit_02,gl_fruit,assets/effects/samefruit/hcdxg_Prompteff
gl_fruit,assets/prefabs/items/fruits/Fruit_03,gl_fruit,assets/effects/samefruit/hcdxg_Prompteff
gl_fruit,assets/prefabs/items/fruits/Fruit_04,gl_fruit,assets/effects/samefruit/hcdxg_Prompteff
gl_fruit,assets/prefabs/effects/shouzhi,gl_fruit,assets/effects/shouzhi/shouzhi
gl_fruit,assets/prefabs/ui/GLFruitGameView,gl_fruit,assets/effects/shouzhi/shouzhi
gl_fruit,assets/scenes/gl_fruit,gl_fruit,assets/effects/shouzhi/shouzhi
gl_fruit,assets/prefabs/effects/PreviewPlace,gl_fruit,assets/effects/yld/hcdxg_gameplat_yld
gl_hall,gl_result/pefabs/ResultView1,gl_hall,gl_result/resource/spine/lihua
gl_hall,gl_result/pefabs/ResultView2,gl_hall,gl_result/resource/spine/pingju
gl_hall,gl_result/pefabs/ResultView2,gl_hall,gl_result/resource/spine/shibaijiemian
gl_hall,gl_result/pefabs/ResultView,gl_hall,gl_result/resource/spine/xiaoguo
gl_hall,resource/adx/AdxOffline,gl_hall,resource/adx/adv_pass_ske
gl_hall,gl_moreGamesPopup/prefabs/GLHallMoreGamesPopupEnter,gl_hall,resource/spine/check_net_ske
gl_hall,scene/glHallPrefab,gl_hall,resource/spine/check_net_ske
gl_hall,gl_moreGamesPopup/prefabs/GLHallMoreGamesPopupEnter,gl_hall,resource/spine/loading_ske
gl_hall,scene/glHallPrefab,gl_hall,resource/spine/loading_ske
gl_mahjong,assets/prefabs/effects/EffectAllCombo,gl_mahjong,assets/effects/Mahjong_AllComboEffect/Mahjong_AllComboEffect
gl_mahjong,assets/prefabs/effects/EffectBlockEffect,gl_mahjong,assets/effects/Mahjong_BlockEffect/gameplay_redkuang
gl_mahjong,assets/prefabs/effects/EffectClickable,gl_mahjong,assets/effects/Mahjong_CanClickEffect/mahjong_gameplay_tips
gl_mahjong,assets/prefabs/effects/EffectMergerCombo,gl_mahjong,assets/effects/Mahjong_Collosion_combo_V2/Mahjong_Collosion_combo_V2
gl_mahjong,assets/prefabs/effects/EffectMerger,gl_mahjong,assets/effects/Mahjong_Collosion_normal_V2/Mahjong_Collosion_normal_V2
gl_mahjong,assets/prefabs/effects/EffectCombo,gl_mahjong,assets/effects/Mahjong_Combo/Mahjong_Combo
gl_mahjong,assets/prefabs/effects/EffectPropHint,gl_mahjong,assets/effects/Mahjong_Prophint_V2/Mahjong_Prophint_V2
gl_mahjong,assets/prefabs/effects/EffectSelected,gl_mahjong,assets/effects/Mahjong_Selected_V2/Mahjong_Selected_V2
gl_mahjong,assets/prefabs/ui/GLMahjongGameView,gl_mahjong,assets/effects/Mahjong_UIGroundEff/Mahjong_UIGroundEff
gl_mahjong,assets/scenes/glMahjongPrefab,gl_mahjong,assets/effects/Mahjong_UIGroundEff/Mahjong_UIGroundEff
gl_mahjong,assets/prefabs/effects/EffectRewardEffect,gl_mahjong,assets/effects/Mahjong_rewardEffect/gameplay_xzjlc
gl_mahjong,assets/experiment/GLMahjongComboEffectText/GLMahjongComboEffectFlower,gl_mahjong,assets/experiment/GLMahjongComboEffectText/Mahjong_ComboStimulate_Flower/Mahjong_ComboStimulate_Flower
gl_oneline,GameRes/Prefab/UI/GridCell,gl_oneline,GameRes/ Effect/HsBlockFill_0414
gl_oneline,GameRes/Prefab/UI/GridCell_Start,gl_oneline,GameRes/ Effect/HsBlockFill_0414
gl_oneline,GameRes/scenes/glOnelinePrefab,gl_oneline,GameRes/ Effect/HsBlockFill_0414
gl_oneline,GameRes/scenes/glOnelinePrefab,gl_oneline,GameRes/ Effect/HsBlockFill_0418
gl_oneline,GameRes/Prefab/UI/GLBFMiddleTipsView,gl_oneline,GameRes/ Effect/Oneline_gameplay_king
gl_oneline,GameRes/scenes/glOnelinePrefab,gl_oneline,GameRes/ Effect/finger
gl_oneline,GameRes/scenes/glOnelinePrefab,gl_oneline,GameRes/ Effect/lizi
gl_oneline,GameRes/Prefab/CrownTips,gl_oneline,GameRes/ Effect/oneLine_gameplay_crownTips
gl_oneline,GameRes/Prefab/UI/GLBFTishiView,gl_oneline,GameRes/Effect/OneLine_gameplay_tips
gl_oneline,GameRes/Prefab/UI/GLBFDeadBackView,gl_oneline,GameRes/Effect/oneline_gameplay_warning
gl_onet,resource/prefabs/Experiment/showUpdateCapcityAnima/UpdateCapacityNode,gl_onet,resource/Effect/Experiment/showUpdateCapcityAnima/PowerUP
gl_onet,resource/Effect/prefabs/OnetBreathe,gl_onet,resource/Effect/spine/gameplay_bg_xyllk_ske
gl_onet,resource/Effect/prefabs/OnetTeachResultView,gl_onet,resource/Effect/spine/lihua
gl_onet,resource/Effect/prefabs/OnetGame_Selected,gl_onet,resource/Effect/spine/skeleton
gl_onet,resource/Effect/prefabs/OnetGame_extratime,gl_onet,resource/Effect/spine/skeleton
gl_onet,resource/Effect/prefabs/OnetGame_flash,gl_onet,resource/Effect/spine/skeleton
gl_onet,resource/Effect/prefabs/OnetGame_hint,gl_onet,resource/Effect/spine/skeleton
gl_onet,resource/Effect/prefabs/OnetGame_merge,gl_onet,resource/Effect/spine/skeleton
gl_onet,resource/Effect/prefabs/OnetGame_starline_point,gl_onet,resource/Effect/spine/skeleton
gl_onet,resource/Effect/prefabs/Onet_Click_eff,gl_onet,resource/Effect/spine/skeleton
gl_onet,resource/Effect/prefabs/Onet_ClockAppear,gl_onet,resource/Effect/spine/skeleton
gl_onet,resource/Effect/prefabs/Onet_ClockFlash,gl_onet,resource/Effect/spine/skeleton
gl_onet,resource/Effect/prefabs/Onet_Clock_timeout,gl_onet,resource/Effect/spine/skeleton
gl_onet,resource/Effect/prefabs/combo_text_particle,gl_onet,resource/Effect/spine/skeleton
gl_sudoku,res/prefab/SudokuGame,gl_sudoku,res/spine/aixin/aixin_01
gl_sudoku,res/prefab/SudokuGuide,gl_sudoku,res/spine/hand/skeleton
gl_sudoku,res/prefab/EffectColorful,gl_sudoku,res/spine/word/gameplay_fzjl
gl_tictactoe,resource/prefab/Chess,gl_tictactoe,resource/effect/Jingziqi_qizi
gl_tictactoe,scene/glTictactoePrefab,gl_tictactoe,resource/effect/Jingziqi_qizi
gl_tictactoe,resource/prefab/ChessChild,gl_tictactoe,resource/effect/Jingziqi_qizi_v2
gl_tictactoe,resource/prefab/WinEffect2,gl_tictactoe,resource/effect/Jingziqi_qizi_v2
gl_tictactoe,resource/prefab/Word,gl_tictactoe,resource/effect/gameplay_word
gl_watersort,prefabs/GLWaterFinishAnim,gl_watersort,resources/res/gameplay_par
gl_watersort,scene/glWatersort,gl_watersort,resources/spine/finger
gl_watersort,prefabs/GLWaterCanPutTips,gl_watersort,resources/spine/lizi
gl_watersort,scene/glWatersort,gl_watersort,resources/spine/lizi
gl_watersort,prefabs/GLWaterItemDianzan,gl_watersort,resources/spine/nopixel_watersort_gameplay_thumb
gl_watersort,prefabs/GLWaterItem,gl_watersort,resources/spine/skeleton
gl_watersort,prefabs/GLWaterItemGuide,gl_watersort,resources/spine/skeleton
gl_watersort,scene/glWatersort,gl_watersort,resources/spine/skeleton
gl_watersort,prefabs/GLWaterItemNew,gl_watersort,resources/spine/spineNew
gl_watersort,prefabs/GLWaterItemNewGuide,gl_watersort,resources/spine/spineNew
mainTraits,prefabs/boardEffect/gamePlayDianzan/GamePlayDianZan,mainTraits,dragonbones/boardEffect/gamePlayDianzan/skeleton37_ske
mainTraits,prefabs/preEliminate/comboRainbow/preEliminateShowEndSkinRainbow,mainTraits,dragonbones/eliminate/comboRainbow/playgame_elimination2_ske
mainTraits,prefabs/preEliminate/comboRainbow/preEliminateShowEndSkinRainbow,mainTraits,dragonbones/eliminate/comboRainbow/playgame_elimination_ske
mainTraits,prefabs/encourage/new_best_score/NewBestScoreEffect,mainTraits,dragonbones/encourage/new_best_score/gameplay_newBest_ske
mainTraits,prefabs/modeChoice/IsFirstHomeGuideTrait/firstHomeGuidePrefab,mainTraits,dragonbones/modeChoice/firstHomeGuide/main_word_ske
mainTraits,prefabs/modeChoice/NewSeasonGuidanceTrait/newSeasonGuidancePrefab,mainTraits,dragonbones/modeChoice/newSeasonGuidanceTrait/main_button_adventure_ske
mainTraits,prefabs/preEliminate/comboRainbow/preEliComboRainbow,mainTraits,dragonbones/preEliminate/comboRainbow/gameplay_eliminatePrompt_ske
mainTraits,prefabs/preEliminate/comboRainbow/preEliComboRainbowEffectNode,mainTraits,dragonbones/preEliminate/comboRainbow/gameplay_eliminatePrompt_ske
mainTraits,prefabs/preEliminate/comboRainbow/newArt/preEliComboRainbow,mainTraits,dragonbones/preEliminate/comboRainbow/newArt/gameplay_eliminatePrompt_ske
mainTraits,prefabs/preEliminate/comboRainbow/preEliComboRainbowEffectNode,mainTraits,dragonbones/preEliminate/gameplay_eliminatePrompt_ske
mainTraits,prefabs/preEliminate/preEliminatePrefab,mainTraits,dragonbones/preEliminate/gameplay_eliminatePrompt_ske
resources,prefabs/achievement/Achievement_Detail,resources,dragonbones/achievement/badge_icon_smallPanel_ske
resources,prefabs/achievement/Achievement_Entrance,resources,dragonbones/achievement/main_icon_achievement_ske
resources,prefabs/blockProducer/BlockProducerItemShowEffect,resources,dragonbones/blockProducer/CK_ske
resources,prefabs/blockProducer/ShowItem3,resources,dragonbones/blockProducer/trait/NewLifeBlockCtrlTrait/gameplay_regroupBlock_ske
resources,prefabs/board/RightPutPerfect,resources,dragonbones/boardEffect/trait/isOpenRightPut/playgame_word_ske
resources,prefabs/commentSkin/commentSkin,resources,dragonbones/commentskin/wuxingBT_ske
resources,prefabs/dailyWinStreakState/DailyWinStreakState,resources,dragonbones/dailyWinStreakState/everydaywin_ske
mainTraits,prefabs/preEliminate/preEliminateShowEndSkin2,resources,dragonbones/eliminate/xc_ske
resources,prefabs/encourage/Encourage,resources,dragonbones/encourage/encourage_ske
resources,prefabs/encourage/trait/EncourageReplaceGood,resources,dragonbones/encourage/trait/gameplay_dragonbone_word_ske
GameOverShowMiniGameIconTrait,prefabs/NodeClassGameOverShowMiniGameIcon,resources,dragonbones/gamelobby/check_net_ske
resources,prefabs/gamelobby/GLHallMoreGamesPopupView,resources,dragonbones/gamelobby/check_net_ske
resources,prefabs/homePage/homePageMoreGameLoading,resources,dragonbones/gamelobby/check_net_ske
resources,prefabs/gamelobby/GameLobbyEntry,resources,dragonbones/gamelobby/icon_entrance_export_ske
GameOverShowMiniGameIconTrait,prefabs/NodeClassGameOverShowMiniGameIcon,resources,dragonbones/gamelobby/loading_ske
resources,prefabs/gamelobby/GLHallMoreGamesPopupView,resources,dragonbones/gamelobby/loading_ske
resources,prefabs/homePage/homePageMoreGameLoading,resources,dragonbones/gamelobby/loading_ske
mergeBlocks,prefabs/overRevive/MergeBlocksOverRevive,resources,dragonbones/overRevive/result_Revive_arrow_ske
class,prefabs/overRevive/OverRevive,resources,dragonbones/overRevive/result_Revive_arrow_ske
mergeBlocks,prefabs/overRevive/MergeBlocksOverRevive,resources,dragonbones/overRevive/result_Revive_btn_ske
class,prefabs/overRevive/OverRevive,resources,dragonbones/overRevive/result_Revive_btn_ske
resources,prefabs/revive/Revive,resources,dragonbones/revive/btn/shipinbt_ske
resources,prefabs/revive/Revive,resources,dragonbones/revive/num/fuhuoshuzi_ske
resources,prefabs/sand/SandGameEntry,resources,dragonbones/sand/sandCrush_main_btn_light
resources,prefabs/skin/comboHeart/SkinComboHeartPrefab,resources,dragonbones/skin/comboHeart/gameplay_comboTips_model_ske
resources,prefabs/skin/eliminate/SkinEliminatePrefab,resources,dragonbones/skin/eliminate/gameplay_eliminate_model_ske
resources,prefabs/skin/encourage/SkinEncouragePrefab,resources,dragonbones/skin/encourage/gameplay_encourage_model_ske
resources,prefabs/touchEffect/TouchEffect,resources,dragonbones/touchEffect/gameclick_ske
sand_mini,new/prefabs/SandLevelUp,sand_mini,new/spine/minimalist_sandCrush_gameplay_arrow
sand_mini,new/prefabs/MiniTutorialUI,sand_mini,new/texture/guide/gameplay_teaching_arrow
sand_mini,new/prefabs/SandDegree,sandcrush,res/spine/scoreLevelUp/pixel_sandCrush_gameplay_progressBar_efx
sand_mini,new/prefabs/SandDegree,sandcrush,res/spine/scoreLevelUp/pixel_sandCrush_gameplay_progressBar_goal_efx
