bundle,枚举名,种类,成员数,重复值数
gl_hall,LangType,字符串,4,0
gl_hall,MainEvent,数字,9,1
gl_hall,Popup,数字,9,2
gl_hall,ResultTool,数字,7,0
gl_hall,configKey,数字,5,0
gl_hall,configNumberKey,数字,4,0
gl_hall,miniGameBunldeSDKVer,字符串,8,7
gl_mahjong,ECardRegionState,数字,3,0
gl_mahjong,EFadeInAnimation,数字,2,0
gl_mahjong,EGLMahjongCardTileState,数字,4,0
gl_mahjong,EScreenFadeType,数字,6,0
gl_mahjong,GLMahjongEventType,字符串,3,0
gl_mahjong,GLMahjongFeat,字符串,6,0
gl_oneline,BFGameGMType,数字,8,0
gl_oneline,BFGameStatus,数字,6,0
gl_oneline,BFGetTipType,数字,3,0
gl_oneline,BlockFillEventName,字符串,21,0
gl_oneline,GLBFLanguageType,字符串,41,0
gl_oneline,GLOneLineFeature,字符串,20,0
gl_oneline,HsItemCornerVideoStyle,数字,4,0
gl_onet,AdPosition,数字,4,0
gl_onet,AdStatus,数字,6,0
gl_onet,AdType,字符串,3,0
gl_onet,EntryType,数字,4,0
gl_onet,GameEndStatus,数字,3,0
gl_onet,GameStartWay,数字,2,0
gl_onet,GameState,数字,5,0
gl_onet,GravityDirection,数字,5,0
gl_onet,ItemCornerVideoStyle,数字,3,0
gl_onet,ItemType,数字,3,0
gl_onet,ItemUseType,数字,3,0
gl_onet,KLevelGameStatus,数字,3,0
gl_onet,LevelDataGenerateStrategy,数字,3,0
gl_onet,MainViewActionType,数字,2,0
gl_onet,MarkerGameStatus,数字,5,0
gl_onet,OnetFeat,字符串,7,0
gl_onet,PointerState,数字,8,0
gl_onet,TableLoadMode,数字,2,0
gl_sudoku,BubbleType,数字,4,0
gl_sudoku,LSFeat,字符串,5,0
gl_sudoku,LS_EventKeys,字符串,7,0
gl_sudoku,LS_SudokuCellType,数字,2,0
gl_sudoku,LS_SudokuGameType,数字,4,0
gl_sudoku,LS_SudokuTaskState,数字,6,0
gl_tictactoe,GLTictactoeFeat,字符串,6,0
gl_tictactoe,GameDataEvent,数字,3,0
gl_tictactoe,GameGMType,数字,14,0
gl_tictactoe,GameGuideType,数字,4,0
gl_tictactoe,GamePlayType,数字,3,0
gl_tictactoe,GameResult,数字,8,0
gl_tictactoe,GameStartType,数字,4,0
gl_tictactoe,GameStatus,数字,4,0
gl_tictactoe,GameType,数字,2,0
gl_tictactoe,GameWinLose,数字,3,0
gl_tictactoe,Item,数字,2,0
gl_tictactoe,ItemUse,数字,2,0
gl_tictactoe,ItemUseTrack,数字,3,0
gl_tictactoe,LevelDifficulty,数字,3,0
gl_tictactoe,PlayerType,数字,3,0
gl_watersort,GLWaterSortFeat2,字符串,5,0
gl_watersort,GlWaterSortEventName,字符串,16,0
gl_watersort,HsItemCornerVideoStyle,数字,4,0
hsgame,FeatResult,字符串,3,0
hsgame,HSExperimentType,数字,2,0
hsgame,HSGMControlType,字符串,7,0
hsgame,HSLayerType,字符串,9,0
hsgame,HSMarkType,数字,2,0
hsgame,UIZIndexEventType,数字,2,0
hsgame,UpdaterCompleteType,数字,3,0
main,ACTIVITY_RAMADAN_ID,数字,9,0
main,ADStrategyPosEnum,数字,4,0
main,AIModelType,数字,2,0
main,ALGO_NAME_TYPE,字符串,28,0
main,ALGO_STRATEGY_TYPE,数字,3,0
main,APPLY_CONFIG_SUCCESS_TYPE,数字,11,0
main,AbnormalBlockType,数字,1,0
main,AccountStatus,数字,2,0
main,AchievementGoToType,数字,4,0
main,Achievement_Class_Type,数字,2,0
main,Achievement_Target_Type,数字,11,0
main,AdShowDotType,数字,2,0
main,AdvertiseCallBackState,数字,3,0
main,AdvertiseLoadType,数字,3,0
main,AdvertiseType,数字,4,0
main,AdxModelPlanIdType,数字,16,0
main,AdxReplaceAdType,数字,4,0
main,AlgoHijackTypeConst,数字,3,0
main,AlgorithmStrategyRunState,数字,3,0
main,AlgorthmStrategyLevelType,字符串,17,0
main,AtomDataType,字符串,3,0
main,AtomEngineEnterBtnType,数字,4,0
main,AtomEngineEnterType,数字,2,0
main,Atomengine4EntryState,字符串,3,0
main,Atomengine4State,数字,4,0
main,Atomengine4Status,数字,6,0
main,AudioType,数字,2,0
main,BBPublishUploadEventType,字符串,3,0
main,BlockBlastAudioType,数字,3,0
main,BlocksProducerType,数字,54,0
main,BoardClearAnim,字符串,3,0
main,BoardSplashAnimationPlayStage,数字,2,0
main,BoardSplashAnimationPlayType,数字,5,0
main,BoxFirstSceneName,字符串,3,0
main,BucketFallbackIdType,数字,8,0
main,BucketType,字符串,5,0
main,ChapterAlgorithmSourceType,数字,13,0
main,ChapterType,数字,2,0
main,ClassAlgorithmSourceType,数字,13,0
main,CollectionType,数字,7,0
main,ColorProducerType,数字,8,0
main,CppAlgorithmName,字符串,10,0
main,DEVICE_LEVEL,数字,3,0
main,DIFF_TYPE,数字,6,0
main,DailyWinStreakStateType,数字,4,0
main,DataSelectType,数字,2,0
main,DotUploadType,数字,3,0
main,DownLoadFlowFailType,字符串,3,0
main,EAudioActionType,数字,3,0
main,EIpaAdEntryTraitFromEnum,数字,4,0
main,EIpaRemoveAdMainStateEnum,数字,11,0
main,EIsOpenEcpmGpCutAdType,数字,16,0
main,EIsOpenEcpmGpInfoType,数字,79,0
main,ENodeActionType,数字,3,0
main,ENodeRecorderEventType,字符串,4,0
main,ENodeState,数字,3,0
main,ENodeUpdateFlag,数字,7,0
main,ERecordEventType,字符串,3,0
main,ERemoveAdPopType,数字,4,0
main,ERunRecorder,数字,2,0
main,EVersionOperator,字符串,6,0
main,E_APP_FUNC_VERSION,字符串,34,4
main,E_IOS_TYPE,数字,2,0
main,E_REMOVE_AD_STATE,数字,3,0
main,EcpmOfferType,数字,5,0
main,EffectAccTraitEventName,字符串,9,0
main,EliminateComboRainbowEffectType,数字,5,0
main,EncourageColorType,字符串,7,0
main,EncourageLevelColorType,字符串,35,0
main,EncouragePromptType,字符串,8,1
main,EncourageSoundType,字符串,6,1
main,EncourageSoundType_Female,字符串,6,1
main,EncourageWidthType,数字,6,1
main,EnvType,字符串,3,0
main,ErrorCodeEnum,数字,3,0
main,EventType,数字,3,0
main,ExperimentType,数字,2,0
main,ExternalToGameEvent,字符串,4,0
main,FallbackType,数字,8,0
main,FrameRateEventName,字符串,6,0
main,FullScreenAdvertisePosState,数字,4,0
main,GBMStateType,数字,4,0
main,GLMoreGameLoadingState,数字,5,0
main,GameBackstopFailSource,字符串,8,0
main,GameLobbyBundleName,字符串,9,0
main,GameLobbyEmitEventType,字符串,22,0
main,GameLobbyEnterMiniGameStateType,字符串,9,0
main,GameLobbyEventSource,数字,2,0
main,GameLobbyEventType,数字,7,0
main,GameLobbyExitGameType,数字,2,0
main,GameMode,字符串,7,0
main,GameOverDiskType,数字,3,0
main,GameOverSourceType,数字,4,0
main,GameToExternalEvent,字符串,24,0
main,GameType,数字,7,0
main,HolidayAssetType,字符串,10,0
main,HomePageSectionType,数字,12,0
main,HomePageSnapshotType,数字,4,0
main,HotUpdateEventCodeEnum,数字,44,0
main,HotUpdateMode,数字,3,0
main,HotUpdateUserType,数字,4,0
main,IOSAlgorithmEnum,数字,27,1
main,IPAEvent,字符串,14,0
main,InterfaceEnum,字符串,18,0
main,LangType,字符串,12,0
main,LayerFeatureExtends,字符串,12,0
main,LayerPrefabName,字符串,8,0
main,LayerType,字符串,11,0
main,LoadStopReason,字符串,4,0
main,LogEnum,字符串,25,0
main,MLRetentionMode,数字,3,0
main,MergeBlocksAlgorithmSourceType,数字,13,0
main,MetricId,数字,1,0
main,ModuleType,字符串,8,0
main,NativeLayerType,字符串,6,0
main,NativeLoginCode,数字,8,0
main,NativeResponseCode,数字,4,0
main,NewClearEffectTraitType,数字,5,0
main,NoSignalType,数字,4,0
main,OFFER_TYPE,数字,508,1
main,OFFER_TYPE_BASE,数字,151,0
main,OFFER_TYPE_BLANK,数字,182,0
main,OFFER_TYPE_DIE,数字,25,0
main,OFFER_TYPE_DIFFICULTY,数字,102,0
main,OFFER_TYPE_SHANG,数字,53,0
main,OPERA_POS_TYPE,数字,9,0
main,OutDynamicMatchType,数字,2,0
main,PerformanceTieringType,数字,4,0
main,PlatformName,字符串,3,0
main,PlatformType,数字,3,0
main,PrefabMutexType,数字,7,0
main,PreloadState,字符串,4,0
main,ResUrlType,字符串,5,0
main,RoyalMatchStoryAlgorithmSourceType,数字,13,0
main,SERVER_USE_STR,字符串,85,1
main,SandBundleNames,字符串,7,0
main,SandEventType,字符串,4,0
main,SandFeatures,字符串,4,0
main,SandSkinType,数字,7,0
main,SceneOrientationType,字符串,3,0
main,ServerState,字符串,17,0
main,ServiceEvent,字符串,14,0
main,ServiceEvent,字符串,32,0
main,ShakePoint,数字,16,0
main,SkinThemeAssetKey,字符串,47,0
main,SkinThemeBackgroundType,字符串,4,0
main,SkinThreeAssetKey,字符串,58,0
main,SkinThreeBackgroundType,字符串,4,0
main,SkinThreeConfig,字符串,62,0
main,SkinThreeConfigPath,字符串,30,0
main,SkinThreePreEliminateType,数字,40,0
main,StageShowType,数字,3,0
main,SureAlertType,数字,3,0
main,TargetAudienceType,数字,3,0
main,TopInfoType,数字,4,0
main,TraitParameterErrorId,数字,6,0
main,TraitSafePropsType,字符串,18,0
main,TraitServerGameWayNumSourceType,数字,6,0
main,TraitServerRecordLocalDataType,数字,4,0
main,TraitsInfoRemoveBundleLoadType,数字,2,0
main,UIType,字符串,3,0
main,UserType,数字,3,0
main,WatchAlgoListType,字符串,4,0
main,algorithmMainType,字符串,5,0
main,algorithmSource,数字,19,0
main,algorithmSuccessIndex,数字,1,0
main,enSetupIosKeys,字符串,16,0
main,enSetupKeys,字符串,31,0
main,gameLobby_InitializeStatus,数字,4,0
main,game_subtype,数字,8,0
mainTraits,COMBOWAY,数字,3,0
mainTraits,EDGE,数字,3,0
mainTraits,HardBlockSoundTraitStatusENUMS,数字,3,0
mainTraits,HomePage3TabType,数字,3,0
mainTraits,HomePageGameListTweenType,数字,3,0
mainTraits,OpenJourneyAnotherStyleTraitType,数字,7,0
mainTraits,PUTWAY,数字,1,0
mergeBlocks,MERGEBLOCKS_DEFAULT_BOARD_INDEX,数字,5,0
mergeBlocks,MERGEBLOCKS_DEFAULT_SOURCE_TYPE,数字,2,0
mergeBlocks,MergeBlocksAlgorithmStrategyDealProxyName,字符串,6,0
mergeBlocks,MergeBlocksAlgorithmStrategyLaneSchemeType,数字,7,0
mergeBlocks,MergeBlocksAlgorithmStrategyRunStateType,数字,3,0
mergeBlocks,MergeBlocksDefautBoardConfigType,字符串,3,0
mergeBlocks,MergeBlocksGameOverType,数字,3,0
mergeBlocks,MergeBlocksIsPuzzleTimeStatus,数字,3,0
mergeBlocks,MergeBlocksRemoveEffectAnimationColorENUMS,字符串,8,0
mergeBlocks,MergeBlocksSymType,数字,3,0
sandcrush,AdSourceType,数字,4,0
sandcrush,AdType,数字,3,0
sandcrush,ClearSandType,数字,4,0
sandcrush,ConnectionState,数字,5,0
sandcrush,CpsOffsetScoreType,数字,3,0
sandcrush,CurrencyAcquisitionType,字符串,5,0
sandcrush,ENDianType,数字,2,0
sandcrush,ESandRobotDeadReason,数字,5,0
sandcrush,FeaturesEnum,字符串,278,0
sandcrush,FreeFallClearType,数字,4,0
sandcrush,GameEndDataSource,字符串,3,0
sandcrush,GameMode,数字,5,0
sandcrush,GameSpeedPhase,字符串,5,0
sandcrush,GameState,字符串,13,0
sandcrush,LevelModeState,数字,3,0
sandcrush,LevelModeType,数字,3,0
sandcrush,MotivationalComponentType,字符串,5,0
sandcrush,MotivationalLevel,数字,6,0
sandcrush,MotivationalStrategyType,数字,4,0
sandcrush,MotivationalType,字符串,16,0
sandcrush,NetDataType,数字,2,0
sandcrush,NetworkState,数字,5,0
sandcrush,PatternType,数字,5,0
sandcrush,PropAcquisitionType,字符串,3,0
sandcrush,PropShowType,数字,4,0
sandcrush,PropState,字符串,3,0
sandcrush,PropTypes,字符串,5,0
sandcrush,ReconnectState,数字,8,0
sandcrush,RewardStatus,数字,3,0
sandcrush,SAND_ALGO_CHANGE_TYPE,数字,2,0
sandcrush,SAND_SOUND_EFFECT,字符串,62,0
sandcrush,SandActionEventType,数字,2,0
sandcrush,SandAdEvent,字符串,5,0
sandcrush,SandAdLogLevel,数字,5,0
sandcrush,SandAdPriority,数字,6,0
sandcrush,SandAlgoEnum,数字,47,0
sandcrush,SandBlockColorType,数字,3,0
sandcrush,SandBlockDampType,数字,2,0
sandcrush,SandBlockShapeType,数字,2,0
sandcrush,SandBlockUnitIDType,数字,2,0
sandcrush,SandClearRenderType,字符串,3,0
sandcrush,SandDistributionType,数字,4,0
sandcrush,SandLogicEventEnum,字符串,11,0
sandcrush,SandMarketEventEnum,字符串,5,0
sandcrush,SandNewTipType,数字,4,0
sandcrush,SandReviveLogicType,字符串,3,0
sandcrush,SandRewardColor,数字,9,0
sandcrush,SandRobotAIState,数字,4,0
sandcrush,SandRobotType,字符串,3,0
sandcrush,SandSkinEnum,数字,9,0
sandcrush,SandStarFeedBackCallBackType,数字,1,0
sandcrush,SandStarviewEvent,字符串,10,0
sandcrush,SandSubPackageType,字符串,3,0
sandcrush,SandTagPriority,数字,6,0
sandcrush,SandTargetType,数字,1,0
sandcrush,SandTimeScaleType,数字,2,0
sandcrush,ScoreDisplayType,字符串,7,0
sandcrush,SkinSwitchTrigger,数字,2,0
sandcrush,StarEffectType,数字,3,0
sandcrush,StarFeedBackTips,数字,8,0
sandcrush,TrackEnum,字符串,86,0
sandcrush,TriggerAlgoType,数字,3,0
sandcrush,TutorialPhase,数字,5,0
sandcrush,WordStrategyManagerType,数字,3,0
sandcrush,conditionType,数字,32,0
sandcrush,eSand_BoxNearType,数字,2,0
sandcrush,restartType,字符串,5,0
