key,中文名,英文名,atlas,available,blueprint_compat,config.Xmult,config.ante_scaling,config.bonus,config.choose,config.consumable_slot,config.consumables,config.d_size,config.discards,config.dollars,config.extra,config.extra.Xmult,config.extra.chip_mod,config.extra.chips,config.extra.d_remaining,config.extra.destroy,config.extra.discard_sub,config.extra.discards,config.extra.dollars,config.extra.every,config.extra.faces,config.extra.h_mod,config.extra.h_plays,config.extra.h_size,config.extra.hand_add,config.extra.increase,config.extra.max,config.extra.min,config.extra.mult,config.extra.odds,config.extra.poker_hand,config.extra.remaining,config.extra.s_mult,config.extra.size,config.extra.suit,config.extra.xmult,config.extra_discard_bonus,config.extra_disp,config.extra_hand_bonus,config.h_dollars,config.h_size,config.h_x_mult,config.hand_size,config.hand_type,config.hands,config.joker_slot,config.max_highlighted,config.min_highlighted,config.mod_conv,config.mult,config.no_interest,config.p_dollars,config.planets,config.randomize_rank_suit,config.remove_card,config.remove_faces,config.softlock,config.spectral_rate,config.suit_conv,config.t_chips,config.t_mult,config.tarots,config.type,config.voucher,config.vouchers,consumeable,cost,cost_mult,demo,discovered,effect,enhancement_gate,eternal_compat,freq,hidden,kind,label,line,max,name,no_pool_flag,omit,order,perishable_compat,pos.x,pos.y,rarity,requires,set,soul_pos.x,soul_pos.y,stake,start_alerted,start_discovered,start_locked,unlock_condition.amount,unlock_condition.ante,unlock_condition.chips,unlock_condition.deck,unlock_condition.extra,unlock_condition.extra.count,unlock_condition.extra.e_key,unlock_condition.extra.enhancement,unlock_condition.extra.polychrome,unlock_condition.extra.suit,unlock_condition.extra.tally,unlock_condition.hidden,unlock_condition.n_rounds,unlock_condition.planet_count,unlock_condition.stake,unlock_condition.tarot_count,unlock_condition.type,unlocked,weight,yes_pool_flag
b_plasma,等离子牌组,Plasma Deck,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,Plasma Deck,,,14,,4,2,,,Back,,,1,,,True,,,,,,,,,,,,,,,5,,win_stake,False,,
b_red,红色牌组,Red Deck,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,Red Deck,,,1,,0,0,,,Back,,,1,,True,,,,,,,,,,,,,,,,,,,True,,
b_yellow,黄色牌组,Yellow Deck,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,Yellow Deck,,,3,,1,2,,,Back,,,1,,,True,50,,,,,,,,,,,,,,,,discover_amount,False,,
b_zodiac,黄道牌组,Zodiac Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v_tarot_merchant|v_planet_merchant|v_overstock_norm,,,,True,,,,,,,,,,,Zodiac Deck,,,11,,3,4,,,Back,,,1,,,True,,,,,,,,,,,,,,,2,,win_stake,False,,
c_ankh,生命十字章,Ankh,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Ankh,,,11,,0,5,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_aura,光环,Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Aura,,,5,,4,4,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,True,Base,,,1,,,Base Card,base,500,Default Base,,,,,1,0,,,Default,,,,True,True,,,,,,,,,,,,,,,,,,,,,
c_black_hole,黑洞,Black Hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,,True,False,,,,,True,,,,,Black Hole,,,18,,9,3,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_ceres,谷神星,Ceres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flush House,,,,,,,,,,,,,True,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Ceres,,,11,,8,2,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_chariot,战车,The Chariot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,m_steel,,,,,,,,,,,,,,,,,True,3,1.0,,False,Enhance,,,,,,,,,The Chariot,,,8,,7,0,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_cryptid,神秘生物,Cryptid,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Cryptid,,,16,,5,5,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_death,死神,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,card,,,,,,,,,,,,,,,,,True,3,1.0,,False,Card Conversion,,,,,,,,,Death,,,14,,3,1,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_deja_vu,既视感,Deja Vu,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Deja Vu,,,12,,1,5,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_devil,恶魔,The Devil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,m_gold,,,,,,,,,,,,,,,,,True,3,1.0,,False,Enhance,,,,,,,,,The Devil,,,16,,5,1,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_earth,地球,Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full House,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Earth,,,3,,2,3,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_ectoplasm,灵质,Ectoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Ectoplasm,,,9,,8,4,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_emperor,皇帝,The Emperor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,True,3,1.0,,False,Round Bonus,,,,,,,,,The Emperor,,,5,,4,0,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_empress,皇后,The Empress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,m_mult,,,,,,,,,,,,,,,,,True,3,1.0,,False,Enhance,,,,,,,,,The Empress,,,4,,3,0,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_eris,阋神星,Eris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flush Five,,,,,,,,,,,,,True,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Eris,,,12,,3,2,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_familiar,使魔,Familiar,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,4,,,False,,,,,,,,,,Familiar,,,1,,0,4,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_fool,愚者,The Fool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Disable Blind Effect,,,,,,,,,The Fool,,,1,,0,0,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_grim,严峻,Grim,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,4,,,False,,,,,,,,,,Grim,,,2,,1,4,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_hanged_man,倒吊人,The Hanged Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,True,,,,,,,,,,,True,3,1.0,,False,Card Removal,,,,,,,,,The Hanged Man,,,13,,2,1,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_heirophant,教皇,The Hierophant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,m_bonus,,,,,,,,,,,,,,,,,True,3,1.0,,False,Enhance,,,,,,,,,The Hierophant,,,6,,5,0,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_hermit,隐者,The Hermit,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Dollar Doubler,,,,,,,,,The Hermit,,,10,,9,0,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_hex,妖法,Hex,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Hex,,,13,,2,5,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_high_priestess,女祭司,The High Priestess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,True,3,1.0,,False,Round Bonus,,,,,,,,,The High Priestess,,,3,,2,0,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_immolate,火祭,Immolate,,,,,,,,,,,,,,,,,,5,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,4,,,False,,,,,,,,,,Immolate,,,10,,9,4,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_incantation,咒语,Incantation,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,4,,,False,,,,,,,,,,Incantation,,,3,,2,4,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_judgement,审判,Judgement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Random Joker,,,,,,,,,Judgement,,,21,,0,2,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_jupiter,木星,Jupiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flush,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Jupiter,,,5,,4,3,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_justice,正义,Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,m_glass,,,,,,,,,,,,,,,,,True,3,1.0,,False,Enhance,,,,,,,,,Justice,,,9,,8,0,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_lovers,恋人,The Lovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,m_wild,,,,,,,,,,,,,,,,,True,3,1.0,,False,Enhance,,,,,,,,,The Lovers,,,7,,6,0,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_magician,魔术师,The Magician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,m_lucky,,,,,,,,,,,,,,,,,True,3,1.0,,False,Enhance,,,,,,,,,The Magician,,,2,,1,0,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_mars,火星,Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four of a Kind,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Mars,,,4,,3,3,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_medium,灵媒,Medium,,,,,,,,,,,,,Purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Medium,,,15,,4,5,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_mercury,水星,Mercury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pair,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Mercury,,,1,,0,3,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_moon,月亮,The Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,Clubs,,,,,,,True,3,1.0,,False,Suit Conversion,,,,,,,,,The Moon,,,19,,8,1,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_neptune,海王星,Neptune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Straight Flush,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Neptune,,,8,,7,3,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_ouija,占卜,Ouija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Ouija,,,8,,7,4,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_planet_x,X行星,Planet X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Five of a Kind,,,,,,,,,,,,,True,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Planet X,,,10,,9,2,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_pluto,冥王星,Pluto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Card,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Pluto,,,9,,8,3,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_saturn,土星,Saturn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Straight,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Saturn,,,6,,5,3,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_sigil,符印,Sigil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Sigil,,,7,,6,4,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_soul,灵魂,The Soul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,,True,False,Unlocker,,,,True,,,,,The Soul,,,17,,2,2,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_star,星星,The Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,Diamonds,,,,,,,True,3,1.0,,False,Suit Conversion,,,,,,,,,The Star,,,18,,7,1,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_strength,力量,Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,up_rank,,,,,,,,,,,,,,,,,True,3,1.0,,False,Round Bonus,,,,,,,,,Strength,,,12,,1,1,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_sun,太阳,The Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,Hearts,,,,,,,True,3,1.0,,False,Suit Conversion,,,,,,,,,The Sun,,,20,,9,1,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_talisman,护身符,Talisman,,,,,,,,,,,,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Talisman,,,4,,3,4,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_temperance,节制,Temperance,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Joker Payout,,,,,,,,,Temperance,,,15,,4,1,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_tower,塔,The Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,m_stone,,,,,,,,,,,,,,,,,True,3,1.0,,False,Enhance,,,,,,,,,The Tower,,,17,,6,1,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_trance,入迷,Trance,,,,,,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Trance,,,14,,3,5,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
c_uranus,天王星,Uranus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two Pair,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Uranus,,,7,,6,3,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_venus,金星,Venus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three of a Kind,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Hand Upgrade,,,1,,,,,,Venus,,,2,,1,3,,,Planet,,,,,,,,,,,,,,,,,,,,,,,,,,
c_wheel_of_fortune,命运之轮,The Wheel of Fortune,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,1.0,,False,Round Bonus,,,,,,,,,The Wheel of Fortune,,,11,,0,1,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_world,世界,The World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,Spades,,,,,,,True,3,1.0,,False,Suit Conversion,,,,,,,,,The World,,,22,,1,2,,,Tarot,,,,,,,,,,,,,,,,,,,,,,,,,,
c_wraith,幽灵,Wraith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,,,False,,,,,,,,,,Wraith,,,6,,5,4,,,Spectral,,,,,,,,,,,,,,,,,,,,,,,,,,
e_base,基础,Base,Joker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,Base,,,1,,0,0,,,Edition,,,,,,,,,,,,,,,,,,,,,,,,True,,
e_foil,闪箔,Foil,Joker,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,Foil,,,2,,0,0,,,Edition,,,,,,,,,,,,,,,,,,,,,,,,True,,
e_holo,镭射,Holographic,Joker,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,Holographic,,,3,,0,0,,,Edition,,,,,,,,,,,,,,,,,,,,,,,,True,,
e_negative,负片,Negative,Joker,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,Negative,,,5,,0,0,,,Edition,,,,,,,,,,,,,,,,,,,,,,,,True,,
e_polychrome,多彩,Polychrome,Joker,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,Polychrome,,,4,,0,0,,,Edition,,,,,,,,,,,,,,,,,,,,,,,,True,,
j_8_ball,八号球,8 Ball,,,True,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.0,False,False,Spawn Tarot,,True,,,,,,,8 Ball,,,26,True,0,5,1,,Joker,,,,,,,,,,,,,,,,,,,,,,,,True,,
j_abstract,抽象小丑,Abstract Joker,,,True,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1.0,True,False,Joker Mult,,True,,,,,,,Abstract Joker,,,34,True,3,3,1,,Joker,,,,,,,,,,,,,,,,,,,,,,,,True,,
j_acrobat,杂技演员,Acrobat,,,True,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.0,True,False,Shop size,,True,,,,,,,Acrobat,,,108,True,2,1,2,,Joker,,,,,,True,,,,,200,,,,,,,,,,,,c_hands_played,False,,
