key,中文名,英文名,种类,kind,档位,售价,可选数,候选数,每张成本,出货权重,权重占比%,中文描述,英文描述,数值参数,描述键,order,图片
p_standard_normal_3,标准包,Standard Pack,扑克牌,Standard,普通,4,1,3,4.0,1,4.46,从最多3张游戏牌中 选择1张 添加到你的牌组,Choose 1 of up to 3 Playing cards to add to your deck,choose=1; extra=3,p_standard_normal,19,图片资源/Booster/p_standard_normal_3.png
p_standard_normal_4,标准包,Standard Pack,扑克牌,Standard,普通,4,1,3,4.0,1,4.46,从最多3张游戏牌中 选择1张 添加到你的牌组,Choose 1 of up to 3 Playing cards to add to your deck,choose=1; extra=3,p_standard_normal,20,图片资源/Booster/p_standard_normal_4.png
p_standard_jumbo_1,巨型标准包,Jumbo Standard Pack,扑克牌,Standard,巨型,6,1,5,6.0,1,4.46,从最多5张游戏牌中 选择1张 添加到你的牌组,Choose 1 of up to 5 Playing cards to add to your deck,choose=1; extra=5,p_standard_jumbo,21,图片资源/Booster/p_standard_jumbo_1.png
p_standard_jumbo_2,巨型标准包,Jumbo Standard Pack,扑克牌,Standard,巨型,6,1,5,6.0,1,4.46,从最多5张游戏牌中 选择1张 添加到你的牌组,Choose 1 of up to 5 Playing cards to add to your deck,choose=1; extra=5,p_standard_jumbo,22,图片资源/Booster/p_standard_jumbo_2.png
p_standard_mega_1,超级标准包,Mega Standard Pack,扑克牌,Standard,超巨,8,2,5,4.0,0.25,1.12,从最多5张游戏牌中 选择2张 添加到你的牌组,Choose 2 of up to 5 Playing cards to add to your deck,choose=2; extra=5,p_standard_mega,23,图片资源/Booster/p_standard_mega_1.png
p_standard_mega_2,超级标准包,Mega Standard Pack,扑克牌,Standard,超巨,8,2,5,4.0,0.25,1.12,从最多5张游戏牌中 选择2张 添加到你的牌组,Choose 2 of up to 5 Playing cards to add to your deck,choose=2; extra=5,p_standard_mega,24,图片资源/Booster/p_standard_mega_2.png
p_buffoon_normal_1,小丑包,Buffoon Pack,小丑,Buffoon,普通,4,1,2,4.0,0.6,2.68,从最多2张小丑牌中 选择1张,Choose 1 of up to 2 Joker cards,choose=1; extra=2,p_buffoon_normal,25,图片资源/Booster/p_buffoon_normal_1.png
p_buffoon_normal_2,小丑包,Buffoon Pack,小丑,Buffoon,普通,4,1,2,4.0,0.6,2.68,从最多2张小丑牌中 选择1张,Choose 1 of up to 2 Joker cards,choose=1; extra=2,p_buffoon_normal,26,图片资源/Booster/p_buffoon_normal_2.png
p_buffoon_jumbo_1,巨型小丑包,Jumbo Buffoon Pack,小丑,Buffoon,巨型,6,1,4,6.0,0.6,2.68,从最多4张小丑牌中 选择1张,Choose 1 of up to 4 Joker cards,choose=1; extra=4,p_buffoon_jumbo,27,图片资源/Booster/p_buffoon_jumbo_1.png
p_buffoon_mega_1,超级小丑包,Mega Buffoon Pack,小丑,Buffoon,超巨,8,2,4,4.0,0.15,0.67,从最多4张小丑牌中 选择2张,Choose 2 of up to 4 Joker cards,choose=2; extra=4,p_buffoon_mega,28,图片资源/Booster/p_buffoon_mega_1.png
p_spectral_normal_1,幻灵包,Spectral Pack,幽灵,Spectral,普通,4,1,2,4.0,0.3,1.34,从最多2张幻灵牌中 选择1张 即选即用,Choose 1 of up to 2 Spectral cards to be used immediately,choose=1; extra=2,p_spectral_normal,29,图片资源/Booster/p_spectral_normal_1.png
p_spectral_normal_2,幻灵包,Spectral Pack,幽灵,Spectral,普通,4,1,2,4.0,0.3,1.34,从最多2张幻灵牌中 选择1张 即选即用,Choose 1 of up to 2 Spectral cards to be used immediately,choose=1; extra=2,p_spectral_normal,30,图片资源/Booster/p_spectral_normal_2.png
p_spectral_jumbo_1,巨型幻灵包,Jumbo Spectral Pack,幽灵,Spectral,巨型,6,1,4,6.0,0.3,1.34,从最多4张幻灵牌中 选择1张 即选即用,Choose 1 of up to 4 Spectral cards to be used immediately,choose=1; extra=4,p_spectral_jumbo,31,图片资源/Booster/p_spectral_jumbo_1.png
p_spectral_mega_1,超级幻灵包,Mega Spectral Pack,幽灵,Spectral,超巨,8,2,4,4.0,0.07,0.31,从最多4张幻灵牌中 选择2张 即选即用,Choose 2 of up to 4 Spectral cards to be used immediately,choose=2; extra=4,p_spectral_mega,32,图片资源/Booster/p_spectral_mega_1.png
