key,中文名,稀有度,售价,流派,流派标签,计分轴,产出资源,消耗资源,中文描述
j_to_the_moon,冲向月球,2-罕见,5,经济流,econ,经济,,,回合结束时 每拥有$5 可以额外获得$1的利息
j_hallucination,幻觉,1-普通,4,消耗品流,consum,轴B 倍率(加法),塔罗牌,,打开任一补充包时 有G.GAME.probabilities.normal/2几率 生成一张塔罗牌 （必须有空位）
j_fortune_teller,占卜师,1-普通,6,消耗品流/自增成长型,consum/selfgrow,轴B 倍率(加法),,塔罗牌,本赛局内每使用过一张塔罗牌 这张小丑获得+1倍率 （当前为+0）
j_juggler,杂耍师,1-普通,4,手牌保留流,held,功能/规则,,,手牌上限+1
j_drunkard,醉汉,1-普通,4,弃牌流,discard,功能/规则,,,每回合 弃牌次数+1
j_stone,石头小丑,2-罕见,6,强化牌流,enh,轴A 筹码(加法),,石头牌,完整牌组内每有一张 石头牌 +25筹码 （当前为+0筹码）
j_golden,黄金小丑,1-普通,6,经济流,econ,经济,,,在回合结束时 获得$4
j_lucky_cat,招财猫,2-罕见,6,强化牌流/自增成长型,enh/selfgrow,轴C X倍率(乘法),,幸运牌,每次成功触发 一张幸运牌时 这张小丑牌获得X0.25倍率 （当前为X1倍率）
j_baseball,棒球卡,3-稀有,8,槽位规则,slot,轴C X倍率(乘法),,,每张罕见小丑牌 会给予 X1.5 倍率
j_bull,斗牛,2-罕见,6,经济流,econ,轴A 筹码(加法),,,"每拥有$1 +2筹码 （当前为+2*math.max(0,G.GAME.dollars) or 0筹码）"
j_diet_cola,零糖可乐,2-罕见,6,经济流,econ,经济,,,售出这牌就可以 创建一个免费的 type = 'name_text
j_trading,交易卡,2-罕见,6,弃牌流/经济流,discard/econ,经济,,,如果每回合的第一次弃牌 只有1张牌，则将其 摧毁并获得$3
j_flash,闪示卡,2-罕见,5,经济流/自增成长型,econ/selfgrow,轴B 倍率(加法),,,在商店中每重掷一次 这张小丑牌获得+2倍率 （当前为+0倍率）
j_popcorn,爆米花,1-普通,5,自增成长型,selfgrow,轴B 倍率(加法),,,+20倍率 每回合结束时 -4倍率
j_trousers,备用裤子,2-罕见,6,牌型流/自增成长型,hand/selfgrow,轴B 倍率(加法),,,如果打出的牌中包含 Two Pair 则这张小丑牌获得+2倍率 （当前为+0倍率）
j_ancient,古老小丑,3-稀有,8,花色流/逐张计分,suit/percard,轴C X倍率(乘法),,,打出的G.GAME.current_round.ancient_card.suit牌 在计分时 会给予 X1.5 倍率 回合结束时改变需求花色
j_ramen,拉面,2-罕见,6,弃牌流,discard,轴C X倍率(乘法),,,X2倍率 每弃掉一张牌 失去X0.01倍率
j_walkie_talkie,对讲机,1-普通,4,点数流/逐张计分,rank/percard,轴B 倍率(加法),,,打出的每张10和4 在计分时获得+10筹码 以及+4倍率
j_selzer,苏打水,2-罕见,6,重复触发源,retrigger,功能/规则,,,在接下来的10次出牌中 重新触发所有 打出的卡牌
j_castle,城堡,2-罕见,6,花色流/弃牌流/自增成长型,suit/discard/selfgrow,轴A 筹码(加法),,,每弃掉一张G.GAME.current_round.castle_card.suit牌 这张小丑牌获得+3筹码 每个回合花色都会变 （当前为+0筹码）
j_smiley,微笑表情,1-普通,4,人头牌流/逐张计分,face/percard,轴B 倍率(加法),,,打出的人头牌 在计分时 给予+5倍率
j_campfire,篝火,3-稀有,9,自增成长型,selfgrow,轴C X倍率(乘法),,,每售出一张牌 这张小丑牌获得X0.25倍率 Boss盲注被击败时重置倍率 （当前为X1倍率）
j_ticket,黄金门票,1-普通,5,强化牌流/经济流,enh/econ,经济,,黄金牌,打出的黃金牌 在计分时获得$4
j_mr_bones,骷髅先生,2-罕见,5,槽位规则,slot,功能/规则,,,如果最终得到的 筹码至少是 所需筹码的25% 则不会死亡 自毁
j_acrobat,杂技演员,2-罕见,6,牌型流,hand,轴C X倍率(乘法),,,每回合的最后一次 出牌时， X3 倍率
j_sock_and_buskin,喜与悲,2-罕见,6,重复触发源/人头牌流,retrigger/face,功能/规则,,,重新触发所有 打出的人头牌
j_swashbuckler,侠盗,1-普通,4,槽位规则/经济流,slot/econ,功能/规则,,,将拥有的所有其他 小丑牌的总售价 添加至倍率 （当前为+1倍率）
j_troubadour,游吟诗人,2-罕见,6,手牌保留流,held,功能/规则,,,+2手牌上限 每回合出牌次数-1
j_certificate,证书,2-罕见,6,强化牌流,enh,功能/规则,蜡封,,回合开始时 随机添加一张 带随机蜡封的牌 到手牌中
j_smeared,模糊小丑,2-罕见,7,使能器,enabler,功能/规则,,,红桃和方片 视作同一花色， 黑桃和梅花 也视作同一花色
j_throwback,回溯,2-罕见,6,自增成长型,selfgrow,轴C X倍率(乘法),,,本赛局内每跳过一次 盲注，获得X0.25倍率 （当前为 X1 倍率）
j_hanging_chad,未断选票,1-普通,4,重复触发源,retrigger,功能/规则,,,打出的牌中 第一张计分牌 额外触发2次
j_rough_gem,璞玉,2-罕见,7,花色流/逐张计分/经济流,suit/percard/econ,经济,,,打出的 方块花色牌 在计分时给予$1
j_bloodstone,血石,2-罕见,7,花色流/逐张计分,suit/percard,轴C X倍率(乘法),,,打出的 红桃花色牌 在计分时有1/2几率 给予X1.5倍率
j_arrowhead,箭头,2-罕见,7,花色流/逐张计分,suit/percard,轴A 筹码(加法),,,打出的 黑桃花色牌 在计分时给予+50筹码
j_onyx_agate,缟玛瑙,2-罕见,7,花色流/逐张计分,suit/percard,轴B 倍率(加法),,,打出的 梅花花色牌 在计分时给予+7倍率
j_glass,玻璃小丑,2-罕见,6,强化牌流/自增成长型,enh/selfgrow,轴C X倍率(乘法),,玻璃牌,每摧毁一张 玻璃牌 这张小丑获得X0.75倍率 （当前为 X1倍率）
j_ring_master,马戏团长,2-罕见,5,使能器/消耗品流,enabler/consum,功能/规则,,,小丑牌、塔罗牌、星球牌 和幻灵牌可以同时 出现复数张
j_flower_pot,花盆,2-罕见,6,花色流,suit,轴C X倍率(乘法),,,如果打出的牌型中，包含 方片、梅花、 红桃、黑桃牌各一张， 则 X3 倍率
j_blueprint,蓝图,3-稀有,10,复制源,copy,功能/规则,,,复制 右侧小丑牌的能力
j_wee,小小丑,3-稀有,8,点数流/逐张计分/自增成长型,rank/percard/selfgrow,轴A 筹码(加法),,,每有一张打出的2计分时 这张小丑牌获得 +8筹码 （当前为+0筹码）
j_merry_andy,快乐安迪,2-罕见,7,弃牌流/手牌保留流,discard/held,功能/规则,,,每回合 弃牌次数+3 手牌上限-1
j_oops,六六大顺,2-罕见,4,使能器,enabler,功能/规则,,,将所有以数字标注出的 几率翻倍 （例如：1/3几率 -> 2/3几率）
j_idol,偶像,2-罕见,6,花色流/点数流/逐张计分,suit/rank/percard,轴C X倍率(乘法),,,每张打出的G.GAME.current_round.idol_card.suitG.GAME.current_round.idol_card.rank 在计分时 给予 X2 倍率 每回合卡牌都会变动
j_seeing_double,重影,2-罕见,6,花色流,suit,轴C X倍率(乘法),,,如果打出的牌中，包含 一张计分的梅花牌和 一张计分的任何其他花色牌 则 X2 倍率
j_matador,斗牛士,2-罕见,7,经济流,econ,经济,,,如果出牌触发了 Boss盲注的限制条件 获得$8
j_hit_the_road,上路吧杰克,3-稀有,8,点数流/弃牌流/自增成长型,rank/discard/selfgrow,轴C X倍率(乘法),,,本回合中，每弃掉一张 J牌 这张小丑牌获得X0.5 倍率 （当前为 X1倍率）
j_duo,二重奏,3-稀有,8,牌型流,hand,轴C X倍率(乘法),,,如果打出的牌中 包含Pair X2倍率
j_trio,三重奏,3-稀有,8,牌型流,hand,轴C X倍率(乘法),,,如果打出的牌中 包含Three of a Kind X3倍率
j_family,一家人,3-稀有,8,牌型流,hand,轴C X倍率(乘法),,,如果打出的牌中 包含Four of a Kind X4倍率
j_order,秩序,3-稀有,8,牌型流,hand,轴C X倍率(乘法),,,如果打出的牌中 包含Straight X3倍率
j_tribe,部落,3-稀有,8,牌型流,hand,轴C X倍率(乘法),,,如果打出的牌中 包含Flush X2倍率
j_stuntman,特技演员,3-稀有,7,手牌保留流,held,轴A 筹码(加法),,,+250筹码 手牌上限-2
j_invisible,隐形小丑,3-稀有,8,复制源,copy,功能/规则,,,经过2个回合后 售出此卡牌可以 随机复制一张小丑牌 (当前为<运行时:invis_rounds>/2)
j_brainstorm,头脑风暴,3-稀有,10,复制源,copy,功能/规则,,,复制最左边的 小丑牌的能力
j_satellite,卫星,2-罕见,6,消耗品流/经济流,consum/econ,经济,,星球牌,本赛局每使用过一种 星球牌，每回合结束时 可得到$1 （当前$planets_used*1）
j_shoot_the_moon,射月,1-普通,5,点数流/手牌保留流,rank/held,轴B 倍率(加法),,手牌保留效果,留在手牌中的 每一张Q 给予+13倍率
j_drivers_license,驾驶执照,3-稀有,7,强化牌流,enh,轴C X倍率(乘法),,强化牌,如果牌组中至少有 16张增强卡牌， 则 X#1# 倍率 （当前#2#）
j_cartomancer,卡牌术士,2-罕见,6,消耗品流,consum,功能/规则,塔罗牌,,在选择盲注时 生成一张塔罗牌 （必须有空位）
j_astronomer,天文学家,2-罕见,8,消耗品流/经济流,consum/econ,经济,星球牌,,所有星球牌 和天体补充包 在商店内都免费
j_burnt,烧焦小丑,3-稀有,8,牌型流/弃牌流,hand/discard,功能/规则,牌型等级,,升级每回合 第一次被弃掉的 牌型的等级
j_bootstraps,提靴带,2-罕见,7,经济流,econ,轴B 倍率(加法),,,每拥有$5 +2倍率 （当前为+2*math.floor((G.GAME.dollars + (G.GAME.dollar_buffer or 0))/5)倍率）
j_caino,卡尼奥,4-传奇,20,人头牌流/自增成长型,face/selfgrow,轴C X倍率(乘法),,,每当一张人头牌 被摧毁时 这张小丑牌获得X1倍率 （当前为 X<运行时:caino_xmult>倍率）
j_triboulet,特里布莱,4-传奇,20,点数流/人头牌流/逐张计分,rank/face/percard,轴C X倍率(乘法),,,打出的K和Q 在计分时 给予X2倍率
j_yorick,约里克,4-传奇,20,弃牌流/自增成长型,discard/selfgrow,轴C X倍率(乘法),,,每弃掉23[<运行时:yorick_discards>]张牌 这张小丑牌获得 X1 倍率 （当前为 X1 倍率）
j_chicot,希科,4-传奇,20,使能器,enabler,功能/规则,,,所有Boss盲注 限制条件消失
j_perkeo,帕奇欧,4-传奇,20,复制源/消耗品流,copy/consum,功能/规则,消耗牌,,在离开商店时 随机复制1张 拥有的消耗牌 并给那张牌负片效果
