机制,源,目标,说明
C 复制(通用),帕奇欧,拉面,"帕奇欧 复制 拉面,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,招财猫,"帕奇欧 复制 招财猫,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,方尖石塔,"帕奇欧 复制 方尖石塔,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,星座,"帕奇欧 复制 星座,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,杂技演员,"帕奇欧 复制 杂技演员,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,棒球卡,"帕奇欧 复制 棒球卡,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,模具小丑,"帕奇欧 复制 模具小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,照片,"帕奇欧 复制 照片,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,特里布莱,"帕奇欧 复制 特里布莱,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,玻璃小丑,"帕奇欧 复制 玻璃小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,男爵,"帕奇欧 复制 男爵,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,疯狂,"帕奇欧 复制 疯狂,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,秩序,"帕奇欧 复制 秩序,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,积分卡,"帕奇欧 复制 积分卡,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,篝火,"帕奇欧 复制 篝火,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,约里克,"帕奇欧 复制 约里克,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,老千小丑,"帕奇欧 复制 老千小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,花盆,"帕奇欧 复制 花盆,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,血石,"帕奇欧 复制 血石,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,部落,"帕奇欧 复制 部落,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,重影,"帕奇欧 复制 重影,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,钢铁小丑,"帕奇欧 复制 钢铁小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,驾驶执照,"帕奇欧 复制 驾驶执照,X 倍率直接进 Π 项再乘一次"
C 复制(通用),帕奇欧,黑板,"帕奇欧 复制 黑板,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,一家人,"蓝图 复制 一家人,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,三重奏,"蓝图 复制 三重奏,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,上路吧杰克,"蓝图 复制 上路吧杰克,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,二重奏,"蓝图 复制 二重奏,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,偶像,"蓝图 复制 偶像,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,全息影像,"蓝图 复制 全息影像,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,卡尼奥,"蓝图 复制 卡尼奥,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,卡文迪什,"蓝图 复制 卡文迪什,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,古老小丑,"蓝图 复制 古老小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,吸血鬼,"蓝图 复制 吸血鬼,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,回溯,"蓝图 复制 回溯,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,拉面,"蓝图 复制 拉面,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,招财猫,"蓝图 复制 招财猫,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,方尖石塔,"蓝图 复制 方尖石塔,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,星座,"蓝图 复制 星座,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,杂技演员,"蓝图 复制 杂技演员,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,棒球卡,"蓝图 复制 棒球卡,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,模具小丑,"蓝图 复制 模具小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,照片,"蓝图 复制 照片,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,特里布莱,"蓝图 复制 特里布莱,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,玻璃小丑,"蓝图 复制 玻璃小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,男爵,"蓝图 复制 男爵,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,疯狂,"蓝图 复制 疯狂,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,秩序,"蓝图 复制 秩序,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,积分卡,"蓝图 复制 积分卡,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,篝火,"蓝图 复制 篝火,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,约里克,"蓝图 复制 约里克,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,老千小丑,"蓝图 复制 老千小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,花盆,"蓝图 复制 花盆,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,血石,"蓝图 复制 血石,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,部落,"蓝图 复制 部落,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,重影,"蓝图 复制 重影,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,钢铁小丑,"蓝图 复制 钢铁小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,驾驶执照,"蓝图 复制 驾驶执照,X 倍率直接进 Π 项再乘一次"
C 复制(通用),蓝图,黑板,"蓝图 复制 黑板,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,一家人,"隐形小丑 复制 一家人,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,三重奏,"隐形小丑 复制 三重奏,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,上路吧杰克,"隐形小丑 复制 上路吧杰克,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,二重奏,"隐形小丑 复制 二重奏,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,偶像,"隐形小丑 复制 偶像,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,全息影像,"隐形小丑 复制 全息影像,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,卡尼奥,"隐形小丑 复制 卡尼奥,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,卡文迪什,"隐形小丑 复制 卡文迪什,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,古老小丑,"隐形小丑 复制 古老小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,吸血鬼,"隐形小丑 复制 吸血鬼,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,回溯,"隐形小丑 复制 回溯,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,拉面,"隐形小丑 复制 拉面,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,招财猫,"隐形小丑 复制 招财猫,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,方尖石塔,"隐形小丑 复制 方尖石塔,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,星座,"隐形小丑 复制 星座,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,杂技演员,"隐形小丑 复制 杂技演员,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,棒球卡,"隐形小丑 复制 棒球卡,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,模具小丑,"隐形小丑 复制 模具小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,照片,"隐形小丑 复制 照片,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,特里布莱,"隐形小丑 复制 特里布莱,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,玻璃小丑,"隐形小丑 复制 玻璃小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,男爵,"隐形小丑 复制 男爵,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,疯狂,"隐形小丑 复制 疯狂,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,秩序,"隐形小丑 复制 秩序,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,积分卡,"隐形小丑 复制 积分卡,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,篝火,"隐形小丑 复制 篝火,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,约里克,"隐形小丑 复制 约里克,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,老千小丑,"隐形小丑 复制 老千小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,花盆,"隐形小丑 复制 花盆,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,血石,"隐形小丑 复制 血石,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,部落,"隐形小丑 复制 部落,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,重影,"隐形小丑 复制 重影,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,钢铁小丑,"隐形小丑 复制 钢铁小丑,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,驾驶执照,"隐形小丑 复制 驾驶执照,X 倍率直接进 Π 项再乘一次"
C 复制(通用),隐形小丑,黑板,"隐形小丑 复制 黑板,X 倍率直接进 Π 项再乘一次"
E 使能器(通用),四指,一家人,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,三重奏,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,二重奏,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,偶像,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,半张小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,卡文迪什,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,叠加态,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,古怪小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,古老小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,城堡,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,备用裤子,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,太空小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,奸诈小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,开心小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,待办清单,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,愤怒小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,方尖石塔,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,方形小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,暴食小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,杂技演员,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,滑稽小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,烧焦小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,狂野小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,狡猾小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,璞玉,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,疯狂小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,秩序,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,箭头,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,精明小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,缟玛瑙,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,老千小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,聪敏小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,色欲小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,花盆,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,血石,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,贪婪小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,超新星,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,跑步选手,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,通灵,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,部落,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,重影,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,阴险小丑,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),四指,黑板,"同花/顺子只要 4 张,同花与顺子系的触发率大涨"
E 使能器(通用),幻视,卡尼奥,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),幻视,名片,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),幻视,喜与悲,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),幻视,微笑表情,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),幻视,恐怖面孔,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),幻视,搭乘巴士,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),幻视,无面小丑,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),幻视,照片,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),幻视,特里布莱,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),幻视,私人车位,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),幻视,迈达斯面具,"所有牌视为人头牌,人头牌流从「看运气摸到」变成每张都触发"
E 使能器(通用),捷径,一家人,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,三重奏,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,二重奏,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,半张小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,卡文迪什,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,叠加态,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,古怪小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,备用裤子,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,太空小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,奸诈小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,开心小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,待办清单,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,方尖石塔,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,方形小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,杂技演员,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,滑稽小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,烧焦小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,狂野小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,狡猾小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,疯狂小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,秩序,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,精明小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,老千小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,聪敏小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,超新星,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,跑步选手,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,通灵,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,部落,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),捷径,阴险小丑,"顺子可隔 1 点,顺子系的触发率大涨"
E 使能器(通用),模糊小丑,偶像,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,古老小丑,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,城堡,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,愤怒小丑,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,暴食小丑,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,璞玉,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,箭头,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,缟玛瑙,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,色欲小丑,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,花盆,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,血石,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,贪婪小丑,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,重影,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),模糊小丑,黑板,"红桃=方片、黑桃=梅花,同花系的触发率大涨"
E 使能器(通用),飞溅,偶像,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,偶数史蒂文,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,古老小丑,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,奇数托德,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,学者,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,对讲机,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,小小丑,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,徒步者,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,微笑表情,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,恐怖面孔,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,愤怒小丑,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,斐波那契,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,暴食小丑,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,特里布莱,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,璞玉,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,箭头,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,缟玛瑙,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
