boardId,boardData,producerBlocks,blocksColors,guideTargetCell,move,spineTargetPositions
15,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, 2, 2, -1], [4, -1, -1, -1, -1, 7, 7, 2], [-1, 4, -1, -1, -1, 7, -1, -1], [-1, -1, 7, 7, 7, 7, -1, -1], [-1, -1, 7, 7, 7, 7, -1, -1], [-1, -1, 3, -1, -1, 3, -1, -1]]","[15, 9, 27]","[6, 4, 5]",,,
16,"[[-1, 1, -1, 5, 5, -1, 1, -1], [1, 1, -1, 5, 5, -1, 1, 1], [1, -1, 7, 5, 5, 7, -1, 1], [1, 1, -1, 5, 5, -1, 1, 1], [-1, 1, -1, 5, 5, -1, 1, -1], [-1, 1, -1, 2, 2, -1, 1, -1], [5, 5, 2, -1, -1, 2, 5, 5], [5, 5, 2, -1, -1, 2, 5, 5]]","[23, 9, 24]","[6, 4, 7]",,,
17,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 4, 7, 3, 4, -1, -1], [-1, 1, -1, -1, -1, -1, 1, -1], [6, -1, -1, -1, -1, -1, -1, 6], [5, -1, 2, -1, -1, 2, -1, 5], [-1, 7, -1, -1, -1, -1, 7, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[16, 19, 36]","[1, 2, 5]",,,
18,"[[-1, -1, -1, -1, 4, -1, -1, 4], [-1, -1, 7, 7, -1, 2, 2, -1], [-1, 7, 7, 7, 7, 2, 2, -1], [-1, 7, 7, 7, 7, 2, 2, -1], [-1, 7, 7, 7, 7, 2, 2, -1], [-1, 2, 2, 2, 2, 2, 2, -1], [2, 2, 2, 2, 2, 2, 2, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[4, 14, 5]","[4, 5, 6]",,,
19,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, 5, -1, 5, -1], [6, 6, 6, 6, 6, 6, 6, -1], [-1, -1, -1, 6, 6, 6, 6, 6], [-1, 6, 6, 6, 6, 6, 6, -1]]","[34, 30, 11]","[2, 3, 1]",,,
20,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [2, 7, 4, -1, -1, 2, 4, 2], [3, -1, -1, -1, -1, -1, -1, 1], [-1, -1, 6, -1, -1, 5, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[14, 18, 9]","[4, 4, 2]",,,
21,"[[-1, -1, 3, -1, -1, 3, -1, -1], [-1, -1, 5, 6, 1, 7, -1, -1], [-1, -1, 3, -1, -1, 3, -1, -1], [-1, -1, -1, 4, 4, -1, -1, -1], [-1, -1, -1, 4, 4, -1, -1, -1], [-1, -1, 3, -1, -1, 3, -1, -1], [-1, -1, 7, 1, 6, 5, -1, -1], [-1, -1, 3, -1, -1, 3, -1, -1]]","[2, 3, 35]","[6, 6, 3]",,,
22,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, 3, 3, 3, -1], [-1, -1, -1, 3, 4, 4, 4, 3], [-1, -1, -1, 3, 4, 4, 4, 3], [6, -1, 6, -1, 4, 4, 4, -1], [-1, 6, -1, 4, 4, 4, 4, 4], [-1, -1, 6, -1, 6, 6, 6, -1], [-1, -1, -1, 6, 6, 6, -1, -1]]","[41, 38, 34]","[7, 2, 7]",,,
23,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [4, 4, -1, 7, 7, -1, 3, -1], [4, -1, -1, 7, -1, -1, 3, -1], [4, 4, -1, 7, 7, -1, 3, 3]]","[25, 25, 12]","[5, 4, 5]",,,
24,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 1, 7, 5, -1, -1, -1], [-1, -1, -1, -1, 7, -1, -1, -1], [-1, -1, -1, -1, 1, -1, -1, -1], [-1, -1, -1, -1, -1, 6, 2, 4], [-1, -1, -1, -1, -1, 2, -1, -1], [-1, -1, -1, -1, -1, 4, -1, -1]]","[9, 9, 13]","[7, 2, 2]",,,
25,"[[-1, -1, -1, 1, 1, 1, -1, -1], [-1, -1, 7, 7, 7, 7, 7, -1], [-1, -1, 7, 7, 7, 7, 7, -1], [1, -1, 7, 4, 7, 4, 7, -1], [1, -1, 7, 7, 7, 7, 7, -1], [1, -1, -1, 7, 7, 7, -1, -1], [-1, 1, -1, -1, 7, -1, -1, -1], [-1, -1, 1, 1, -1, -1, -1, -1]]","[32, 18, 7]","[6, 2, 7]",,,
26,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, 5, -1, -1], [7, 7, 7, -1, -1, -1, 5, -1], [-1, 7, 7, 3, 3, 3, 5, 5], [7, 7, 7, -1, -1, -1, 5, -1], [-1, -1, -1, -1, -1, 5, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[15, 10, 25]","[6, 5, 5]",,,
27,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 3, -1, 3, 2, -1, -1], [-1, -1, -1, -1, 2, 2, -1, -1], [-1, -1, -1, -1, 7, 2, -1, -1], [-1, -1, -1, -1, 7, 7, -1, -1], [-1, -1, -1, 3, 7, 3, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[25, 20, 11]","[2, 7, 3]",,,
28,"[[-1, -1, -1, -1, -1, -1, -1, -1], [6, 6, 6, -1, 6, 6, 6, -1], [6, 2, 2, -1, 2, 2, 6, -1], [6, 2, 2, 1, 2, 2, 6, -1], [6, 6, 6, 1, 6, 6, 6, -1], [-1, 6, 2, 2, 2, 6, -1, -1], [-1, 6, 6, -1, 6, 6, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[21, 5, 22]","[2, 2, 7]",,,
29,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 7, 1, -1, -1, -1], [-1, -1, 7, 1, 1, 1, -1, -1], [-1, -1, 7, 1, 1, 1, -1, -1], [-1, -1, 7, 1, 1, 1, -1, -1], [-1, -1, 7, 1, 1, 1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, 1, 1, -1, -1, -1]]","[34, 8, 33]","[6, 4, 5]",,,
30,"[[-1, -1, -1, -1, -1, -1, 3, 3], [-1, -1, -1, -1, -1, 3, 6, 3], [-1, -1, -1, -1, 3, 1, 3, -1], [-1, -1, -1, 3, 2, 3, -1, -1], [7, 7, 3, 4, 3, -1, -1, -1], [-1, 7, 5, 3, -1, -1, -1, -1], [-1, 7, 7, 7, -1, -1, -1, -1], [7, -1, -1, 7, -1, -1, -1, -1]]","[3, 12, 35]","[6, 4, 5]",,,
31,"[[1, -1, -1, -1, -1, -1, -1, -1], [1, 1, -1, -1, -1, -1, -1, -1], [1, 1, 1, -1, 1, -1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [-1, -1, 1, 1, 1, -1, -1, -1], [-1, 2, 1, 1, 1, 1, -1, -1], [-1, 4, 2, -1, 1, 1, 1, -1], [-1, -1, -1, -1, 1, 1, 1, 1]]","[26, 23, 25]","[2, 5, 7]",,,
32,"[[-1, 7, -1, 3, 3, -1, 7, -1], [-1, 7, -1, 3, 3, -1, 7, -1], [7, -1, 7, 3, 3, 7, -1, 7], [-1, 7, -1, 3, 3, -1, 7, -1], [-1, 7, -1, 3, 3, -1, 7, -1], [-1, -1, -1, 4, 4, -1, -1, -1], [3, 3, 4, -1, -1, 4, 3, 3], [3, 3, 4, -1, -1, 4, 3, 3]]","[23, 9, 24]","[6, 5, 7]",,,
33,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 4, 3, 2, 1, 5, 6], [-1, -1, -1, -1, -1, -1, -1, 7], [-1, 4, 3, 2, 1, 5, -1, 4], [-1, 7, -1, -1, -1, 6, -1, 3], [-1, 6, -1, 3, 4, 7, -1, 2], [-1, 5, -1, -1, -1, -1, -1, 1], [-1, 1, 2, 3, 4, 7, 6, 5]]","[4, 34, 22]","[6, 5, 7]",,,
34,"[[2, 2, -1, -1, -1, -1, 2, 2], [-1, 2, 2, -1, -1, 2, 2, -1], [2, -1, 2, 2, 2, 2, -1, 2], [2, 2, -1, 2, 2, -1, 2, 2], [2, 2, 7, -1, -1, 7, 2, 2], [-1, 2, 2, 2, 2, 2, 2, -1], [-1, -1, 2, 2, 2, 2, -1, -1], [-1, -1, -1, 2, 2, -1, -1, -1]]","[18, 39, 41]","[6, 5, 7]",,,
35,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, 5, -1], [-1, -1, -1, -1, -1, 5, 2, 5], [-1, 4, -1, -1, -1, 6, 5, -1], [4, 2, 4, -1, -1, 6, -1, -1], [-1, 4, 6, -1, -1, 6, -1, -1], [-1, -1, 6, -1, -1, 6, -1, -1], [-1, -1, 6, -1, -1, 6, -1, -1]]","[36, 19, 6]","[4, 4, 7]",,,
36,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, 7, 7, 7, -1, -1, -1, -1], [-1, 7, 4, -1, 7, -1, -1, -1], [-1, 7, -1, 4, 7, -1, -1, -1], [-1, 7, 7, 7, 7, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[41, 7, 35]","[6, 3, 5]",,,
37,"[[4, 6, -1, -1, -1, -1, -1, -1], [3, -1, -1, -1, -1, -1, -1, -1], [2, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 3, -1, -1, -1, -1, -1, -1], [5, 7, 1, -1, -1, -1, -1, -1], [6, 4, 1, -1, -1, -1, -1, -1]]","[19, 14, 25]","[2, 7, 5]",,,
38,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 4, 4, -1, -1, -1, -1], [-1, -1, 4, 4, 3, -1, -1, -1], [-1, -1, -1, 3, -1, 6, -1, -1], [-1, -1, -1, -1, 6, 2, 2, -1], [-1, -1, -1, -1, -1, 2, 2, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[41, 23, 12]","[1, 1, 7]",,,
39,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 4, -1, 4, -1, -1, -1], [-1, 4, 1, 4, 1, 4, -1, -1], [-1, -1, 4, 7, 4, -1, -1, -1], [-1, -1, -1, 4, -1, -1, -1, -1], [-1, -1, -1, 4, -1, -1, -1, 7], [-1, -1, -1, 4, 4, 7, 7, -1], [-1, -1, 4, 4, 4, 4, -1, -1]]","[19, 26, 14]","[6, 5, 5]",,,
40,"[[1, 5, -1, -1, -1, -1, 5, 1], [5, 1, 5, -1, -1, 5, 1, 5], [-1, 5, 1, 2, 2, 1, 5, -1], [-1, -1, 2, -1, -1, 2, -1, -1], [-1, -1, 2, -1, -1, 2, -1, -1], [-1, 5, 1, 2, 2, 1, 5, -1], [5, 1, 5, -1, -1, 5, 1, 5], [1, 5, -1, -1, -1, -1, 5, 1]]","[19, 9, 14]","[6, 7, 5]",,,
41,"[[-1, -1, -1, -1, -1, -1, -1, -1], [2, 2, 2, -1, 2, 2, 2, -1], [2, 1, 2, -1, 2, 1, 2, -1], [2, 2, 2, -1, 2, 2, 2, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, 7, -1, -1, -1, 7, -1, -1], [-1, -1, 7, 7, 7, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[4, 4, 42]","[1, 2, 5]",,,
42,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 6, -1, -1, -1, -1], [-1, -1, 6, 6, 2, -1, -1, -1], [-1, 2, 6, 6, 6, 6, -1, -1], [6, 6, 6, 6, 6, 2, 6, -1], [-1, -1, -1, 3, -1, -1, -1, -1], [-1, -1, -1, 3, -1, -1, -1, -1], [-1, -1, -1, 3, -1, -1, -1, -1]]","[25, 20, 12]","[5, 4, 5]",,,
43,"[[-1, -1, -1, 6, 6, 6, 6, -1], [-1, -1, 6, -1, 6, -1, -1, -1], [-1, 3, 3, -1, 6, -1, -1, -1], [3, 3, 3, 3, -1, 6, -1, -1], [3, 3, 3, 3, -1, 3, 3, -1], [-1, 3, 3, -1, 3, 3, 3, 3], [-1, -1, -1, -1, 3, 3, 3, 3], [-1, -1, -1, -1, -1, 3, 3, -1]]","[8, 2, 15]","[6, 5, 7]",,,
44,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, 5, -1, -1, -1, -1, -1, -1], [5, 2, 5, -1, -1, -1, -1, -1], [-1, 5, -1, -1, 7, -1, -1, -1], [-1, -1, -1, 7, 2, 7, -1, -1], [-1, -1, -1, -1, 7, -1, -1, -1]]","[33, 19, 16]","[4, 2, 6]",,,
45,"[[-1, -1, -1, -1, -1, -1, -1, -1], [3, 2, -1, -1, -1, -1, 2, 3], [5, 1, -1, -1, -1, -1, 1, 5], [7, -1, -1, -1, -1, -1, -1, 7], [7, -1, -1, -1, -1, -1, -1, 7], [7, -1, -1, 4, 4, -1, -1, 7], [-1, -1, 4, -1, -1, 4, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[18, 14, 9]","[6, 6, 1]",,,
46,"[[-1, 3, 3, 3, 3, 3, -1, -1], [-1, 3, 2, 3, 2, 3, -1, -1], [-1, -1, 3, 3, 3, -1, -1, -1], [-1, 3, -1, 3, -1, 3, -1, -1], [-1, 3, -1, 3, -1, -1, 3, -1], [-1, 3, -1, 3, 3, -1, 3, -1], [3, 3, -1, -1, 3, -1, 3, 3], [3, -1, -1, -1, 3, -1, -1, -1]]","[20, 16, 25]","[6, 5, 7]",,,
47,"[[-1, -1, -1, 7, -1, -1, -1, -1], [-1, -1, -1, 7, -1, -1, -1, -1], [-1, -1, 7, 7, 7, -1, -1, -1], [-1, 7, 7, 7, 7, 7, -1, -1], [7, 7, -1, 7, -1, 7, 7, -1], [7, -1, -1, 7, -1, -1, 7, -1], [-1, -1, -1, 7, -1, -1, -1, -1], [-1, -1, 7, -1, 7, -1, -1, -1]]","[32, 39, 41]","[6, 5, 7]",,,
48,"[[-1, -1, -1, -1, -1, -1, -1, -1], [4, 4, -1, -1, -1, -1, 4, 4], [4, -1, 4, 4, 4, 4, -1, 4], [-1, 4, 4, 4, 4, 4, 4, -1], [-1, 4, 7, 4, 4, 7, 4, -1], [-1, 4, 2, 2, 2, 2, 4, -1], [-1, 4, 2, 1, 1, 2, 4, -1], [-1, -1, 4, 2, 2, 4, -1, -1]]","[41, 9, 39]","[3, 3, 7]",,,
49,"[[-1, -1, 1, 1, 1, -1, -1, -1], [-1, -1, 1, 1, 1, -1, -1, -1], [4, 4, -1, 1, 1, -1, -1, -1], [4, 4, 4, -1, -1, 2, 2, 2], [4, 4, 4, -1, -1, 2, 2, 2], [-1, -1, -1, 6, 6, -1, 2, 2], [-1, -1, -1, 6, 6, 6, -1, -1], [-1, -1, -1, 6, 6, 6, -1, -1]]","[9, 30, 39]","[6, 5, 7]",,,
50,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 4, 6, 5, 1, 2, 3, -1], [-1, 3, -1, -1, -1, -1, 4, -1], [-1, 2, -1, -1, -1, -1, 7, -1], [-1, 1, -1, -1, -1, -1, 6, -1], [-1, 5, -1, -1, -1, -1, 5, -1], [-1, 6, 7, 4, 3, 2, 1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[11, 12, 22]","[6, 7, 5]",,,
51,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, 6, 1, 6, -1], [-1, -1, -1, -1, 2, 6, 7, -1], [-1, 4, -1, -1, 6, 5, 6, -1], [4, 2, 4, -1, -1, 3, -1, -1], [-1, 4, 6, -1, -1, 3, -1, -1], [-1, -1, 6, -1, -1, 3, -1, -1], [-1, -1, 6, -1, -1, 3, -1, -1]]","[36, 16, 9]","[4, 4, 7]",,,
52,"[[-1, -1, -1, -1, 5, -1, -1, -1], [-1, -1, -1, 5, 2, 5, -1, -1], [-1, -1, -1, 6, 5, -1, -1, -1], [-1, -1, -1, 6, -1, -1, -1, -1], [-1, -1, -1, 6, -1, -1, -1, -1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, 1, 1, 1, -1, -1]]","[31, 9, 25]","[6, 5, 7]",,,
53,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 1, 1, 2, 2, -1, -1], [-1, 1, 1, 2, -1, -1, -1, -1], [-1, 1, 2, -1, -1, -1, -1, -1], [1, 5, 2, 2, 2, 2, 2, -1], [-1, 1, 2, -1, -1, -1, -1, -1], [-1, 1, 1, 2, -1, -1, -1, -1], [-1, -1, 1, 1, 2, 2, -1, -1]]","[27, 17, 7]","[6, 4, 5]",,,
54,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, 7, 7, -1], [-1, 4, -1, -1, -1, 7, 2, 7], [-1, 3, -1, -1, -1, 7, -1, -1], [-1, 2, -1, -1, -1, -1, 7, -1], [-1, 1, 5, 6, 7, 7, 7, -1], [-1, 7, 7, 7, 7, 7, 7, -1], [-1, -1, -1, -1, -1, 7, -1, 7]]","[30, 38, 7]","[6, 5, 7]",,,
55,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 7, 7, 7, 7, -1, -1], [-1, -1, -1, 7, 7, -1, -1, -1], [-1, -1, 4, 3, 2, 1, -1, -1], [-1, 3, 5, 2, 4, 6, 5, -1], [-1, -1, 2, 4, 6, 3, -1, -1], [-1, -1, -1, 3, 4, -1, -1, -1]]","[24, 20, 23]","[6, 4, 2]",,,
56,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 6, -1, -1, -1, -1], [-1, -1, 6, 6, 6, -1, -1, -1], [-1, 6, 5, 6, 6, 6, -1, -1], [-1, -1, 6, 6, 6, -1, -1, -1], [-1, 6, 3, 6, 6, 6, -1, -1], [6, 6, 6, 6, 2, 6, 6, -1], [-1, -1, -1, 4, -1, -1, -1, -1]]","[25, 24, 20]","[2, 5, 4]",,,
57,"[[2, -1, -1, 2, 2, -1, -1, 2], [-1, 2, -1, 2, 2, -1, 2, -1], [2, -1, 7, 2, 2, 7, -1, 2], [2, -1, -1, 2, 2, -1, -1, 2], [-1, 2, 2, 3, 3, 2, 2, -1], [2, 4, 3, -1, -1, 3, 4, 2], [4, 4, 3, -1, -1, 3, 4, 4], [-1, -1, -1, 3, 3, -1, -1, -1]]","[8, 9, 37]","[6, 5, 7]",,,
58,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 2, 2, 2, -1, -1], [-1, -1, 2, 2, 2, 2, 2, -1], [-1, -1, 2, 7, 4, 7, 2, -1], [-1, 2, 2, 2, 2, 2, 2, 2], [-1, -1, -1, 2, -1, 2, -1, -1], [-1, -1, 4, 4, -1, 4, 4, -1]]","[32, 8, 15]","[6, 5, 7]",,,
59,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 3, -1, -1, -1, -1], [-1, -1, 3, 2, 3, -1, -1, -1], [-1, 3, 1, 6, 1, 3, -1, -1], [-1, 3, 6, 5, 6, 3, -1, -1], [-1, 3, 1, 6, 1, 3, -1, -1], [-1, -1, 3, 2, 3, -1, -1, -1], [-1, -1, -1, 3, -1, -1, -1, -1]]","[15, 34, 28]","[6, 5, 7]",,,
60,"[[-1, -1, -1, -1, -1, -1, -1, -1], [7, 7, -1, -1, -1, 7, 7, -1], [7, -1, 4, 4, 4, -1, 7, -1], [-1, 2, -1, -1, -1, 2, -1, -1], [4, -1, -1, -1, -1, -1, 4, -1], [4, -1, -1, -1, -1, -1, 4, -1], [4, -1, -1, 2, -1, -1, 4, -1], [-1, 4, 4, -1, 4, 4, -1, -1]]","[12, 39, 41]","[2, 5, 7]",,,
