APK内路径,分类,字节,落盘位置
assets/resources/sounds/button.ogg,资源,8133,资源/sounds/button.ogg
assets/resources/sounds/cancel.ogg,资源,10080,资源/sounds/cancel.ogg
assets/resources/sounds/card1.ogg,资源,13938,资源/sounds/card1.ogg
assets/resources/sounds/card3.ogg,资源,11872,资源/sounds/card3.ogg
assets/resources/sounds/cardFan2.ogg,资源,16469,资源/sounds/cardFan2.ogg
assets/resources/sounds/cardSlide1.ogg,资源,10928,资源/sounds/cardSlide1.ogg
assets/resources/sounds/cardSlide2.ogg,资源,9883,资源/sounds/cardSlide2.ogg
assets/resources/sounds/chips1.ogg,资源,8984,资源/sounds/chips1.ogg
assets/resources/sounds/chips2.ogg,资源,12117,资源/sounds/chips2.ogg
assets/resources/sounds/coin1.ogg,资源,11309,资源/sounds/coin1.ogg
assets/resources/sounds/coin2.ogg,资源,9726,资源/sounds/coin2.ogg
assets/resources/sounds/coin3.ogg,资源,11663,资源/sounds/coin3.ogg
assets/resources/sounds/coin4.ogg,资源,10525,资源/sounds/coin4.ogg
assets/resources/sounds/coin5.ogg,资源,13102,资源/sounds/coin5.ogg
assets/resources/sounds/coin6.ogg,资源,18051,资源/sounds/coin6.ogg
assets/resources/sounds/coin7.ogg,资源,11315,资源/sounds/coin7.ogg
assets/resources/sounds/crumple1.ogg,资源,14184,资源/sounds/crumple1.ogg
assets/resources/sounds/crumple2.ogg,资源,14336,资源/sounds/crumple2.ogg
assets/resources/sounds/crumple3.ogg,资源,13284,资源/sounds/crumple3.ogg
assets/resources/sounds/crumple4.ogg,资源,13132,资源/sounds/crumple4.ogg
assets/resources/sounds/crumple5.ogg,资源,13806,资源/sounds/crumple5.ogg
assets/resources/sounds/crumpleLong1.ogg,资源,51138,资源/sounds/crumpleLong1.ogg
assets/resources/sounds/crumpleLong2.ogg,资源,54742,资源/sounds/crumpleLong2.ogg
assets/resources/sounds/explosion1.ogg,资源,48426,资源/sounds/explosion1.ogg
assets/resources/sounds/explosion_buildup1.ogg,资源,31851,资源/sounds/explosion_buildup1.ogg
assets/resources/sounds/explosion_release1.ogg,资源,31998,资源/sounds/explosion_release1.ogg
assets/resources/sounds/foil1.ogg,资源,8766,资源/sounds/foil1.ogg
assets/resources/sounds/foil2.ogg,资源,9542,资源/sounds/foil2.ogg
assets/resources/sounds/generic1.ogg,资源,7135,资源/sounds/generic1.ogg
assets/resources/sounds/glass1.ogg,资源,16954,资源/sounds/glass1.ogg
assets/resources/sounds/glass2.ogg,资源,16797,资源/sounds/glass2.ogg
assets/resources/sounds/glass3.ogg,资源,16572,资源/sounds/glass3.ogg
assets/resources/sounds/glass4.ogg,资源,17504,资源/sounds/glass4.ogg
assets/resources/sounds/glass5.ogg,资源,17135,资源/sounds/glass5.ogg
assets/resources/sounds/glass6.ogg,资源,18045,资源/sounds/glass6.ogg
assets/resources/sounds/gold_seal.ogg,资源,13284,资源/sounds/gold_seal.ogg
assets/resources/sounds/gong.ogg,资源,18145,资源/sounds/gong.ogg
assets/resources/sounds/highlight1.ogg,资源,7187,资源/sounds/highlight1.ogg
assets/resources/sounds/highlight2.ogg,资源,13384,资源/sounds/highlight2.ogg
assets/resources/sounds/holo1.ogg,资源,12555,资源/sounds/holo1.ogg
assets/resources/sounds/introPad1.ogg,资源,334018,资源/sounds/introPad1.ogg
assets/resources/sounds/magic_crumple.ogg,资源,86129,资源/sounds/magic_crumple.ogg
assets/resources/sounds/magic_crumple2.ogg,资源,35330,资源/sounds/magic_crumple2.ogg
assets/resources/sounds/magic_crumple3.ogg,资源,24430,资源/sounds/magic_crumple3.ogg
assets/resources/sounds/multhit1.ogg,资源,12082,资源/sounds/multhit1.ogg
assets/resources/sounds/multhit2.ogg,资源,14952,资源/sounds/multhit2.ogg
assets/resources/sounds/music1.ogg,资源,2938742,资源/sounds/music1.ogg
assets/resources/sounds/music2.ogg,资源,2615269,资源/sounds/music2.ogg
assets/resources/sounds/music3.ogg,资源,2511058,资源/sounds/music3.ogg
assets/resources/sounds/music4.ogg,资源,2808397,资源/sounds/music4.ogg
assets/resources/sounds/music5.ogg,资源,2845828,资源/sounds/music5.ogg
assets/resources/sounds/negative.ogg,资源,13198,资源/sounds/negative.ogg
assets/resources/sounds/other1.ogg,资源,12148,资源/sounds/other1.ogg
assets/resources/sounds/paper1.ogg,资源,5272,资源/sounds/paper1.ogg
assets/resources/sounds/polychrome1.ogg,资源,30021,资源/sounds/polychrome1.ogg
assets/resources/sounds/slice1.ogg,资源,8497,资源/sounds/slice1.ogg
assets/resources/sounds/splash_buildup.ogg,资源,339559,资源/sounds/splash_buildup.ogg
assets/resources/sounds/tarot1.ogg,资源,9121,资源/sounds/tarot1.ogg
assets/resources/sounds/tarot2.ogg,资源,10822,资源/sounds/tarot2.ogg
assets/resources/sounds/timpani.ogg,资源,14191,资源/sounds/timpani.ogg
assets/resources/sounds/voice1.ogg,资源,7084,资源/sounds/voice1.ogg
assets/resources/sounds/voice10.ogg,资源,7091,资源/sounds/voice10.ogg
assets/resources/sounds/voice11.ogg,资源,6989,资源/sounds/voice11.ogg
assets/resources/sounds/voice2.ogg,资源,7020,资源/sounds/voice2.ogg
assets/resources/sounds/voice3.ogg,资源,7099,资源/sounds/voice3.ogg
assets/resources/sounds/voice4.ogg,资源,7363,资源/sounds/voice4.ogg
assets/resources/sounds/voice5.ogg,资源,7195,资源/sounds/voice5.ogg
assets/resources/sounds/voice6.ogg,资源,7119,资源/sounds/voice6.ogg
assets/resources/sounds/voice7.ogg,资源,7061,资源/sounds/voice7.ogg
assets/resources/sounds/voice8.ogg,资源,7164,资源/sounds/voice8.ogg
assets/resources/sounds/voice9.ogg,资源,7166,资源/sounds/voice9.ogg
assets/resources/sounds/whoosh.ogg,资源,9912,资源/sounds/whoosh.ogg
assets/resources/sounds/whoosh1.ogg,资源,12902,资源/sounds/whoosh1.ogg
assets/resources/sounds/whoosh2.ogg,资源,12848,资源/sounds/whoosh2.ogg
assets/resources/sounds/whoosh_long.ogg,资源,114181,资源/sounds/whoosh_long.ogg
assets/resources/sounds/win.ogg,资源,36566,资源/sounds/win.ogg
assets/resources/textures/1x/8BitDeck.png,资源,46878,资源/textures/1x/8BitDeck.png
assets/resources/textures/1x/8BitDeck_opt2.png,资源,62137,资源/textures/1x/8BitDeck_opt2.png
assets/resources/textures/1x/BlindChips.png,资源,83812,资源/textures/1x/BlindChips.png
assets/resources/textures/1x/Enhancers.png,资源,75952,资源/textures/1x/Enhancers.png
assets/resources/textures/1x/Jokers.png,资源,504687,资源/textures/1x/Jokers.png
assets/resources/textures/1x/ShopSignAnimation.png,资源,10798,资源/textures/1x/ShopSignAnimation.png
assets/resources/textures/1x/Tarots.png,资源,96331,资源/textures/1x/Tarots.png
assets/resources/textures/1x/Vouchers.png,资源,70709,资源/textures/1x/Vouchers.png
assets/resources/textures/1x/balatro.png,资源,26877,资源/textures/1x/balatro.png
assets/resources/textures/1x/balatro_alt.png,资源,20826,资源/textures/1x/balatro_alt.png
assets/resources/textures/1x/boosters.png,资源,170618,资源/textures/1x/boosters.png
assets/resources/textures/1x/chips.png,资源,8255,资源/textures/1x/chips.png
assets/resources/textures/1x/collabs/collab_AC_1.png,资源,8379,资源/textures/1x/collabs/collab_AC_1.png
assets/resources/textures/1x/collabs/collab_AC_2.png,资源,8315,资源/textures/1x/collabs/collab_AC_2.png
assets/resources/textures/1x/collabs/collab_AU_1.png,资源,5032,资源/textures/1x/collabs/collab_AU_1.png
assets/resources/textures/1x/collabs/collab_AU_2.png,资源,7304,资源/textures/1x/collabs/collab_AU_2.png
assets/resources/textures/1x/collabs/collab_BUG_1.png,资源,11152,资源/textures/1x/collabs/collab_BUG_1.png
assets/resources/textures/1x/collabs/collab_BUG_2.png,资源,12720,资源/textures/1x/collabs/collab_BUG_2.png
assets/resources/textures/1x/collabs/collab_C7_1.png,资源,9803,资源/textures/1x/collabs/collab_C7_1.png
assets/resources/textures/1x/collabs/collab_C7_2.png,资源,9679,资源/textures/1x/collabs/collab_C7_2.png
assets/resources/textures/1x/collabs/collab_CL_1.png,资源,6483,资源/textures/1x/collabs/collab_CL_1.png
assets/resources/textures/1x/collabs/collab_CL_2.png,资源,8262,资源/textures/1x/collabs/collab_CL_2.png
assets/resources/textures/1x/collabs/collab_CR_1.png,资源,8167,资源/textures/1x/collabs/collab_CR_1.png
assets/resources/textures/1x/collabs/collab_CR_2.png,资源,9001,资源/textures/1x/collabs/collab_CR_2.png
assets/resources/textures/1x/collabs/collab_CYP_1.png,资源,7264,资源/textures/1x/collabs/collab_CYP_1.png
assets/resources/textures/1x/collabs/collab_CYP_2.png,资源,7322,资源/textures/1x/collabs/collab_CYP_2.png
assets/resources/textures/1x/collabs/collab_D2_1.png,资源,7714,资源/textures/1x/collabs/collab_D2_1.png
assets/resources/textures/1x/collabs/collab_D2_2.png,资源,8841,资源/textures/1x/collabs/collab_D2_2.png
assets/resources/textures/1x/collabs/collab_DBD_1.png,资源,8687,资源/textures/1x/collabs/collab_DBD_1.png
assets/resources/textures/1x/collabs/collab_DBD_2.png,资源,9089,资源/textures/1x/collabs/collab_DBD_2.png
assets/resources/textures/1x/collabs/collab_DS_1.png,资源,7798,资源/textures/1x/collabs/collab_DS_1.png
assets/resources/textures/1x/collabs/collab_DS_2.png,资源,7731,资源/textures/1x/collabs/collab_DS_2.png
assets/resources/textures/1x/collabs/collab_DTD_1.png,资源,7434,资源/textures/1x/collabs/collab_DTD_1.png
assets/resources/textures/1x/collabs/collab_DTD_2.png,资源,5962,资源/textures/1x/collabs/collab_DTD_2.png
assets/resources/textures/1x/collabs/collab_EG_1.png,资源,4733,资源/textures/1x/collabs/collab_EG_1.png
assets/resources/textures/1x/collabs/collab_EG_2.png,资源,5199,资源/textures/1x/collabs/collab_EG_2.png
assets/resources/textures/1x/collabs/collab_FO_1.png,资源,9245,资源/textures/1x/collabs/collab_FO_1.png
assets/resources/textures/1x/collabs/collab_FO_2.png,资源,9558,资源/textures/1x/collabs/collab_FO_2.png
assets/resources/textures/1x/collabs/collab_PC_1.png,资源,7670,资源/textures/1x/collabs/collab_PC_1.png
assets/resources/textures/1x/collabs/collab_PC_2.png,资源,7497,资源/textures/1x/collabs/collab_PC_2.png
assets/resources/textures/1x/collabs/collab_R_1.png,资源,11708,资源/textures/1x/collabs/collab_R_1.png
assets/resources/textures/1x/collabs/collab_R_2.png,资源,12801,资源/textures/1x/collabs/collab_R_2.png
assets/resources/textures/1x/collabs/collab_SK_1.png,资源,11884,资源/textures/1x/collabs/collab_SK_1.png
assets/resources/textures/1x/collabs/collab_SK_2.png,资源,11641,资源/textures/1x/collabs/collab_SK_2.png
assets/resources/textures/1x/collabs/collab_STP_1.png,资源,8438,资源/textures/1x/collabs/collab_STP_1.png
assets/resources/textures/1x/collabs/collab_STP_2.png,资源,8425,资源/textures/1x/collabs/collab_STP_2.png
assets/resources/textures/1x/collabs/collab_STS_1.png,资源,9161,资源/textures/1x/collabs/collab_STS_1.png
assets/resources/textures/1x/collabs/collab_STS_2.png,资源,10099,资源/textures/1x/collabs/collab_STS_2.png
assets/resources/textures/1x/collabs/collab_SV_1.png,资源,7878,资源/textures/1x/collabs/collab_SV_1.png
assets/resources/textures/1x/collabs/collab_SV_2.png,资源,8582,资源/textures/1x/collabs/collab_SV_2.png
assets/resources/textures/1x/collabs/collab_TBoI_1.png,资源,7437,资源/textures/1x/collabs/collab_TBoI_1.png
assets/resources/textures/1x/collabs/collab_TBoI_2.png,资源,7472,资源/textures/1x/collabs/collab_TBoI_2.png
assets/resources/textures/1x/collabs/collab_TW_1.png,资源,7567,资源/textures/1x/collabs/collab_TW_1.png
assets/resources/textures/1x/collabs/collab_TW_2.png,资源,7347,资源/textures/1x/collabs/collab_TW_2.png
assets/resources/textures/1x/collabs/collab_VS_1.png,资源,4992,资源/textures/1x/collabs/collab_VS_1.png
assets/resources/textures/1x/collabs/collab_VS_2.png,资源,7806,资源/textures/1x/collabs/collab_VS_2.png
assets/resources/textures/1x/collabs/collab_WF_1.png,资源,6630,资源/textures/1x/collabs/collab_WF_1.png
assets/resources/textures/1x/collabs/collab_WF_2.png,资源,7429,资源/textures/1x/collabs/collab_WF_2.png
assets/resources/textures/1x/collabs/collab_XR_1.png,资源,12146,资源/textures/1x/collabs/collab_XR_1.png
assets/resources/textures/1x/collabs/collab_XR_2.png,资源,10620,资源/textures/1x/collabs/collab_XR_2.png
assets/resources/textures/1x/gamepad_ui.png,资源,19927,资源/textures/1x/gamepad_ui.png
assets/resources/textures/1x/icons.png,资源,8712,资源/textures/1x/icons.png
assets/resources/textures/1x/localthunk-logo.png,资源,9627,资源/textures/1x/localthunk-logo.png
assets/resources/textures/1x/playstack-logo.png,资源,72726,资源/textures/1x/playstack-logo.png
assets/resources/textures/1x/stickers.png,资源,4384,资源/textures/1x/stickers.png
assets/resources/textures/1x/tags.png,资源,7335,资源/textures/1x/tags.png
assets/resources/textures/1x/ui_assets.png,资源,1468,资源/textures/1x/ui_assets.png
assets/resources/textures/1x/ui_assets_opt2.png,资源,1452,资源/textures/1x/ui_assets_opt2.png
assets/resources/textures/2x/8BitDeck.png,资源,64398,资源/textures/2x/8BitDeck.png
assets/resources/textures/2x/8BitDeck_opt2.png,资源,80570,资源/textures/2x/8BitDeck_opt2.png
assets/resources/textures/2x/BlindChips.png,资源,134506,资源/textures/2x/BlindChips.png
assets/resources/textures/2x/Enhancers.png,资源,93885,资源/textures/2x/Enhancers.png
assets/resources/textures/2x/Jokers.png,资源,612524,资源/textures/2x/Jokers.png
assets/resources/textures/2x/ShopSignAnimation.png,资源,15655,资源/textures/2x/ShopSignAnimation.png
assets/resources/textures/2x/Tarots.png,资源,119662,资源/textures/2x/Tarots.png
assets/resources/textures/2x/Vouchers.png,资源,84601,资源/textures/2x/Vouchers.png
assets/resources/textures/2x/balatro.png,资源,35334,资源/textures/2x/balatro.png
assets/resources/textures/2x/balatro_alt.png,资源,27068,资源/textures/2x/balatro_alt.png
assets/resources/textures/2x/boosters.png,资源,211663,资源/textures/2x/boosters.png
assets/resources/textures/2x/chips.png,资源,9882,资源/textures/2x/chips.png
assets/resources/textures/2x/collabs/collab_AC_1.png,资源,9905,资源/textures/2x/collabs/collab_AC_1.png
assets/resources/textures/2x/collabs/collab_AC_2.png,资源,9868,资源/textures/2x/collabs/collab_AC_2.png
assets/resources/textures/2x/collabs/collab_AU_1.png,资源,7974,资源/textures/2x/collabs/collab_AU_1.png
assets/resources/textures/2x/collabs/collab_AU_2.png,资源,10295,资源/textures/2x/collabs/collab_AU_2.png
assets/resources/textures/2x/collabs/collab_BUG_1.png,资源,13398,资源/textures/2x/collabs/collab_BUG_1.png
assets/resources/textures/2x/collabs/collab_BUG_2.png,资源,14730,资源/textures/2x/collabs/collab_BUG_2.png
assets/resources/textures/2x/collabs/collab_C7_1.png,资源,11720,资源/textures/2x/collabs/collab_C7_1.png
assets/resources/textures/2x/collabs/collab_C7_2.png,资源,11732,资源/textures/2x/collabs/collab_C7_2.png
assets/resources/textures/2x/collabs/collab_CL_1.png,资源,10493,资源/textures/2x/collabs/collab_CL_1.png
assets/resources/textures/2x/collabs/collab_CL_2.png,资源,9766,资源/textures/2x/collabs/collab_CL_2.png
assets/resources/textures/2x/collabs/collab_CR_1.png,资源,9851,资源/textures/2x/collabs/collab_CR_1.png
assets/resources/textures/2x/collabs/collab_CR_2.png,资源,10740,资源/textures/2x/collabs/collab_CR_2.png
assets/resources/textures/2x/collabs/collab_CYP_1.png,资源,11492,资源/textures/2x/collabs/collab_CYP_1.png
assets/resources/textures/2x/collabs/collab_CYP_2.png,资源,11566,资源/textures/2x/collabs/collab_CYP_2.png
assets/resources/textures/2x/collabs/collab_D2_1.png,资源,10506,资源/textures/2x/collabs/collab_D2_1.png
assets/resources/textures/2x/collabs/collab_D2_2.png,资源,10569,资源/textures/2x/collabs/collab_D2_2.png
assets/resources/textures/2x/collabs/collab_DBD_1.png,资源,10178,资源/textures/2x/collabs/collab_DBD_1.png
assets/resources/textures/2x/collabs/collab_DBD_2.png,资源,10744,资源/textures/2x/collabs/collab_DBD_2.png
assets/resources/textures/2x/collabs/collab_DS_1.png,资源,9624,资源/textures/2x/collabs/collab_DS_1.png
assets/resources/textures/2x/collabs/collab_DS_2.png,资源,9585,资源/textures/2x/collabs/collab_DS_2.png
assets/resources/textures/2x/collabs/collab_DTD_1.png,资源,9566,资源/textures/2x/collabs/collab_DTD_1.png
assets/resources/textures/2x/collabs/collab_DTD_2.png,资源,7417,资源/textures/2x/collabs/collab_DTD_2.png
assets/resources/textures/2x/collabs/collab_EG_1.png,资源,5841,资源/textures/2x/collabs/collab_EG_1.png
assets/resources/textures/2x/collabs/collab_EG_2.png,资源,6398,资源/textures/2x/collabs/collab_EG_2.png
assets/resources/textures/2x/collabs/collab_FO_1.png,资源,10922,资源/textures/2x/collabs/collab_FO_1.png
assets/resources/textures/2x/collabs/collab_FO_2.png,资源,11281,资源/textures/2x/collabs/collab_FO_2.png
assets/resources/textures/2x/collabs/collab_PC_1.png,资源,9087,资源/textures/2x/collabs/collab_PC_1.png
assets/resources/textures/2x/collabs/collab_PC_2.png,资源,9035,资源/textures/2x/collabs/collab_PC_2.png
assets/resources/textures/2x/collabs/collab_R_1.png,资源,13814,资源/textures/2x/collabs/collab_R_1.png
assets/resources/textures/2x/collabs/collab_R_2.png,资源,15058,资源/textures/2x/collabs/collab_R_2.png
assets/resources/textures/2x/collabs/collab_SK_1.png,资源,13724,资源/textures/2x/collabs/collab_SK_1.png
assets/resources/textures/2x/collabs/collab_SK_2.png,资源,13389,资源/textures/2x/collabs/collab_SK_2.png
assets/resources/textures/2x/collabs/collab_STP_1.png,资源,10042,资源/textures/2x/collabs/collab_STP_1.png
assets/resources/textures/2x/collabs/collab_STP_2.png,资源,9998,资源/textures/2x/collabs/collab_STP_2.png
assets/resources/textures/2x/collabs/collab_STS_1.png,资源,11059,资源/textures/2x/collabs/collab_STS_1.png
assets/resources/textures/2x/collabs/collab_STS_2.png,资源,12154,资源/textures/2x/collabs/collab_STS_2.png
assets/resources/textures/2x/collabs/collab_SV_1.png,资源,11613,资源/textures/2x/collabs/collab_SV_1.png
assets/resources/textures/2x/collabs/collab_SV_2.png,资源,12597,资源/textures/2x/collabs/collab_SV_2.png
assets/resources/textures/2x/collabs/collab_TBoI_1.png,资源,10724,资源/textures/2x/collabs/collab_TBoI_1.png
assets/resources/textures/2x/collabs/collab_TBoI_2.png,资源,10723,资源/textures/2x/collabs/collab_TBoI_2.png
assets/resources/textures/2x/collabs/collab_TW_1.png,资源,11227,资源/textures/2x/collabs/collab_TW_1.png
assets/resources/textures/2x/collabs/collab_TW_2.png,资源,10926,资源/textures/2x/collabs/collab_TW_2.png
assets/resources/textures/2x/collabs/collab_VS_1.png,资源,7419,资源/textures/2x/collabs/collab_VS_1.png
assets/resources/textures/2x/collabs/collab_VS_2.png,资源,9266,资源/textures/2x/collabs/collab_VS_2.png
assets/resources/textures/2x/collabs/collab_WF_1.png,资源,11283,资源/textures/2x/collabs/collab_WF_1.png
assets/resources/textures/2x/collabs/collab_WF_2.png,资源,12762,资源/textures/2x/collabs/collab_WF_2.png
assets/resources/textures/2x/collabs/collab_XR_1.png,资源,14229,资源/textures/2x/collabs/collab_XR_1.png
assets/resources/textures/2x/collabs/collab_XR_2.png,资源,12892,资源/textures/2x/collabs/collab_XR_2.png
assets/resources/textures/2x/gamepad_ui.png,资源,24865,资源/textures/2x/gamepad_ui.png
assets/resources/textures/2x/icons.png,资源,11889,资源/textures/2x/icons.png
assets/resources/textures/2x/localthunk-logo.png,资源,20563,资源/textures/2x/localthunk-logo.png
assets/resources/textures/2x/playstack-logo.png,资源,107388,资源/textures/2x/playstack-logo.png
assets/resources/textures/2x/stickers.png,资源,6738,资源/textures/2x/stickers.png
assets/resources/textures/2x/tags.png,资源,10851,资源/textures/2x/tags.png
assets/resources/textures/2x/ui_assets.png,资源,1757,资源/textures/2x/ui_assets.png
assets/resources/textures/2x/ui_assets_opt2.png,资源,1754,资源/textures/2x/ui_assets_opt2.png
assets/tag.lua,源码,25776,源码/tag.lua
assets/version.jkr,源码,36,源码/version.jkr
classes.dex,安卓壳,1835416,安卓壳/classes.dex
lib/arm64-v8a/libAPKVISION.so,原生库,1260104,原生库/arm64-v8a/libAPKVISION.so
lib/arm64-v8a/libaaaaaaaa.so,原生库,69408,原生库/arm64-v8a/libaaaaaaaa.so
lib/arm64-v8a/liblove.so,原生库,8505536,原生库/arm64-v8a/liblove.so
lib/arm64-v8a/libmpg123.so,原生库,272192,原生库/arm64-v8a/libmpg123.so
lib/arm64-v8a/libopenal.so,原生库,2242544,原生库/arm64-v8a/libopenal.so
lib/arm64-v8a/libpwy.so,原生库,274624,原生库/arm64-v8a/libpwy.so
lib/arm64-v8a/libstub.so,原生库,279216,原生库/arm64-v8a/libstub.so
resources.arsc,安卓壳,374192,安卓壳/resources.arsc
