id,pos,borderNum,border,ratio
11,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}, {""x"": 2, ""y"": -1}, {""x"": 3, ""y"": -1}, {""x"": 4, ""y"": -1}], [{""x"": 5, ""y"": 0}], [{""x"": 0, ""y"": 1}, {""x"": 1, ""y"": 1}, {""x"": 2, ""y"": 1}, {""x"": 3, ""y"": 1}, {""x"": 4, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",12,"[11, 110, 1110, 1011, 1100, 1001, 111, 101, 1101, 1111, 1, 100, 1010, 10, 1000.0, 0]","[5, 5, 2, 2, 5, 7, 2, 3, 2, 1, 6, 6, 3, 6, 6, 7]"
12,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}, {""x"": 2, ""y"": -1}], [{""x"": 3, ""y"": 0}, {""x"": 3, ""y"": 1}, {""x"": 3, ""y"": 2}], [{""x"": 2, ""y"": 3}], [{""x"": 0, ""y"": 1}, {""x"": 1, ""y"": 1}, {""x"": 1, ""y"": 2}], [{""x"": -1, ""y"": 0}]]",12,"[11000.0, 1100, 10, 11100, 1010, 11001, 10001, 10010, 100, 101, 1000.0, 110, 10000.0, 11010, 1001, 1, 1101, 10100, 11, 1110, 111, 10101, 1011, 11110, 10110, 10011, 11101, 0, 11011, 1111, 10111, 11111]","[5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 7, 7, 4, 7, 3, 2, 3, 7, 2, 7, 2, 2, 2, 1]"
13,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}, {""x"": 2, ""y"": -1}], [{""x"": 3, ""y"": 0}, {""x"": 3, ""y"": 1}, {""x"": 3, ""y"": 2}], [{""x"": 0, ""y"": 3}, {""x"": 1, ""y"": 3}, {""x"": 2, ""y"": 3}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -1, ""y"": 2}]]",12,"[11, 110, 1001, 1100, 111, 1110, 1011, 1101, 10, 1010, 101, 1111, 1, 100, 1000.0, 0]","[5, 5, 7, 5, 2, 2, 2, 2, 6, 3, 3, 1, 6, 6, 6, 7]"
14,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}], [{""x"": 2, ""y"": 0}], [{""x"": 1, ""y"": 1}], [{""x"": -1, ""y"": 2}, {""x"": 0, ""y"": 2}], [{""x"": -2, ""y"": 1}, {""x"": -1, ""y"": 0}]]",10,"[110, 1010, 1100, 101000.0, 1110, 111000.0, 101010, 101, 11010, 110000.0, 10101, 110100, 100110, 10110, 101100, 1000.0, 111, 10001, 111010, 10111, 11000.0, 110010, 110001, 11100, 101110, 11110, 100100, 111100, 100001, 110110, 110101, 10011, 100101, 1, 11, 111110, 10100, 110111, 100010, 100, 110011, 100011, 100111, 10010, 11111, 100000.0, 11011, 111001, 111101, 111011, 11001, 11101, 101101, 1101, 111111, 101111, 1011, 10000.0, 101001, 10, 1111, 1001, 101011, 0]","[5, 7, 5, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 5, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 5, 2, 7, 2, 7, 6, 7, 4, 7, 7, 2, 6, 3, 7, 2, 2, 7, 7, 3, 7, 1, 2, 7, 6, 7, 6, 7, 7, 7, 7]"
15,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}], [{""x"": 2, ""y"": 0}, {""x"": 2, ""y"": 1}], [{""x"": 1, ""y"": 2}], [{""x"": 0, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",8,"[11111, 11110, 1111, 1011, 1110, 11011, 11010, 1010, 11100, 10110, 11000.0, 11001, 110, 10011, 10010, 10111, 111, 1001, 11101, 10100, 11, 1101, 1100, 10, 10101, 10001, 101, 1000.0, 10000.0, 1, 100, 0]","[1, 2, 2, 3, 7, 2, 7, 7, 7, 3, 5, 7, 5, 7, 7, 2, 4, 7, 2, 7, 5, 7, 5, 6, 7, 7, 7, 6, 6, 6, 6, 7]"
16,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}], [{""x"": 2, ""y"": 1}, {""x"": 2, ""y"": 2}], [{""x"": 1, ""y"": 3}], [{""x"": 0, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}]]",10,"[1110, 1010, 101010, 110, 1101, 10001, 1100, 101110, 100010, 1011, 100001, 101001, 10101, 1111, 110001, 100110, 10, 11, 10100, 1001, 11100, 100011, 111, 110101, 101100, 11000.0, 11101, 101101, 100101, 11001, 110100, 110000.0, 101011, 10000.0, 101111, 101, 100111, 111101, 111000.0, 111001, 111100, 101000.0, 11111, 11110, 110110, 10110, 1, 100100, 111110, 11011, 1000.0, 111111, 111011, 110010, 110111, 11010, 10111, 111010, 10010, 10011, 100, 110011, 100000.0, 0]","[7, 7, 7, 5, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 5, 7, 7, 7, 7, 4, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 6, 2, 7, 7, 2, 4, 7, 7, 7, 2, 7, 3, 7, 6, 7, 2, 3, 6, 1, 2, 7, 2, 7, 7, 7, 7, 7, 6, 7, 6, 7]"
17,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}, {""x"": 2, ""y"": -1}, {""x"": 3, ""y"": -1}], [{""x"": 4, ""y"": 0}], [{""x"": 0, ""y"": 1}, {""x"": 1, ""y"": 1}, {""x"": 2, ""y"": 1}, {""x"": 3, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",10,"[1110, 1011, 11, 111, 1111, 101, 110, 1101, 1001, 1100, 1010, 10, 1, 1000.0, 100, 0]","[2, 2, 5, 2, 1, 3, 5, 2, 7, 5, 3, 6, 6, 6, 6, 7]"
18,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}], [{""x"": 2, ""y"": 0}], [{""x"": 3, ""y"": 1}], [{""x"": 1, ""y"": 2}, {""x"": 2, ""y"": 2}], [{""x"": 0, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",10,"[1011, 101110, 101111, 100111, 111101, 110101, 11101, 1111, 101011, 100110, 101010, 10101, 11111, 1010, 11001, 1110, 11011, 10001, 100011, 111110, 111111, 110111, 110, 100101, 111011, 111001, 110110, 10111, 101100, 100100, 1100, 101101, 110001, 100010, 111, 10, 100001, 11100, 1101, 10100, 110011, 110100, 101001, 111100, 11, 111010, 110000.0, 10011, 101, 10000.0, 11000.0, 101000.0, 11110, 111000.0, 1001, 100000.0, 110010, 100, 11010, 10110, 1000.0, 10010, 1, 0]","[7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 3, 7, 7, 2, 1, 2, 5, 7, 2, 7, 3, 7, 7, 7, 5, 7, 7, 7, 4, 6, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 5, 7, 7, 6, 5, 7, 7, 4, 7, 6, 7, 6, 7, 7, 6, 7, 6, 7]"
19,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}], [{""x"": 0, ""y"": 2}], [{""x"": -1, ""y"": 3}], [{""x"": -2, ""y"": 1}, {""x"": -2, ""y"": 2}], [{""x"": -1, ""y"": 0}]]",10,"[11110, 11010, 111110, 101100, 101110, 111010, 110111, 10111, 110101, 1110, 111100, 101010, 11111, 10101, 111011, 111111, 111101, 10110, 1010, 101000.0, 111000.0, 101101, 101111, 11011, 100111, 100101, 101, 110010, 10010, 110, 111, 1111, 1100, 110001, 110110, 11000.0, 10001, 11101, 11100, 10011, 110011, 110000.0, 101011, 100110, 1000.0, 110100, 1101, 11, 111001, 100001, 100010, 10100, 100011, 11001, 100100, 10, 1, 1011, 101001, 10000.0, 100, 1001, 100000.0, 0]","[7, 7, 2, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 7, 2, 1, 2, 7, 7, 7, 7, 3, 2, 3, 7, 7, 7, 7, 7, 5, 7, 7, 5, 7, 7, 5, 7, 7, 4, 7, 7, 5, 7, 7, 6, 7, 7, 5, 7, 7, 7, 7, 4, 7, 7, 6, 6, 7, 7, 6, 6, 7, 6, 7]"
20,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}], [{""x"": 2, ""y"": 1}], [{""x"": 1, ""y"": 2}], [{""x"": 0, ""y"": 3}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -1, ""y"": 2}]]",10,"[11111, 1111, 11101, 10111, 111101, 110111, 1101, 111111, 110101, 101111, 100111, 110110, 111110, 111, 110011, 101101, 10101, 100110, 11011, 111011, 10011, 1110, 110010, 101110, 11110, 111100, 101, 100101, 11100, 10110, 11, 1100, 10100, 1011, 110, 111010, 100011, 100010, 100100, 101010, 110100, 10001, 110001, 11001, 101011, 100001, 101001, 10010, 101100, 11000.0, 11010, 1001, 110000.0, 100, 10000.0, 1010, 111000.0, 111001, 101000.0, 1, 10, 100000.0, 1000.0, 0]","[2, 7, 3, 7, 2, 2, 7, 1, 7, 2, 7, 3, 2, 7, 7, 7, 7, 7, 7, 2, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 6, 7, 7, 7, 7]"
21,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}, {""x"": 2, ""y"": -1}], [{""x"": 3, ""y"": 0}], [{""x"": 1, ""y"": 2}, {""x"": 1, ""y"": 1}, {""x"": 2, ""y"": 1}], [{""x"": 0, ""y"": 3}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -1, ""y"": 2}]]",12,"[10101, 10111, 11101, 10001, 101, 10100, 10110, 1101, 1111, 11111, 11001, 11, 10011, 11110, 100, 111, 11000.0, 11100, 1001, 110, 1011, 10010, 1100, 11010, 11011, 1110, 1010, 10, 1000.0, 1, 10000.0, 0]","[7, 2, 2, 7, 7, 7, 3, 3, 2, 1, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 4, 7, 7, 7, 6, 6, 7]"
22,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}, {""x"": 1, ""y"": 2}, {""x"": 1, ""y"": 3}, {""x"": 1, ""y"": 4}], [{""x"": 0, ""y"": 5}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -1, ""y"": 2}, {""x"": -1, ""y"": 3}, {""x"": -1, ""y"": 4}]]",12,"[111, 1101, 11, 110, 1110, 1111, 1011, 1100, 1001, 1010, 101, 10, 1000.0, 1, 100, 0]","[2, 2, 5, 5, 2, 1, 2, 5, 7, 3, 3, 6, 6, 6, 6, 7]"
23,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}, {""x"": 2, ""y"": 1}], [{""x"": 3, ""y"": 2}], [{""x"": 0, ""y"": 3}, {""x"": 1, ""y"": 3}, {""x"": 2, ""y"": 3}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -1, ""y"": 2}]]",12,"[1011, 1111, 11011, 11111, 1101, 11110, 1110, 11010, 11101, 1010, 111, 1001, 11, 11001, 10011, 101, 10010, 11100, 10111, 110, 10110, 10001, 10101, 1100, 1000.0, 11000.0, 10, 1, 10100, 10000.0, 100, 0]","[7, 2, 2, 1, 3, 2, 7, 3, 2, 7, 7, 7, 5, 7, 7, 7, 7, 4, 2, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7]"
24,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}, {""x"": 1, ""y"": 2}], [{""x"": -2, ""y"": 3}, {""x"": -1, ""y"": 3}, {""x"": 0, ""y"": 3}], [{""x"": -3, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -2, ""y"": 1}]]",12,"[1101, 11101, 1111, 11111, 1011, 10101, 11011, 1001, 10111, 101, 1110, 11001, 11100, 111, 1100, 11110, 110, 1010, 11010, 10110, 11000.0, 10100, 1, 10011, 11, 10001, 100, 1000.0, 10010, 10000.0, 10, 0]","[7, 2, 2, 1, 3, 3, 2, 7, 2, 7, 7, 7, 7, 7, 5, 2, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 6, 6, 7, 7, 7, 7]"
25,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}, {""x"": 1, ""y"": 2}], [{""x"": 0, ""y"": 3}], [{""x"": -1, ""y"": 2}], [{""x"": -2, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",10,"[11111, 11110, 11101, 10111, 110111, 111101, 110101, 10110, 111111, 11100, 10101, 111110, 111100, 101101, 101111, 111001, 101100, 111011, 11011, 111000.0, 1100, 10100, 1110, 101, 110110, 101001, 110100, 111, 101000.0, 11001, 111010, 110, 11000.0, 1111, 11010, 110001, 101110, 1101, 110000.0, 100101, 101010, 110010, 10011, 10001, 10010, 100, 100111, 100100, 100001, 11, 101011, 1011, 1001, 100110, 110011, 100011, 1, 1010, 100010, 1000.0, 100000.0, 10000.0, 10, 0]","[2, 7, 7, 3, 2, 2, 7, 7, 1, 7, 7, 2, 7, 3, 2, 7, 7, 2, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 6, 7, 7]"
26,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}, {""x"": 2, ""y"": -1}], [{""x"": 3, ""y"": 0}], [{""x"": 2, ""y"": 1}], [{""x"": 1, ""y"": 2}], [{""x"": 0, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",10,"[111110, 101111, 111010, 111011, 101011, 101110, 11111, 111111, 11011, 111100, 111101, 100111, 110111, 111001, 101010, 101100, 11001, 111000.0, 1110, 110011, 100110, 11101, 11110, 110110, 10111, 10011, 1111, 101101, 111, 10001, 1010, 110001, 11010, 11100, 100011, 110, 10101, 110000.0, 1011, 101001, 100001, 110010, 1100, 11, 100101, 110100, 101000.0, 100100, 10110, 11000.0, 100010, 110101, 1101, 1001, 10010, 10, 10100, 1000.0, 101, 1, 100000.0, 100, 10000.0, 0]","[2, 2, 7, 2, 7, 3, 2, 1, 3, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7]"
27,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}], [{""x"": 2, ""y"": 1}], [{""x"": 0, ""y"": 2}, {""x"": 1, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}]]",8,"[11110, 1111, 11111, 11101, 11011, 11010, 1101, 11001, 1110, 1011, 1001, 101, 111, 11100, 10011, 1010, 11, 10111, 10010, 1100, 11000.0, 10101, 10110, 1000.0, 110, 10001, 1, 10, 10100, 10000.0, 100, 0]","[2, 2, 1, 2, 2, 3, 3, 7, 7, 7, 7, 7, 7, 4, 7, 7, 5, 2, 7, 5, 5, 7, 7, 6, 5, 7, 6, 6, 7, 6, 6, 7]"
28,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}], [{""x"": -1, ""y"": 2}, {""x"": 0, ""y"": 2}], [{""x"": -2, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",8,"[1111, 11111, 11011, 11101, 10111, 1011, 10101, 111, 11001, 1110, 1010, 1101, 10011, 11110, 11100, 1001, 10100, 101, 11, 1100, 11010, 10001, 10110, 110, 11000.0, 1, 100, 1000.0, 10010, 10, 10000.0, 0]","[2, 1, 2, 2, 2, 3, 3, 7, 7, 7, 7, 7, 4, 2, 7, 7, 7, 7, 5, 5, 7, 7, 7, 5, 5, 6, 6, 6, 7, 6, 6, 7]"
29,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}, {""x"": 1, ""y"": 2}], [{""x"": -1, ""y"": 3}, {""x"": 0, ""y"": 3}], [{""x"": -2, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}]]",10,"[1111, 1101, 1011, 11111, 111, 11101, 11011, 101, 11001, 10111, 11100, 1110, 10101, 1100, 1001, 10100, 11, 11000.0, 11110, 110, 10110, 10001, 10011, 1, 11010, 1010, 100, 10010, 10000.0, 1000.0, 10, 0]","[2, 7, 3, 1, 7, 2, 2, 7, 7, 2, 7, 7, 3, 5, 7, 7, 5, 5, 2, 5, 7, 7, 4, 6, 7, 7, 6, 7, 6, 6, 6, 7]"
30,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}, {""x"": 2, ""y"": -1}], [{""x"": 3, ""y"": 0}, {""x"": 3, ""y"": 1}], [{""x"": 2, ""y"": 2}], [{""x"": 0, ""y"": 1}, {""x"": 1, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",10,"[11110, 1111, 11010, 11111, 1110, 1011, 10110, 1010, 10111, 11011, 10011, 111, 10010, 110, 11001, 1001, 11000.0, 11100, 11, 10, 1101, 11101, 10001, 1100, 10101, 10100, 1000.0, 101, 1, 10000.0, 100, 0]","[2, 2, 7, 1, 7, 3, 3, 7, 2, 2, 7, 4, 7, 5, 7, 7, 5, 7, 5, 6, 7, 2, 7, 5, 7, 7, 6, 7, 6, 6, 6, 7]"
31,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}], [{""x"": 2, ""y"": 0}], [{""x"": 1, ""y"": 1}, {""x"": 1, ""y"": 2}], [{""x"": 0, ""y"": 3}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -1, ""y"": 2}]]",10,"[11101, 1111, 1101, 11111, 11110, 10101, 11100, 111, 10110, 10111, 10100, 101, 1100, 1110, 10011, 110, 11001, 100, 10010, 11, 11011, 10001, 1011, 11010, 1001, 11000.0, 1010, 10, 1, 1000.0, 10000.0, 0]","[2, 2, 3, 1, 2, 7, 7, 7, 3, 2, 7, 7, 5, 4, 7, 5, 7, 6, 7, 5, 2, 7, 7, 7, 7, 5, 7, 6, 6, 6, 6, 7]"
32,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}], [{""x"": 2, ""y"": 0}, {""x"": 2, ""y"": 1}, {""x"": 2, ""y"": 2}], [{""x"": 1, ""y"": 3}], [{""x"": 0, ""y"": 1}, {""x"": 0, ""y"": 2}], [{""x"": -1, ""y"": 0}]]",10,"[11011, 1111, 1011, 11010, 11111, 11110, 1110, 1010, 10110, 10111, 10011, 10010, 11100, 111, 11000.0, 110, 11001, 11, 10, 10100, 1100, 11101, 1101, 10001, 10101, 1001, 101, 100, 1000.0, 10000.0, 1, 0]","[2, 2, 3, 7, 1, 2, 7, 7, 3, 2, 7, 7, 7, 4, 5, 5, 7, 5, 6, 7, 5, 2, 7, 7, 7, 7, 7, 6, 6, 6, 6, 7]"
33,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}], [{""x"": -2, ""y"": 2}, {""x"": -1, ""y"": 2}, {""x"": 0, ""y"": 2}], [{""x"": -3, ""y"": 1}], [{""x"": -2, ""y"": 0}, {""x"": -1, ""y"": 0}]]",10,"[11101, 1101, 1111, 11111, 10101, 11001, 11011, 10111, 1001, 1011, 111, 1110, 101, 11100, 1100, 1010, 110, 10001, 11110, 10011, 11, 1, 11010, 11000.0, 10100, 10110, 1000.0, 100, 10, 10010, 10000.0, 0]","[2, 7, 2, 1, 3, 7, 2, 2, 7, 3, 7, 7, 7, 7, 5, 7, 5, 7, 2, 4, 5, 6, 7, 5, 7, 7, 6, 6, 6, 7, 6, 7]"
34,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}, {""x"": 2, ""y"": -1}], [{""x"": 3, ""y"": 0}], [{""x"": 1, ""y"": 1}, {""x"": 2, ""y"": 1}], [{""x"": 0, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}]]",10,"[10111, 10101, 10110, 111, 1111, 11111, 101, 11110, 1101, 11101, 11100, 10100, 110, 11001, 1001, 1110, 10001, 100, 10011, 1100, 1011, 11, 11011, 11000.0, 11010, 10010, 1, 1000.0, 1010, 10000.0, 10, 0]","[2, 7, 3, 7, 2, 1, 7, 2, 3, 2, 7, 7, 5, 7, 7, 4, 7, 6, 7, 5, 7, 5, 2, 5, 7, 7, 6, 6, 7, 6, 6, 7]"
