score,id,weight,color
1800-2200,9,17,6
1800-2200,10,20,7
1800-2200,11,24,3
1800-2200,12,11,6
1800-2200,13,8,2
1800-2200,14,11,7
1800-2200,15,24,4
1800-2200,16,14,7
1800-2200,17,11,5
1800-2200,18,0,7
1800-2200,19,0,7
1800-2200,20,0,7
1800-2200,21,0,6
1800-2200,22,17,3
1800-2200,23,0,6
1800-2200,24,0,6
1800-2200,25,0,7
1800-2200,26,0,7
1800-2200,27,0,4
1800-2200,28,0,4
1800-2200,29,0,1
1800-2200,30,0,1
1800-2200,31,0,1
2200-2500,1,6,2
2200-2500,2,12,1
2200-2500,3,17,1
2200-2500,4,15,3
2200-2500,5,8,3
2200-2500,6,17,4
2200-2500,7,14,5
2200-2500,8,11,1
2200-2500,9,17,6
2200-2500,10,20,7
2200-2500,11,24,3
2200-2500,12,6,6
2200-2500,13,8,2
2200-2500,14,11,7
2200-2500,15,24,4
2200-2500,16,14,7
2200-2500,17,11,5
2200-2500,18,0,7
2200-2500,19,0,7
2200-2500,20,0,7
2200-2500,21,8,6
2200-2500,22,17,3
2200-2500,23,0,6
2200-2500,24,0,6
2200-2500,25,0,7
2200-2500,26,0,7
2200-2500,27,0,4
2200-2500,28,0,4
2200-2500,29,0,1
2200-2500,30,0,1
2200-2500,31,0,1
2500-3000,1,6,2
2500-3000,2,12,1
2500-3000,3,17,1
2500-3000,4,15,3
2500-3000,5,8,3
2500-3000,6,17,4
2500-3000,7,14,5
2500-3000,8,5,1
2500-3000,9,17,6
2500-3000,10,20,7
2500-3000,11,24,3
2500-3000,12,6,6
2500-3000,13,8,2
2500-3000,14,11,7
2500-3000,15,24,4
2500-3000,16,14,7
2500-3000,17,11,5
2500-3000,18,0,7
2500-3000,19,0,7
2500-3000,20,0,7
2500-3000,21,8,6
2500-3000,22,17,3
2500-3000,23,0,6
2500-3000,24,0,6
2500-3000,25,0,7
2500-3000,26,0,7
2500-3000,27,0,4
2500-3000,28,0,4
2500-3000,29,6,1
2500-3000,30,0,1
2500-3000,31,0,1
3000-3800,1,6,2
3000-3800,2,12,1
3000-3800,3,17,1
3000-3800,4,15,3
3000-3800,5,8,3
3000-3800,6,17,4
3000-3800,7,14,5
3000-3800,8,5,1
3000-3800,9,17,6
3000-3800,10,10,7
3000-3800,11,24,3
3000-3800,12,6,6
3000-3800,13,8,2
3000-3800,14,11,7
3000-3800,15,24,4
3000-3800,16,14,7
3000-3800,17,11,5
3000-3800,18,0,7
3000-3800,19,0,7
3000-3800,20,0,7
3000-3800,21,8,6
3000-3800,22,17,3
3000-3800,23,0,6
3000-3800,24,0,6
3000-3800,25,14,7
3000-3800,26,0,7
3000-3800,27,0,4
3000-3800,28,0,4
3000-3800,29,6,1
3000-3800,30,0,1
3000-3800,31,0,1
3800-4500,1,6,2
3800-4500,2,12,1
3800-4500,3,17,1
3800-4500,4,15,3
3800-4500,5,8,3
3800-4500,6,15,4
3800-4500,7,14,5
3800-4500,8,5,1
3800-4500,9,17,6
3800-4500,10,10,7
3800-4500,11,24,3
3800-4500,12,6,6
3800-4500,13,8,2
3800-4500,14,11,7
3800-4500,15,15,4
3800-4500,16,14,7
3800-4500,17,11,5
3800-4500,18,0,7
3800-4500,19,0,7
3800-4500,20,0,7
3800-4500,21,8,6
3800-4500,22,17,3
3800-4500,23,0,6
3800-4500,24,0,6
3800-4500,25,14,7
3800-4500,26,0,7
3800-4500,27,15,4
3800-4500,28,15,4
3800-4500,29,6,1
3800-4500,30,0,1
3800-4500,31,0,1
4500-5200,1,6,2
4500-5200,2,12,1
4500-5200,3,17,1
4500-5200,4,15,3
4500-5200,5,8,3
4500-5200,6,15,4
4500-5200,7,14,5
4500-5200,8,5,1
4500-5200,9,17,6
4500-5200,10,10,7
4500-5200,11,24,3
4500-5200,12,5,6
4500-5200,13,8,2
4500-5200,14,10,7
4500-5200,15,15,4
4500-5200,16,10,7
4500-5200,17,11,5
4500-5200,18,10,7
4500-5200,19,0,7
4500-5200,20,0,7
4500-5200,21,5,6
4500-5200,22,17,3
4500-5200,23,5,6
4500-5200,24,0,6
4500-5200,25,14,7
4500-5200,26,0,7
4500-5200,27,15,4
4500-5200,28,15,4
4500-5200,29,6,1
4500-5200,30,0,1
4500-5200,31,0,1
5200-6000,1,6,2
5200-6000,2,12,1
5200-6000,3,17,1
5200-6000,4,15,3
5200-6000,5,8,3
5200-6000,6,15,4
5200-6000,7,14,5
5200-6000,8,4,1
5200-6000,9,17,6
5200-6000,10,10,7
5200-6000,11,24,3
5200-6000,12,5,6
5200-6000,13,8,2
5200-6000,14,8,7
5200-6000,15,15,4
5200-6000,16,8,7
5200-6000,17,11,5
5200-6000,18,8,7
5200-6000,19,8,7
5200-6000,20,0,7
5200-6000,21,5,6
5200-6000,22,17,3
5200-6000,23,5,6
5200-6000,24,0,6
5200-6000,25,14,7
5200-6000,26,0,7
5200-6000,27,15,4
5200-6000,28,15,4
5200-6000,29,4,1
5200-6000,30,4,1
5200-6000,31,0,1
6000-6800,1,6,2
6000-6800,2,12,1
6000-6800,3,17,1
6000-6800,4,15,3
6000-6800,5,8,3
6000-6800,6,15,4
6000-6800,7,14,5
6000-6800,8,4,1
6000-6800,9,17,6
6000-6800,10,10,7
6000-6800,11,24,3
6000-6800,12,4,6
6000-6800,13,8,2
6000-6800,14,8,7
6000-6800,15,15,4
6000-6800,16,8,7
6000-6800,17,11,5
6000-6800,18,8,7
6000-6800,19,8,7
6000-6800,20,0,7
6000-6800,21,4,6
6000-6800,22,17,3
6000-6800,23,4,6
6000-6800,24,4,6
6000-6800,25,14,7
6000-6800,26,0,7
6000-6800,27,15,4
6000-6800,28,15,4
6000-6800,29,4,1
6000-6800,30,4,1
6000-6800,31,0,1
6800-7600,1,6,2
6800-7600,2,12,1
6800-7600,3,17,1
6800-7600,4,15,3
6800-7600,5,8,3
6800-7600,6,15,4
6800-7600,7,14,5
6800-7600,8,4,1
6800-7600,9,17,6
6800-7600,10,9,7
6800-7600,11,24,3
6800-7600,12,4,6
6800-7600,13,8,2
6800-7600,14,8,7
6800-7600,15,15,4
6800-7600,16,8,7
6800-7600,17,11,5
6800-7600,18,8,7
6800-7600,19,8,7
6800-7600,20,9,7
6800-7600,21,4,6
6800-7600,22,17,3
6800-7600,23,4,6
6800-7600,24,4,6
6800-7600,25,9,7
6800-7600,26,0,7
6800-7600,27,15,4
6800-7600,28,15,4
6800-7600,29,4,1
6800-7600,30,4,1
6800-7600,31,0,1
7600-8400,1,6,2
7600-8400,2,12,1
7600-8400,3,17,1
7600-8400,4,15,3
7600-8400,5,8,3
7600-8400,6,15,4
7600-8400,7,14,5
7600-8400,8,4,1
7600-8400,9,17,6
7600-8400,10,9,7
7600-8400,11,24,3
7600-8400,12,4,6
7600-8400,13,8,2
7600-8400,14,8,7
7600-8400,15,15,4
7600-8400,16,8,7
7600-8400,17,11,5
7600-8400,18,8,7
7600-8400,19,8,7
7600-8400,20,9,7
7600-8400,21,4,6
7600-8400,22,17,3
7600-8400,23,4,6
7600-8400,24,4,6
7600-8400,25,9,7
7600-8400,26,0,7
7600-8400,27,15,4
7600-8400,28,15,4
7600-8400,29,4,1
7600-8400,30,4,1
7600-8400,31,4,1
8400+,1,6,2
8400+,2,12,1
8400+,3,17,1
8400+,4,15,3
8400+,5,8,3
8400+,6,15,4
8400+,7,14,5
8400+,8,4,1
8400+,9,17,6
8400+,10,6,7
8400+,11,24,3
8400+,12,4,6
8400+,13,8,2
8400+,14,8,7
8400+,15,15,4
8400+,16,8,7
8400+,17,11,5
8400+,18,8,7
8400+,19,8,7
8400+,20,6,7
8400+,21,4,6
8400+,22,17,3
8400+,23,4,6
8400+,24,4,6
8400+,25,6,7
8400+,26,6,7
8400+,27,15,4
8400+,28,15,4
8400+,29,4,1
8400+,30,4,1
8400+,31,4,1
