_key,assetPath,platform,bundleName,backgroundType,spriteLayout,fontLayout
chapter_score_fail_goal_num_font,font/soClose_num_score,gp,Remote_Skin_Material_5006,,,"{""position"": {""x"": 230, ""y"": 0}, ""fontSize"": 120, ""spacingX"": -15, ""color"": {""r"": 255, ""g"": 255, ""b"": 255}}"
chapter_score_fail_cur_num_font,font/bg_num_TargetScore,gp,Remote_Skin_Material_5006,,,"{""position"": {""x"": 0, ""y"": 5}, ""fontSize"": 100, ""spacingX"": -10}"
chapter_score_fail_mask,,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": -303, ""y"": 3.7}, ""contentSize"": {""width"": 141, ""height"": 76}}",
chapter_score_fail_play_btn,res/chapter/btn_Retry_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_score_fail_progress_bg,res/chapter/bg_ProgressL_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_score_fail_progress_img,res/chapter/img_ProgressL_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": -5}",
chapter_score_fail_score_bg,res/chapter/bg_ProgressL_TargetScore_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": -10}",
chapter_score_fail_score_img,res/common_game/resultOver_score_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_score_win_bg,mat/classwin_bg_5006,gp,Remote_Skin_Material_5006,gradient,,
chapter_score_win_bg1,,gp,Remote_Skin_Material_5006,,"{""opacity"": 0}",
chapter_score_win_score_img,res/chapter/resultBest_score_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": 180}}",
chapter_score_win_play_btn_continue,res/chapter/btn_Continue_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_score_win_play_btn_hard,res/chapter/btn_nextHardLevel_purple_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_score_win_play_btn_next,res/chapter/btn_NextLevel_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_score_win_spine_effect,effect/result_level_score_5006_1,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": 0}}",
chapter_score_win_score_font,font/bg_num_TargetScore,gp,Remote_Skin_Material_5006,,,
chapter_score_win_welldone_score_font,font/bg_num_TargetScore,gp,Remote_Skin_Material_5006,,,"{""color"": {""r"": 255, ""g"": 255, ""b"": 255}, ""fontSize"": 70, ""spacingX"": -5}"
chapter_setting_bottom_btn_bg,res/setup/setting_btn_common_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 650, ""height"": 172}}",
chapter_setting_btn_SetAddDefultSkinBtn_bg,res/setup/setting_btn_skin_blue_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 650, ""height"": 172}}",
chapter_setting_btn_SetAddDefultSkinBtn_icon,res/setup/setting_icon_skin_blue_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_btn_SetAddDefultSkinBtn_txt,res/setup/setting_txt_skin_blue_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_btn_BGM,res/setup/setting_btn_BGM_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 160, ""height"": 160}}",
chapter_setting_btn_BGM_txt,,,,,"{""opacity"": 0}",
chapter_setting_btn_home_icon,res/setup/setting_icon_home_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_btn_home_txt,res/setup/setting_txt_home_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_btn_moreGames_icon,res/setup/setting_icon_moreGames_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_btn_moreGames_txt,res/setup/setting_txt_more_Games_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_btn_moreSettings_icon,res/setup/setting_icon_moreSettings_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_btn_moreSettings_txt,res/setup/setting_txt_more_Settings_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_btn_replay_icon,res/setup/setting_icon_replay_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_btn_replay_txt,res/setup/setting_txt_replay_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_btn_sound,res/setup/setting_btn_sound_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 160, ""height"": 160}}",
chapter_setting_btn_sound_txt,,,,,"{""opacity"": 0}",
chapter_setting_btn_vibration,res/setup/setting_btn_vibration_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 160, ""height"": 160}}",
chapter_setting_btn_vibration_txt,,,,,"{""opacity"": 0}",
chapter_setting_close_btn,res/setup/setting_btn_close_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": -10}}",
chapter_setting_line,res/setup/setting_bg_line_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_off_img_bg,res/setup/setting_btn_off_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_out_bg,res/setup/setting_bg_common_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_setting_title,res/setup/setting_txt_title_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": -20}}",
chapter_setup_btn,res/class/backgroundstop_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_top_info_score_cur_score_bg,res/chapter/bg_ProgressS_Score_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": -7}",
chapter_top_info_score_cur_score_lab_font,font/bg_num_TargetScore,gp,Remote_Skin_Material_5006,,,"{""fontSize"": 90, ""position"": {""x"": 0, ""y"": 4}, ""spacingX"": -12}"
chapter_top_info_score_mask,,gp,Remote_Skin_Material_5006,,"{""y"": -1}",
chapter_top_info_score_progress_bg,res/chapter/bg_ProgressS_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_top_info_score_progress_img,res/chapter/img_ProgressS_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_top_info_score_target_lab_font,font/soClose_num_score,gp,Remote_Skin_Material_5006,,,"{""position"": {""x"": 151, ""y"": -5}, ""fontSize"": 90, ""spacingX"": -12, ""color"": {""r"": 255, ""g"": 255, ""b"": 255}}"
class_fail_bg,mat/classfail_bg_5006,gp,Remote_Skin_Material_5006,gradient,,
class_fail_high_score_font,font/resultOver_num_bestScore_material_5006,gp,Remote_Skin_Material_5006,,,"{""position"": {""x"": 0, ""y"": -10}, ""spacingX"": -6}"
class_fail_high_score_img,res/class_end/resultOver_bestScore_material_5006,gp,Remote_Skin_Material_5006,,,
class_fail_play_btn,res/class_end/resultOver_btn_green_material_5006,gp,Remote_Skin_Material_5006,,,
class_fail_score_font,font/resultOver_num_score_material_5006,gp,Remote_Skin_Material_5006,,,"{""position"": {""x"": 0, ""y"": 20}, ""spacingX"": -5}"
class_fail_score_img,res/common_game/resultOver_score_material_5006,gp,Remote_Skin_Material_5006,,,
class_fail_over_title_spine_5006,effect/result_gameOver_5006,gp,Remote_Skin_Material_5006,,,
class_win_bg,mat/classwin_bg_5006,gp,Remote_Skin_Material_5006,gradient,,
class_win_congratulation_spine,effect/result_bestScore_5006,gp,Remote_Skin_Material_5006,,,
class_win_high_score_font,font/resultBest_num_score_material_5006,gp,Remote_Skin_Material_5006,,,"{""position"": {""x"": 0, ""y"": 20}, ""spacingX"": 0}"
class_win_play_btn,res/class_end/resultBest_btn_yellow_material_5006,gp,Remote_Skin_Material_5006,,,
combo_spine,effect/gameplay_combo_5006_1,gp,Remote_Skin_Material_5006,,,
combo_spine_font,font/gameplay_combo_txt_material_5006,gp,Remote_Skin_Material_5006,,,"{""spacingX"": -70, ""fontSize"": 50, ""position"": {""x"": 10, ""y"": 0}, ""lineHeight"": 50}"
combo_spine_sprite,res/common_game/gameplay_combo_txt_material_5006,gp,Remote_Skin_Material_5006,,,
combotips_spine_effect,effect/gameplay_comboTips_5006_1,gp,Remote_Skin_Material_5006,,,
crown,res/class/backgroundscore_highest3_material_5006,gp,Remote_Skin_Material_5006,,,
encourage_spine_effect,effect/gameplay_word_5006_1,gp,Remote_Skin_Material_5006,,,
game_bg,mat/game_bg_5006,gp,Remote_Skin_Material_5006,gradient,,
more_games_popup_bg,res/setup/setting_bg_common_material_5006,gp,Remote_Skin_Material_5006,,,
more_games_popup_close_btn_bg,res/setup/setting_btn_close_material_5006,gp,Remote_Skin_Material_5006,,,
more_games_popup_item_bg,res/setup/setting_btn_common_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 650, ""height"": 172}}",
more_games_popup_item_icon_2248,res/setup/moreGames_icon_2248,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_icon_blockSlide,res/setup/moreGames_icon_blockSlide_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_icon_fruitMerge,res/setup/moreGames_icon_fruitMerge_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_icon_mahjong,res/setup/moreGames_icon_mahjong_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_icon_oneLine,res/setup/moreGames_icon_oneLine_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_icon_onet,res/setup/moreGames_icon_onet_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_icon_sand,res/setup/moreGames_icon_SandCrush,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_icon_sudoku,res/setup/moreGames_icon_sudoku_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_icon_ticTacToe,res/setup/moreGames_icon_ticTacToe_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_icon_waterSort,res/setup/moreGames_icon_waterSort_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_name_2248,res/setup/moreGames_txt_2248,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_name_blockSlide,res/setup/moreGames_txt_blockSlide_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_name_fruitMerge,res/setup/moreGames_txt_fruitMerge_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": -4}",
more_games_popup_item_name_mahjong,res/setup/moreGames_txt_mahjong_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_name_oneLine,res/setup/moreGames_txt_oneLine_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_name_onet,res/setup/moreGames_txt_onet_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_name_sand,res/setup/moreGames_txt_SandCrush,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_name_sudoku,res/setup/moreGames_txt_sudoku_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_name_ticTacToe,res/setup/moreGames_txt_ticTacToe_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_item_name_waterSort,res/setup/moreGames_txt_waterSort_material_5006,gp,Remote_Skin_Material_5006,,"{""y"": 0}",
more_games_popup_title,res/setup/moreGames_txt_title_material_5006,gp,Remote_Skin_Material_5006,,,
revive_round_bg,res/revive/die_quan_bg_material_5006,gp,Remote_Skin_Material_5006,,,
revive_round_progress,res/revive/die_quan_material_5006,gp,Remote_Skin_Material_5006,,,
revive_spine_countdown,effect/revive_countdown_5006,gp,Remote_Skin_Material_5006,,,
revive_btn_spine_effect,effect/revive_button_5006,gp,Remote_Skin_Material_5006,,,
chapter_revive_round_bg,res/revive/die_quan_bg_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_revive_round_progress,res/revive/die_quan_material_5006,gp,Remote_Skin_Material_5006,,,
chapter_revive_spine_countdown,effect/revive_countdown_5006,gp,Remote_Skin_Material_5006,,,
chapter_revive_btn_spine_effect,effect/revive_button_5006,gp,Remote_Skin_Material_5006,,,
setting_bottom_btn_bg,res/setup/setting_btn_common_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 650, ""height"": 172}}",
setting_btn_SetAddDefultSkinBtn_bg,res/setup/setting_btn_skin_blue_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 650, ""height"": 172}}",
setting_btn_SetAddDefultSkinBtn_icon,res/setup/setting_icon_skin_blue_material_5006,gp,Remote_Skin_Material_5006,,,
setting_btn_SetAddDefultSkinBtn_txt,res/setup/setting_txt_skin_blue_material_5006,gp,Remote_Skin_Material_5006,,,
setting_top_icon_redpoint,res/setup/setting_img_dot_material_5006,gp,Remote_Skin_Material_5006,,"{""x"": 61, ""contentSize"": {""width"": 38, ""height"": 38}}",
setting_btn_item_redpoint,res/setup/setting_img_dot_material_5006,gp,Remote_Skin_Material_5006,,,
setting_icon_redpoint,res/setup/setting_img_dot_material_5006,gp,Remote_Skin_Material_5006,,,
setting_btn,res/class/backgroundstop_material_5006,gp,Remote_Skin_Material_5006,,,
setting_btn_BGM,res/setup/setting_btn_BGM_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 160, ""height"": 160}}",
setting_btn_BGM_txt,,,,,"{""opacity"": 0}",
setting_btn_home_icon,res/setup/setting_icon_home_material_5006,gp,Remote_Skin_Material_5006,,,
setting_btn_home_txt,res/setup/setting_txt_home_material_5006,gp,Remote_Skin_Material_5006,,,
setting_btn_moreGames_icon,res/setup/setting_icon_moreGames_material_5006,gp,Remote_Skin_Material_5006,,,
setting_btn_moreGames_txt,res/setup/setting_txt_more_Games_material_5006,gp,Remote_Skin_Material_5006,,,
setting_btn_moreSettings_icon,res/setup/setting_icon_moreSettings_material_5006,gp,Remote_Skin_Material_5006,,,
setting_btn_moreSettings_txt,res/setup/setting_txt_more_Settings_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": -126.198, ""y"": -6}}",
setting_btn_replay_icon,res/setup/setting_icon_replay_material_5006,gp,Remote_Skin_Material_5006,,,
setting_btn_replay_txt,res/setup/setting_txt_replay_material_5006,gp,Remote_Skin_Material_5006,,,"{""position"": {""x"": -126.198, ""y"": -3}}"
setting_btn_sound,res/setup/setting_btn_sound_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 160, ""height"": 160}}",
setting_btn_vibration,res/setup/setting_btn_vibration_material_5006,gp,Remote_Skin_Material_5006,,"{""contentSize"": {""width"": 160, ""height"": 160}}",
setting_btn_sound_txt,,,,,"{""opacity"": 0}",
setting_btn_vibration_txt,,,,,"{""opacity"": 0}",
setting_close_btn,res/setup/setting_btn_close_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": -10}}",
setting_line,res/setup/setting_bg_line_material_5006,gp,Remote_Skin_Material_5006,,,
setting_off_img_bg,res/setup/setting_btn_off_material_5006,gp,Remote_Skin_Material_5006,,,
setting_out_bg,res/setup/setting_bg_common_material_5006,gp,Remote_Skin_Material_5006,,,
setting_title,res/setup/setting_txt_title_material_5006,gp,Remote_Skin_Material_5006,,"{""position"": {""x"": 0, ""y"": -20}}",
spine_highscore_font,font/typefacehigh_material_5006,gp,Remote_Skin_Material_5006,,,"{""spacingX"": -16, ""fontSize"": 100, ""position"": {""x"": 51, ""y"": -10}, ""lineHeight"": 70}"
spine_score_font,font/typeFaceCurrent_material_5006,gp,Remote_Skin_Material_5006,,,"{""spacingX"": -10, ""fontSize"": 60, ""position"": {""x"": 0, ""y"": 0}, ""lineHeight"": 50}"
unbelievable_spine_effect,effect/gameplay_clear_unbelievable_5006,gp,Remote_Skin_Material_5006,,,
