id,width,height,shape,border,count,info,offsetCol,entroy,blockBox,blockBit
41,3,3,"[1, 2, 4]",12,3,"[[0, 0, 1], [0, 1, 0], [1, 0, 0]]",2,1.2,9,"[3, 3]"
42,2,3,"[2, 2, 3]",10,4,"[[1, 0], [1, 0], [1, 1]]",0,0.8,6,"[2, 3]"
43,3,3,"[1, 7, 1]",12,5,"[[0, 0, 1], [1, 1, 1], [0, 0, 1]]",2,0,0,[]
44,3,2,"[5, 7]",12,5,"[[1, 0, 1], [1, 1, 1]]",0,0,0,[]
45,2,3,"[3, 2, 3]",12,5,"[[1, 1], [1, 0], [1, 1]]",0,0,0,[]
46,3,2,"[7, 5]",12,5,"[[1, 1, 1], [1, 0, 1]]",0,0,0,[]
47,2,3,"[3, 1, 3]",12,5,"[[1, 1], [0, 1], [1, 1]]",0,0,0,[]
48,3,3,"[2, 2, 7]",12,5,"[[0, 1, 0], [0, 1, 0], [1, 1, 1]]",1,0,0,[]
49,3,3,"[4, 7, 4]",12,5,"[[1, 0, 0], [1, 1, 1], [1, 0, 0]]",0,0,0,[]
50,3,3,"[7, 2, 2]",12,5,"[[1, 1, 1], [0, 1, 0], [0, 1, 0]]",0,0,0,[]
51,3,3,"[2, 7, 2]",12,5,"[[0, 1, 0], [1, 1, 1], [0, 1, 0]]",1,0,0,[]
101,5,2,"[31, 31]",14,10,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",0,0,0,[]
102,2,5,"[3, 3, 3, 3, 3]",14,10,"[[1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]",0,0,0,[]
103,4,2,"[15, 15]",12,8,"[[1, 1, 1, 1], [1, 1, 1, 1]]",0,0,0,[]
104,2,4,"[3, 3, 3, 3]",12,8,"[[1, 1], [1, 1], [1, 1], [1, 1]]",0,0,0,[]
105,5,3,"[31, 31, 31]",16,15,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",0,0,0,[]
106,3,5,"[7, 7, 7, 7, 7]",16,15,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]",0,0,0,[]
107,4,3,"[15, 15, 15]",14,12,"[[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]",0,0,0,[]
108,3,4,"[7, 7, 7, 7]",14,12,"[[1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 1, 1]]",0,0,0,[]
109,5,4,"[31, 31, 31, 31]",18,20,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",0,0,0,[]
110,4,5,"[15, 15, 15, 15, 15]",18,20,"[[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]",0,0,0,[]
111,5,5,"[31, 31, 31, 31, 31]",20,25,"[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]",0,0,0,[]
200,3,2,"[2, 5]",12,3,"[[0, 1, 0], [1, 0, 1]]",1,0,0,[]
201,3,2,"[5, 2]",12,3,"[[1, 0, 1], [0, 1, 0]]",0,0,0,[]
202,2,3,"[2, 1, 2]",12,3,"[[1, 0], [0, 1], [1, 0]]",0,0,0,[]
203,2,3,"[1, 2, 1]",12,3,"[[0, 1], [1, 0], [0, 1]]",1,0,0,[]
