成员,值
COLLECT_BLOCK_TO_FILL_EMPTY,29002
STAY_IN_BLANK_FILL,29003
CLEAR_MORE_BLOCK,29004
SIMPLE_BLOCK_FALLBACK_FILL,29012
SIMPLE_BLOCK_FILTER_FILL,29014
NEAR_BIG_BLOCK_FILL,29017
CROSS_CLEAR_COOL,29027
ALGO_SYMMETRY_BLOCK_XY,29029
ALGO_FUN_SYMMETRY_BLOCK,29031
ALGO_MANY_CLEAR_TKXC,140310
FILL_CLEAR_PREFER_MIN_EDGE,140922
ALGO_2_FILL_1_SUI_JI_WU_SI,141001
COMBO2_FILL,141251
ALGO_CLIP_BLOCK,291001
ALGO_FILL_MORE_AREA_Y_MAX,291005
PROFIT_FILL_CLEAR,291007
MORE_CLEAR_BLOCK,291010
FIND_SINGLE_CLEAR_MAX,291011
ALGO_FILL_EMPTY_BIG_AVERAGE,291016
SAOLEI_FILL,291018
ALGO_BIG_EMPTY_FILL,291021
AREA_MAX_TOP_QUICK_FILL,291022
ALGO_DIE_FILL_BLOCK,291023
ALGO_CLOSE_AREA_FILL,291028
ALGO_PART_OTHER_FILL,291029
COMBO_HELP,291030
ORDER_BORDER_VALUE_FILL,291031
CASCADE_FILL,291036
MORE_CLEAR_CFILL,291038
MISS_PUT_FILL,291041
ALGO_SURFACE_BIG_CHANGE_FILL,291047
ALGO_GROUP_BIG_BLOCK_FILL,291048
ALGO_NEW_LESS_EDGE_NEAR_THICKNESS,291051
ALGO_GZ_BLOCK_HELP,291052
ALGO_CLEAR_PLUS_AFTER_BLOCK,291055
ALGO_AREA_CHANGE_CLEAR_FILL,291066
ALGO_SAME_BLOCK_FILL,291070
ALGO_BY_WEIGHT_FILL_CLEAR,291076
ALGO_COMBO_ADD_STOP_FILL,291078
ALGO_BORDER_MINEST_FILL_BLOCK,291083
ALGO_UNLESS_RECT_CLEAR_FILL_CLEAR_BOARD,291092
PRECISE_COLLECT_FILL_R_BORDER,291095
ALGO_SCORE_ACHIEVE_BLOCK,444444
EDGE_FILL_ELIM,1415011
ALGO_PLAYER_TAKE_DIFF_FILL,5000002
LOW_PERFORMANCE_FILL,5000005
PERFECT_FIT_ALGORITHM,5000007
ALGO_CONTINUE_COMBO_EXTEND_V2,5000018
ALGO_OPENING_GOAL_BOARD,5900001
