Id,Style,StyleName,GroupIndex,CardSizeRight,CardSizeBottom,OutLineWidth,SelectEffect,HintEffect,CardBGName,CardFaceName,ShadowName,MaskName,PanelLayout,CardSize,CardSpace,SelectEffectPos,SelectEffectScale,HintEffectPos,HintEffectScale,CardBGSize,CardBGOffset,CardFaceSize,CardFaceOffset,ShadowSize,ShadowOffset,MaskSize,MaskOffset
11,3,V3_W5,1,18,24,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W5_BG,HsMahjongV3_W5_,HsMahjongV3_W5_Shadow,HsMahjongV3_W5_Mask,"[30, 30]","[192, 240]","[6, 6]","[9, -10.2]","[200, 1]","[9, -10.2]","[200, 1]","[210, 264]","[0, 0]","[189, 237]","[4, -3]","[321, 381]","[-54, 54]","[210, 264]","[0, 0]"
12,3,V3_W6,3,15,21,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W6_BG,HsMahjongV3_W5_,HsMahjongV3_W6_Shadow,HsMahjongV3_W6_Mask,"[30, 30]","[156, 195]","[6, 6]","[9, -10.2]","[200, 0.8]","[9, -10.2]","[200, 0.8]","[171, 216]","[0, 0]","[153, 192]","[4, -3]","[260, 305]","[-43, 40]","[171, 216]","[0, 0]"
13,3,V3_W7,5,12,18,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W7_BG,HsMahjongV3_W5_,HsMahjongV3_W7_Shadow,HsMahjongV3_W7_Mask,"[30, 30]","[132, 165]","[6, 6]","[6.5, -8.22]","[200, 0.69]","[6.5, -8.22]","[200, 0.69]","[144, 183]","[0, 0]","[129, 162]","[4, -3]","[219, 258]","[-36, 33]","[144, 183]","[0, 0]"
14,3,V3_W8,7,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W8_BG,HsMahjongV3_W5_,HsMahjongV3_W8_Shadow,HsMahjongV3_W8_Mask,"[30, 30]","[108, 135]","[3, 3]","[5, -7]","[200, 0.56]","[5, -7]","[200, 0.56]","[117, 150]","[0, 0]","[105, 132]","[4, -3]","[176, 210]","[-30, 25]","[117, 150]","[0, 0]"
15,3,V3_W9,9,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W9_BG,HsMahjongV3_W5_,HsMahjongV3_W9_Shadow,HsMahjongV3_W9_Mask,"[30, 30]","[96, 120]","[3, 3]","[5.8, -7]","[200, 0.5]","[5.8, -7]","[200, 0.5]","[105, 135]","[0, 0]","[93, 117]","[4, -3]","[157, 188]","[-26, 24]","[105, 135]","[0, 0]"
16,4,V4_W5,1,18,24,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV4_W5_BG,HsMahjongV4_W5_,HsMahjongV4_W5_Shadow,HsMahjongV4_W5_Mask,"[30, 30]","[192, 240]","[6, 6]","[9, -10.2]","[200, 1]","[11, -11]","[200, 1]","[210, 264]","[0, 0]","[189, 237]","[4, -3]","[321, 381]","[-54, 54]","[210, 264]","[0, 0]"
17,4,V4_W6,3,15,21,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV4_W6_BG,HsMahjongV4_W5_,HsMahjongV4_W6_Shadow,HsMahjongV4_W6_Mask,"[30, 30]","[156, 195]","[6, 6]","[9, -8.3]","[200, 0.8]","[9.5, -10.5]","[200, 0.8]","[171, 216]","[0, 0]","[153, 192]","[4, -3]","[260, 305]","[-43, 40]","[171, 216]","[0, 0]"
18,4,V4_W7,5,12,18,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV4_W7_BG,HsMahjongV4_W5_,HsMahjongV4_W7_Shadow,HsMahjongV4_W7_Mask,"[30, 30]","[132, 165]","[6, 6]","[6.5, -8.22]","[200, 0.69]","[6.5, -8.22]","[200, 0.69]","[144, 183]","[0, 0]","[129, 162]","[4, -3]","[219, 258]","[-36, 33]","[144, 183]","[0, 0]"
19,4,V4_W8,7,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV4_W8_BG,HsMahjongV4_W5_,HsMahjongV4_W8_Shadow,HsMahjongV4_W8_Mask,"[30, 30]","[108, 135]","[3, 3]","[5, -7]","[200, 0.56]","[5, -7]","[200, 0.56]","[117, 150]","[0, 0]","[105, 132]","[4, -3]","[176, 210]","[-30, 25]","[117, 150]","[0, 0]"
20,4,V4_W9,9,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV4_W9_BG,HsMahjongV4_W5_,HsMahjongV4_W9_Shadow,HsMahjongV4_W9_Mask,"[30, 30]","[96, 120]","[3, 3]","[5.8, -7]","[200, 0.5]","[5.8, -7]","[200, 0.5]","[105, 135]","[0, 0]","[93, 117]","[4, -3]","[157, 188]","[-26, 24]","[105, 135]","[0, 0]"
21,1,V1_W5_1,2,21,27,0,HsMahjongMahjong_Selected_V2_stely1_1,HsMahjongMahjong_Prophint_V2_stely1,HsMahjongV1_W5_1_BG,HsMahjongV1_W5_,HsMahjongV1_W5_1_Shadow,HsMahjongV1_W5_1_Mask,"[30, 30]","[177, 219]","[6, 6]","[10, -13]","[200, 0.91]","[12.5, -16.95]","[200, 0.9]","[198, 246]","[0, 0]","[171, 213]","[6, -6]","[219, 273]","[0, 0]","[198, 246]","[0, 0]"
22,1,V1_W6_1,4,18,24,0,HsMahjongMahjong_Selected_V2_stely1,HsMahjongMahjong_Prophint_V2_stely1,HsMahjongV1_W6_1_BG,HsMahjongV1_W5_,HsMahjongV1_W6_1_Shadow,HsMahjongV1_W6_1_Mask,"[30, 30]","[144, 180]","[6, 6]","[10, -13]","[200, 0.75]","[10, -13]","[200, 0.74]","[162, 204]","[0, 0]","[138, 174]","[6, -6]","[180, 228]","[0, 0]","[162, 204]","[0, 0]"
23,1,V1_W7_1,6,15,21,0,HsMahjongMahjong_Selected_V2_stely1,HsMahjongMahjong_Prophint_V2_stely1,HsMahjongV1_W7_1_BG,HsMahjongV1_W5_,HsMahjongV1_W7_1_Shadow,HsMahjongV1_W7_1_Mask,"[30, 30]","[123, 153]","[6, 6]","[9, -12]","[200, 0.63]","[9, -12]","[200, 0.62]","[138, 174]","[0, 0]","[117, 147]","[6, -6]","[153, 195]","[0, 0]","[138, 174]","[0, 0]"
24,1,V1_W8_1,8,12,18,0,HsMahjongMahjong_Selected_V2_stely1_8,HsMahjongMahjong_Prophint_V2_stely1,HsMahjongV1_W8_1_BG,HsMahjongV1_W5_,HsMahjongV1_W8_1_Shadow,HsMahjongV1_W8_1_Mask,"[30, 30]","[105, 132]","[3, 3]","[7.06, -8.3]","[200, 0.5]","[7, -9.52]","[200, 0.5]","[117, 150]","[0, 0]","[99, 126]","[6, -6]","[129, 168]","[0, 0]","[117, 150]","[0, 0]"
25,2,V2_W5_1,2,18,24,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV2_W5_1_BG,HsMahjongV3_W5_,HsMahjongV2_W5_1_Shadow,HsMahjongV2_W5_1_Mask,"[30, 30]","[174, 216]","[6, 6]","[9, -10.2]","[200, 0.9]","[9, -11]","[200, 0.89]","[192, 240]","[0, 0]","[171, 213]","[4, -3]","[210, 264]","[0, 0]","[192, 240]","[0, 0]"
26,2,V2_W6_1,4,15,21,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV2_W6_1_BG,HsMahjongV3_W5_,HsMahjongV2_W6_1_Shadow,HsMahjongV2_W6_1_Mask,"[30, 30]","[141, 177]","[6, 6]","[9, -10.2]","[200, 0.74]","[9, -10.2]","[200, 0.715]","[156, 198]","[0, 0]","[138, 174]","[4, -3]","[168, 219]","[0, 0]","[156, 198]","[0, 0]"
27,2,V2_W7_1,6,12,18,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV2_W7_1_BG,HsMahjongV3_W5_,HsMahjongV2_W7_1_Shadow,HsMahjongV2_W7_1_Mask,"[30, 30]","[120, 150]","[6, 6]","[6.5, -8.22]","[200, 0.63]","[6.5, -8.22]","[200, 0.61]","[132, 168]","[0, 0]","[117, 147]","[4, -3]","[144, 186]","[0, 0]","[132, 168]","[0, 0]"
28,2,V2_W8_1,8,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV2_W8_1_BG,HsMahjongV3_W5_,HsMahjongV2_W8_1_Shadow,HsMahjongV2_W8_1_Mask,"[30, 30]","[102, 129]","[3, 3]","[5.24, -7]","[200, 0.525]","[5, -7.1]","[200, 0.52]","[111, 144]","[0, 0]","[99, 126]","[4, -3]","[120, 159]","[0, 0]","[111, 144]","[0, 0]"
29,3,V3_W5_1,2,18,24,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W5_1_BG,HsMahjongV3_W5_,HsMahjongV3_W5_1_Shadow,HsMahjongV3_W5_1_Mask,"[30, 30]","[174, 216]","[6, 6]","[9, -10.2]","[200, 0.9]","[9, -10.2]","[200, 0.9]","[192, 240]","[0, 0]","[171, 213]","[4, -3]","[303, 357]","[-54, 54]","[192, 240]","[0, 0]"
30,3,V3_W6_1,4,15,21,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W6_1_BG,HsMahjongV3_W5_,HsMahjongV3_W6_1_Shadow,HsMahjongV3_W6_1_Mask,"[30, 30]","[141, 177]","[6, 6]","[9, -10.2]","[200, 0.75]","[9, -10.2]","[200, 0.72]","[156, 198]","[0, 0]","[138, 174]","[4, -3]","[246, 288]","[-43, 40]","[156, 198]","[0, 0]"
31,3,V3_W7_1,6,12,18,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W7_1_BG,HsMahjongV3_W5_,HsMahjongV3_W7_1_Shadow,HsMahjongV3_W7_1_Mask,"[30, 30]","[120, 150]","[6, 6]","[6.5, -8.22]","[200, 0.63]","[6.5, -8.22]","[200, 0.62]","[132, 169]","[0, 0]","[117, 147]","[4, -3]","[207, 244]","[-36, 33]","[132, 169]","[0, 0]"
32,3,V3_W8_1,8,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W8_1_BG,HsMahjongV3_W5_,HsMahjongV3_W8_1_Shadow,HsMahjongV3_W8_1_Mask,"[30, 30]","[102, 129]","[3, 3]","[5, -7]","[200, 0.54]","[5, -7]","[200, 0.53]","[111, 144]","[0, 0]","[99, 126]","[4, -3]","[174, 204]","[-30, 25]","[111, 144]","[0, 0]"
33,4,V4_W5_1,2,18,24,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV4_W5_1_BG,HsMahjongV4_W5_,HsMahjongV4_W5_1_Shadow,HsMahjongV4_W5_1_Mask,"[30, 30]","[174, 216]","[6, 6]","[9, -10.2]","[200, 1]","[11, -11]","[200, 1]","[192, 240]","[0, 0]","[171, 213]","[4, -3]","[303, 357]","[-54, 54]","[192, 240]","[0, 0]"
34,4,V4_W6_1,4,15,21,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV4_W6_1_BG,HsMahjongV4_W5_,HsMahjongV4_W6_1_Shadow,HsMahjongV4_W6_1_Mask,"[30, 30]","[141, 177]","[6, 6]","[9, -8.3]","[200, 0.8]","[9.5, -10.5]","[200, 0.8]","[156, 198]","[0, 0]","[138, 174]","[4, -3]","[246, 288]","[-43, 40]","[156, 198]","[0, 0]"
35,4,V4_W7_1,6,12,18,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV4_W7_1_BG,HsMahjongV4_W5_,HsMahjongV4_W7_1_Shadow,HsMahjongV4_W7_1_Mask,"[30, 30]","[120, 150]","[6, 6]","[6.5, -8.22]","[200, 0.69]","[6.5, -8.22]","[200, 0.69]","[132, 169]","[0, 0]","[117, 147]","[4, -3]","[207, 244]","[-36, 33]","[132, 169]","[0, 0]"
36,4,V4_W8_1,8,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV4_W8_1_BG,HsMahjongV4_W5_,HsMahjongV4_W8_1_Shadow,HsMahjongV4_W8_1_Mask,"[30, 30]","[102, 129]","[3, 3]","[5, -7]","[200, 0.56]","[5, -7]","[200, 0.56]","[111, 144]","[0, 0]","[99, 126]","[4, -3]","[174, 204]","[-30, 25]","[111, 144]","[0, 0]"
37,5,V5_W5,1,18,24,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W5_BG,HsMahjongV5_W5_,HsMahjongV3_W5_Shadow,HsMahjongV3_W5_Mask,"[30, 30]","[192, 240]","[6, 6]","[9, -10.2]","[200, 1]","[9, -10.2]","[200, 1]","[210, 264]","[0, 0]","[189, 237]","[4, -3]","[321, 381]","[-54, 54]","[210, 264]","[0, 0]"
38,5,V5_W5_1,2,18,24,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W5_1_BG,HsMahjongV5_W5_,HsMahjongV3_W5_1_Shadow,HsMahjongV3_W5_1_Mask,"[30, 30]","[174, 216]","[6, 6]","[9, -10.2]","[200, 0.9]","[9, -10.2]","[200, 0.9]","[192, 240]","[0, 0]","[171, 213]","[4, -3]","[303, 357]","[-54, 54]","[192, 240]","[0, 0]"
39,5,V5_W6,3,15,21,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W6_BG,HsMahjongV5_W5_,HsMahjongV3_W6_Shadow,HsMahjongV3_W6_Mask,"[30, 30]","[156, 195]","[6, 6]","[9, -10.2]","[200, 0.8]","[9, -10.2]","[200, 0.8]","[171, 216]","[0, 0]","[153, 192]","[4, -3]","[260, 305]","[-43, 40]","[171, 216]","[0, 0]"
40,5,V5_W6_1,4,15,21,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W6_1_BG,HsMahjongV5_W5_,HsMahjongV3_W6_1_Shadow,HsMahjongV3_W6_1_Mask,"[30, 30]","[141, 177]","[6, 6]","[9, -10.2]","[200, 0.75]","[9, -10.2]","[200, 0.72]","[156, 198]","[0, 0]","[138, 174]","[4, -3]","[246, 288]","[-43, 40]","[156, 198]","[0, 0]"
41,5,V5_W7,5,12,18,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W7_BG,HsMahjongV5_W5_,HsMahjongV3_W7_Shadow,HsMahjongV3_W7_Mask,"[30, 30]","[132, 165]","[6, 6]","[6.5, -8.22]","[200, 0.69]","[6.5, -8.22]","[200, 0.69]","[144, 183]","[0, 0]","[129, 162]","[4, -3]","[219, 258]","[-36, 33]","[144, 183]","[0, 0]"
42,5,V5_W7_1,6,12,18,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W7_1_BG,HsMahjongV5_W5_,HsMahjongV3_W7_1_Shadow,HsMahjongV3_W7_1_Mask,"[30, 30]","[120, 150]","[6, 6]","[6.5, -8.22]","[200, 0.63]","[6.5, -8.22]","[200, 0.62]","[132, 169]","[0, 0]","[117, 147]","[4, -3]","[207, 244]","[-36, 33]","[132, 169]","[0, 0]"
43,5,V5_W8,7,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W8_BG,HsMahjongV5_W5_,HsMahjongV3_W8_Shadow,HsMahjongV3_W8_Mask,"[30, 30]","[108, 135]","[3, 3]","[5, -7]","[200, 0.56]","[5, -7]","[200, 0.56]","[117, 150]","[0, 0]","[105, 132]","[4, -3]","[176, 210]","[-30, 25]","[117, 150]","[0, 0]"
44,5,V5_W8_1,8,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W8_1_BG,HsMahjongV5_W5_,HsMahjongV3_W8_1_Shadow,HsMahjongV3_W8_1_Mask,"[30, 30]","[102, 129]","[3, 3]","[5, -7]","[200, 0.54]","[5, -7]","[200, 0.53]","[111, 144]","[0, 0]","[99, 126]","[4, -3]","[174, 204]","[-30, 25]","[111, 144]","[0, 0]"
45,5,V5_W9,9,9,15,0,HsMahjongMahjong_Selected_V2,HsMahjongMahjong_Prophint_V2,HsMahjongV3_W9_BG,HsMahjongV5_W5_,HsMahjongV3_W9_Shadow,HsMahjongV3_W9_Mask,"[30, 30]","[96, 120]","[3, 3]","[5.8, -7]","[200, 0.5]","[5.8, -7]","[200, 0.5]","[105, 135]","[0, 0]","[93, 117]","[4, -3]","[157, 188]","[-26, 24]","[105, 135]","[0, 0]"
