区域,波次,组,单位,类型,场景,最少,最多,概率
zone_1,012,zones/zone_1/012/group_2.tres,zones/zone_1/012/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/005/5.tscn'},1,1,1.0
zone_1,012,zones/zone_1/012/group_3.tres,zones/zone_1/012/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/006/6.tscn'},2,2,1.0
zone_1,012,zones/zone_1/012/group_4.tres,zones/zone_1/012/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/004/4.tscn'},2,3,1.0
zone_1,012,zones/zone_1/012/group_5.tres,zones/zone_1/012/unit_5.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},3,4,1.0
zone_1,012,zones/zone_1/012/d1_group_1.tres,zones/zone_1/012/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/012/12.tscn'},1,1,1.0
zone_1,012,zones/zone_1/012/d2_group_1.tres,zones/zone_1/012/d2_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},2,3,1.0
zone_1,012,zones/zone_1/012/d2_group_1.tres,,敌人,{'@路径': 'res://entities/units/enemies/006/6.tscn'},1,1,1.0
zone_1,013,zones/zone_1/013/group_1.tres,zones/zone_1/013/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},8,8,1.0
zone_1,013,zones/zone_1/013/group_2.tres,zones/zone_1/013/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/003/3.tscn'},2,3,1.0
zone_1,013,zones/zone_1/013/group_3.tres,zones/zone_1/013/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},4,5,1.0
zone_1,013,zones/zone_1/013/group_4.tres,zones/zone_1/013/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/006/6.tscn'},1,2,1.0
zone_1,013,zones/zone_1/013/group_4.tres,zones/zone_1/013/unit_5.tres,敌人,{'@路径': 'res://entities/units/enemies/018/18.tscn'},1,1,1.0
zone_1,013,zones/zone_1/013/d1_group_1.tres,zones/zone_1/013/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/008/8.tscn'},3,4,1.0
zone_1,013,zones/zone_1/013/d3_group_1.tres,zones/zone_1/013/d3_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/025/25.tscn'},2,2,1.0
zone_1,014,zones/zone_1/014/group_1.tres,zones/zone_1/014/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/016/16.tscn'},2,2,1.0
zone_1,014,zones/zone_1/014/group_2.tres,zones/zone_1/014/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},6,6,1.0
zone_1,014,zones/zone_1/014/group_3.tres,zones/zone_1/014/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},6,6,1.0
zone_1,014,zones/zone_1/014/group_4.tres,zones/zone_1/014/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/006/6.tscn'},2,2,1.0
zone_1,014,zones/zone_1/014/group_5.tres,zones/zone_1/014/unit_5.tres,敌人,{'@路径': 'res://entities/units/enemies/017/17.tscn'},1,2,1.0
zone_1,014,zones/zone_1/014/d1_group_1.tres,zones/zone_1/014/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/012/12.tscn'},1,1,1.0
zone_1,014,zones/zone_1/014/d4_group_1.tres,zones/zone_1/014/d4_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/016/16.tscn'},1,2,1.0
zone_1,015,zones/zone_1/015/group_1.tres,zones/zone_1/015/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},8,8,1.0
zone_1,015,zones/zone_1/015/group_1.tres,zones/zone_1/015/unit_1_b.tres,敌人,{'@路径': 'res://entities/units/enemies/016/16.tscn'},1,2,1.0
zone_1,015,zones/zone_1/015/group_2.tres,zones/zone_1/015/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},6,6,1.0
zone_1,015,zones/zone_1/015/group_3.tres,zones/zone_1/015/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/003/3.tscn'},2,2,1.0
zone_1,015,zones/zone_1/015/group_4.tres,zones/zone_1/015/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},3,3,1.0
zone_1,015,zones/zone_1/015/group_5.tres,zones/zone_1/015/unit_5.tres,敌人,{'@路径': 'res://entities/units/enemies/015/15.tscn'},1,2,1.0
zone_1,015,zones/zone_1/015/group_6.tres,zones/zone_1/015/unit_6.tres,敌人,{'@路径': 'res://entities/units/enemies/017/17.tscn'},1,1,1.0
zone_1,015,zones/zone_1/015/d1_group_1.tres,zones/zone_1/015/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/025/25.tscn'},1,2,1.0
zone_1,015,zones/zone_1/015/d4_group_1.tres,zones/zone_1/015/d4_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/023/23.tscn'},1,1,1.0
zone_1,016,zones/zone_1/016/group_1.tres,zones/zone_1/016/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/007/7.tscn'},2,2,1.0
zone_1,016,zones/zone_1/016/group_1.tres,zones/zone_1/016/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},10,10,1.0
zone_1,016,zones/zone_1/016/group_2.tres,zones/zone_1/016/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},5,5,1.0
zone_1,016,zones/zone_1/016/group_3.tres,zones/zone_1/016/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/015/15.tscn'},3,3,1.0
zone_1,016,zones/zone_1/016/group_4.tres,zones/zone_1/016/unit_5.tres,敌人,{'@路径': 'res://entities/units/enemies/018/18.tscn'},1,1,1.0
zone_1,016,zones/zone_1/016/group_4.tres,zones/zone_1/016/unit_6.tres,敌人,{'@路径': 'res://entities/units/enemies/006/6.tscn'},1,1,1.0
zone_1,016,zones/zone_1/016/d1_group_1.tres,zones/zone_1/016/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/012/12.tscn'},1,1,1.0
zone_1,016,zones/zone_1/016/d2_group_1.tres,zones/zone_1/016/d2_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},3,4,1.0
zone_1,017,zones/zone_1/017/group_1.tres,zones/zone_1/017/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/005/5.tscn'},3,4,1.0
zone_1,017,zones/zone_1/017/group_2.tres,zones/zone_1/017/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/007/7.tscn'},1,1,1.0
zone_1,017,zones/zone_1/017/group_2.tres,zones/zone_1/017/unit_5.tres,敌人,{'@路径': 'res://entities/units/enemies/005/5.tscn'},1,2,1.0
zone_1,017,zones/zone_1/017/group_3.tres,zones/zone_1/017/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/016/16.tscn'},1,2,1.0
zone_1,017,zones/zone_1/017/group_4.tres,zones/zone_1/017/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/015/15.tscn'},4,5,1.0
zone_1,017,zones/zone_1/017/d1_group_1.tres,zones/zone_1/017/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/025/25.tscn'},1,1,1.0
zone_1,017,zones/zone_1/017/group_3b.tres,zones/zone_1/017/unit_7.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},3,4,1.0
zone_1,017,zones/zone_1/017/group_5.tres,zones/zone_1/017/unit_6.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},4,4,1.0
zone_1,018,zones/zone_1/018/group_1.tres,zones/zone_1/018/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/019/19.tscn'},6,6,1.0
zone_1,018,zones/zone_1/018/group_1.tres,zones/zone_1/018/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/007/7.tscn'},1,1,1.0
zone_1,018,zones/zone_1/018/group_2.tres,zones/zone_1/018/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},2,3,1.0
zone_1,018,zones/zone_1/018/group_3.tres,zones/zone_1/018/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},2,3,1.0
zone_1,018,zones/zone_1/018/group_4.tres,zones/zone_1/018/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/003/3.tscn'},2,2,1.0
zone_1,018,zones/zone_1/018/group_5.tres,zones/zone_1/018/unit_5.tres,敌人,{'@路径': 'res://entities/units/enemies/016/16.tscn'},2,2,1.0
zone_1,018,zones/zone_1/018/group_6.tres,zones/zone_1/018/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},2,3,1.0
zone_1,018,zones/zone_1/018/d1_group_1.tres,zones/zone_1/018/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/012/12.tscn'},1,2,1.0
zone_1,018,zones/zone_1/018/group_7.tres,zones/zone_1/018/unit_6.tres,敌人,{'@路径': 'res://entities/units/enemies/019/19.tscn'},5,5,1.0
zone_1,018,zones/zone_1/018/d4_group_1.tres,zones/zone_1/018/d4_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/023/23.tscn'},2,3,1.0
zone_1,019,zones/zone_1/019/group_1.tres,zones/zone_1/019/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},6,6,1.0
zone_1,019,zones/zone_1/019/group_2.tres,zones/zone_1/019/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},3,3,1.0
zone_1,019,zones/zone_1/019/group_3.tres,zones/zone_1/019/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/007/7.tscn'},1,1,1.0
zone_1,019,zones/zone_1/019/group_4.tres,zones/zone_1/019/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/018/18.tscn'},2,2,1.0
zone_1,019,zones/zone_1/019/group_5.tres,zones/zone_1/019/unit_5.tres,敌人,{'@路径': 'res://entities/units/enemies/005/5.tscn'},1,1,1.0
zone_1,019,zones/zone_1/019/group_6.tres,zones/zone_1/019/unit_6.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},2,2,1.0
zone_1,019,zones/zone_1/019/d1_group_1.tres,zones/zone_1/019/d1_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/012/12.tscn'},1,1,1.0
zone_1,019,zones/zone_1/019/d1_group_1.tres,zones/zone_1/019/d1_unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/025/25.tscn'},2,3,1.0
zone_1,019,zones/zone_1/019/group_7.tres,zones/zone_1/019/unit_7.tres,敌人,{'@路径': 'res://entities/units/enemies/019/19.tscn'},3,3,1.0
zone_1,019,zones/zone_1/019/d2_group_1.tres,zones/zone_1/019/d2_unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/015/15.tscn'},4,5,1.0
zone_1,020,zones/zone_1/020/group_1.tres,zones/zone_1/020/unit_1.tres,Boss,{'@路径': 'res://entities/units/enemies/010/10.tscn'},1,1,1.0
zone_1,020,zones/zone_1/020/group_1.tres,zones/zone_1/020/unit_2.tres,Boss,{'@路径': 'res://entities/units/enemies/011/11.tscn'},1,1,1.0
zone_1,020,zones/zone_1/020/group_2.tres,zones/zone_1/020/unit_3.tres,敌人,{'@路径': 'res://entities/units/enemies/001/1.tscn'},5,5,1.0
zone_1,020,zones/zone_1/020/group_3.tres,zones/zone_1/020/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},5,5,1.0
zone_1,020,zones/zone_1/020/group_4.tres,zones/zone_1/020/unit_4.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},5,5,1.0
zone_1,020,zones/zone_1/020/group_5.tres,zones/zone_1/020/unit_5.tres,敌人,{'@路径': 'res://entities/units/enemies/015/15.tscn'},5,5,1.0
zone_1,020,zones/zone_1/020/group_5b.tres,zones/zone_1/020/unit_9.tres,敌人,{'@路径': 'res://entities/units/enemies/018/18.tscn'},1,1,1.0
zone_1,020,zones/zone_1/020/group_6.tres,zones/zone_1/020/unit_6.tres,敌人,{'@路径': 'res://entities/units/enemies/016/16.tscn'},1,1,1.0
zone_1,020,zones/zone_1/020/group_6.tres,zones/zone_1/020/unit_7.tres,敌人,{'@路径': 'res://entities/units/enemies/007/7.tscn'},1,1,1.0
zone_1,020,zones/zone_1/020/group_6.tres,zones/zone_1/020/unit_8.tres,敌人,{'@路径': 'res://entities/units/enemies/014/14.tscn'},3,3,1.0
zone_1,020,zones/zone_1/020/group_6.tres,zones/zone_1/020/unit_9.tres,敌人,{'@路径': 'res://entities/units/enemies/018/18.tscn'},1,1,1.0
zone_1,021 (test),zones/zone_1/021 (test)/group_1.tres,zones/zone_1/021 (test)/unit_1.tres,敌人,{'@路径': 'res://entities/units/enemies/019/19.tscn'},1,1,1.0
zone_1,021 (test),zones/zone_1/021 (test)/group_1.tres,zones/zone_1/021 (test)/unit_2.tres,敌人,{'@路径': 'res://entities/units/enemies/007/7.tscn'},1,1,1.0
