武器族,中文名,类型,最高档,有几档,套装,套装数,加成属性,最高档伤害,冷却帧,射程,特殊效果,效果吃哪条属性,效果要点,同类协同(共享属性或效果),出处
weapon_ghost_flint,幽魂燧石,近战,IV 传奇,4,虚灵,1,stat_melee_damage×1.0,18,27,180,gain_stat_every_killed_enemies_effect,击杀数,每杀 N 只永久+某属性，波内叠加，越久越强,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂节杖、强拳、手里剑、扳手、拳,weapons/melee/ghost_flint/4/ghost_flint_4_data.tres
weapon_ghost_scepter,幽魂节杖,远程,IV 传奇,4,虚灵,1,stat_ranged_damage×1.0,30,38,450,gain_stat_every_killed_enemies_effect,击杀数,每杀 N 只永久+某属性，波内叠加，越久越强,冲锋枪、加特林机枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂斧、幽魂燧石、弹弓、手枪、核弹发射器,weapons/ranged/ghost_scepter/4/ghost_scepter_4_data.tres
weapon_hammer,铁锤,近战,IV 传奇,3,钝器 + 重型,2,stat_melee_damage×2.0,100,55,175,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/hammer/4/hammer_4_data.tres
weapon_hand,掌,近战,IV 传奇,4,徒手 + 辅助,2,stat_melee_damage×0.5,1,9,150,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/hand/4/hand_4_data.tres
weapon_hatchet,短斧,近战,IV 传奇,4,原始,1,stat_melee_damage×1.0,40,5,125,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/hatchet/4/hatchet_4_data.tres
weapon_jousting_lance,长矛,近战,IV 传奇,4,中世纪,1,stat_melee_damage×0.5 / stat_speed×0.5,50,40,250,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/jousting_lance/4/jousting_lance_4_data.tres
weapon_knife,小刀,近战,IV 传奇,4,精准,1,stat_melee_damage×0.8,20,13,150,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳、掌,weapons/melee/knife/4/knife_4_data.tres
weapon_knuckles,黄铜指虎,近战,II 罕见,1,（无套装）,0,stat_melee_damage×1.0,10,20,150,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/knuckles/knuckles_data.tres
weapon_laser_gun,激光枪,远程,IV 传奇,4,枪械,1,stat_ranged_damage×6.0,100,85,500,,,,冲锋枪、加特林机枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、弹弓、手枪、核弹发射器、毁灭者,weapons/ranged/laser_gun/4/laser_gun_4_data.tres
weapon_lightning_shiv,雷光刀,近战,IV 传奇,4,精准 + 元素,2,stat_melee_damage×0.8,15,13,150,projectiles_on_hit_effect,副弹自己的 scaling,副投射物有独立的 scaling_stats —— 近战武器吃远程/元素属性的后门,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/lightning_shiv/4/lightning_shiv_4_data.tres
weapon_medical_gun,医疗枪,远程,IV 传奇,4,医疗 + 枪械,2,stat_ranged_damage×1.0,30,25,400,,,,冲锋枪、加特林机枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、弹弓、手枪、核弹发射器、毁灭者、激光枪,weapons/ranged/medical_gun/4/medical_gun_4_data.tres
weapon_minigun,加特林机枪,远程,IV 传奇,2,重型 + 枪械,2,stat_ranged_damage×0.75,3,1,450,,,,冲锋枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、弹弓、手枪、核弹发射器、毁灭者、激光枪,weapons/ranged/minigun/4/minigun_4_data.tres
weapon_nuclear_launcher,核弹发射器,远程,IV 传奇,2,重型 + 爆炸,2,stat_ranged_damage×1.0 / stat_elemental_damage×1.0,120,110,800,exploding_effect,explosion_damage,爆炸武器的伤害乘区变成 (1+%伤害/100 + 爆炸伤害/100)，是 %伤害归零角色唯一还能出伤害的武器（weapon_service.gd:112-121）,冲锋枪、加特林机枪、医疗枪、十字弓、双管霰弹枪、喷火器、土豆发射器、左轮手枪、幽魂节杖、弹弓、强拳、手枪,weapons/ranged/nuclear_launcher/4/nuclear_launcher_4_data.tres
weapon_obliterator,毁灭者,远程,IV 传奇,2,重型,1,stat_ranged_damage×15.0,350,170,1000,,,,冲锋枪、加特林机枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、弹弓、手枪、核弹发射器、激光枪,weapons/ranged/obliterator/4/obliterator_4_data.tres
weapon_pistol,手枪,远程,IV 传奇,4,枪械,1,stat_ranged_damage×1.0,50,40,400,,,,冲锋枪、加特林机枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、弹弓、核弹发射器、毁灭者、激光枪,weapons/ranged/pistol/4/pistol_4_data.tres
weapon_plank,木板,近战,IV 传奇,4,爆炸 + 元素,2,stat_melee_damage×0.65 / stat_elemental_damage×0.65 / stat_engineering×0.65,25,25,150,exploding_effect,explosion_damage,爆炸武器的伤害乘区变成 (1+%伤害/100 + 爆炸伤害/100)，是 %伤害归零角色唯一还能出伤害的武器（weapon_service.gd:112-121）,修枝剪刀、刺棍、剑、剪刀、喷火器、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手,weapons/melee/plank/4/plank_4_data.tres
weapon_plasma_sledgehammer,等离子大锤,近战,IV 传奇,2,元素 + 爆炸,2,stat_melee_damage×2.0 / stat_elemental_damage×2.0,120,54,175,exploding_effect,explosion_damage,爆炸武器的伤害乘区变成 (1+%伤害/100 + 爆炸伤害/100)，是 %伤害归零角色唯一还能出伤害的武器（weapon_service.gd:112-121）,修枝剪刀、刺棍、剑、剪刀、喷火器、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手,weapons/melee/plasma_sledgehammer/4/plasma_sledgehammer_4_data.tres
weapon_potato_thrower,土豆发射器,远程,IV 传奇,3,辅助,1,stat_ranged_damage×0.25 / stat_max_hp×0.2,1,3,500,,,,冲锋枪、加特林机枪、医疗枪、十字弓、双管霰弹枪、左轮手枪、幽魂节杖、弹弓、手枪、核弹发射器、毁灭者、激光枪,weapons/ranged/potato_thrower/4/potato_thrower_4_data.tres
weapon_power_fist,强拳,近战,IV 传奇,2,徒手 + 爆炸,2,stat_melee_damage×1.0,60,2,150,exploding_effect,explosion_damage,爆炸武器的伤害乘区变成 (1+%伤害/100 + 爆炸伤害/100)，是 %伤害归零角色唯一还能出伤害的武器（weapon_service.gd:112-121）,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、手里剑、扳手、拳、掌,weapons/melee/power_fist/4/power_fist_4_data.tres
weapon_pruner,修枝剪刀,近战,IV 传奇,4,辅助,1,stat_melee_damage×1.0,25,20,150,turret_effect,stat_engineering,"炮台不吃 %伤害乘区也不吃暴击（weapon_service.gd:115,125），只吃工程学",刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳、掌,weapons/melee/pruner/4/pruner_4_data.tres
weapon_revolver,左轮手枪,远程,IV 传奇,4,枪械,1,stat_ranged_damage×1.75,40,11,450,,,,冲锋枪、加特林机枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、幽魂节杖、弹弓、手枪、核弹发射器、毁灭者、激光枪,weapons/ranged/revolver/4/revolver_4_data.tres
weapon_rock,石头,近战,IV 传奇,4,原始 + 钝器,2,stat_melee_damage×1.0,60,54,150,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/rock/4/rock_4_data.tres
weapon_rocket_launcher,火箭筒,远程,IV 传奇,3,重型 + 爆炸,2,stat_ranged_damage×1.0,80,45,600,exploding_effect,explosion_damage,爆炸武器的伤害乘区变成 (1+%伤害/100 + 爆炸伤害/100)，是 %伤害归零角色唯一还能出伤害的武器（weapon_service.gd:112-121）,冲锋枪、加特林机枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、弹弓、强拳、手枪、木板,weapons/ranged/rocket_launcher/4/rocket_launcher_4_data.tres
weapon_scissors,剪刀,近战,IV 传奇,4,医疗 + 精准,2,stat_melee_damage×0.8,20,18,150,,,,修枝剪刀、刺棍、剑、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳、掌,weapons/melee/scissors/4/scissors_4_data.tres
weapon_screwdriver,螺丝刀,近战,IV 传奇,4,工具,1,stat_melee_damage×0.5 / stat_engineering×0.5,20,20,125,structure_effect,stat_engineering,同上，构筑物走工程学,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/screwdriver/4/screwdriver_4_data.tres
weapon_shredder,粉碎者,远程,IV 传奇,4,枪械 + 爆炸,2,stat_ranged_damage×0.5,25,45,450,exploding_effect,explosion_damage,爆炸武器的伤害乘区变成 (1+%伤害/100 + 爆炸伤害/100)，是 %伤害归零角色唯一还能出伤害的武器（weapon_service.gd:112-121）,冲锋枪、加特林机枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、弹弓、强拳、手枪、木板,weapons/ranged/shredder/4/shredder_4_data.tres
weapon_shuriken,手里剑,远程,IV 传奇,4,精准,1,stat_melee_damage×0.5,15,30,350,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、扳手、拳、掌,weapons/ranged/shuriken/4/shuriken_4_data.tres
weapon_slingshot,弹弓,远程,IV 传奇,4,原始,1,stat_ranged_damage×0.8,20,55,300,,,,冲锋枪、加特林机枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、手枪、核弹发射器、毁灭者、激光枪,weapons/ranged/slingshot/4/slingshot_4_data.tres
weapon_smg,冲锋枪,远程,IV 传奇,4,枪械,1,stat_ranged_damage×0.8,8,3,400,,,,加特林机枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、弹弓、手枪、核弹发射器、毁灭者、激光枪,weapons/ranged/smg/4/smg_4_data.tres
weapon_sniper_gun,狙击手枪,远程,IV 传奇,2,枪械 + 精准,2,stat_ranged_damage×1.0 / stat_range×0.3,80,120,1000,projectiles_on_hit_effect,副弹自己的 scaling,副投射物有独立的 scaling_stats —— 近战武器吃远程/元素属性的后门,冲锋枪、刺棍、加特林机枪、医疗枪、十字弓、双管霰弹枪、土豆发射器、左轮手枪、幽魂节杖、弹弓、手枪、核弹发射器,weapons/ranged/sniper_gun/4/sniper_gun_4_data.tres
weapon_spear,矛,近战,IV 传奇,4,原始,1,stat_melee_damage×1.0,60,18,500,,,,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/spear/4/spear_4_data.tres
weapon_spiky_shield,尖刺盾,近战,IV 传奇,4,中世纪 + 钝器,2,stat_armor×2.0,30,27,150,,,,,weapons/melee/spiky_shield/4/spiky_shield_4_data.tres
weapon_stick,树枝,近战,IV 传奇,4,原始,1,stat_melee_damage×1.0,20,27,175,weapon_stack_effect,同款持有数,每多一把同款同族武器加一次，和套装堆同款完全同向,修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳,weapons/melee/stick/4/stick_4_data.tres
weapon_sword,剑,近战,IV 传奇,3,利器 + 中世纪,2,stat_melee_damage×1.0,60,22,200,,,,修枝剪刀、刺棍、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手、拳、掌,weapons/melee/sword/4/sword_4_data.tres
weapon_taser,电击枪,远程,IV 传奇,4,辅助 + 元素,2,stat_elemental_damage×0.5,10,45,200,slow_in_zone_effect,—,减速场，和高频攻击/近战贴脸配,喷火器、木板、核弹发射器、火把、等离子大锤、雷剑、魔杖,weapons/ranged/taser/4/taser_4_data.tres
weapon_thunder_sword,雷剑,近战,IV 传奇,2,利器 + 元素,2,stat_melee_damage×1.5 / stat_elemental_damage×1.5,60,27,200,projectiles_on_hit_effect,副弹自己的 scaling,副投射物有独立的 scaling_stats —— 近战武器吃远程/元素属性的后门,修枝剪刀、刺棍、剑、剪刀、喷火器、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手,weapons/melee/thunder_sword/4/thunder_sword_4_data.tres
weapon_torch,火把,近战,IV 传奇,4,原始 + 元素,2,stat_melee_damage×0.5 / stat_elemental_damage×0.5,1,13,175,burning_effect,stat_elemental_damage,燃烧伤害 = 武器值 + 全局 burn_chance 值 + 元素伤害，再乘 (1+%伤害/100)（weapon_service.gd:148-167）,修枝剪刀、刺棍、剑、剪刀、喷火器、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、扳手,weapons/melee/torch/4/torch_4_data.tres
weapon_wand,魔杖,远程,IV 传奇,4,元素,1,stat_elemental_damage×0.5,1,20,425,burning_effect,stat_elemental_damage,燃烧伤害 = 武器值 + 全局 burn_chance 值 + 元素伤害，再乘 (1+%伤害/100)（weapon_service.gd:148-167）,喷火器、木板、核弹发射器、火把、烈焰黄铜指虎、电击枪、等离子大锤、雷剑,weapons/ranged/wand/4/wand_4_data.tres
weapon_wrench,扳手,近战,IV 传奇,4,工具,1,stat_melee_damage×1.0,24,54,175,turret_effect,stat_engineering,"炮台不吃 %伤害乘区也不吃暴击（weapon_service.gd:115,125），只吃工程学",修枝剪刀、刺棍、剑、剪刀、圆锯、小刀、幽魂斧、幽魂燧石、强拳、手里剑、拳、掌,weapons/melee/wrench/4/wrench_4_data.tres
