区域,波次,组,出现概率,出现时机秒,重复次数,重复间隔,间隔递减,最小间隔,最低难度,最低波次,中立,Boss,兽潮,沿边缘刷,单位种数
zone_1,009,zones/zone_1/009/d1_group_1.tres,1.0,3,999,5,0,1,1,0,False,False,False,False,1
zone_1,009,zones/zone_1/009/d4_group_1.tres,1.0,3,999,5,0,1,4,0,False,False,False,False,1
zone_1,010,zones/zone_1/010/group_1.tres,1.0,1,999,2,0,2,0,0,False,False,False,True,1
zone_1,010,zones/zone_1/010/group_2.tres,1.0,5,999,8,1,5,0,0,False,False,False,False,1
zone_1,010,zones/zone_1/010/group_3.tres,1.0,20,999,5,1,2,0,0,False,False,False,False,1
zone_1,010,zones/zone_1/010/group_4.tres,1.0,30,999,3,1,2,0,0,False,False,False,False,1
zone_1,010,zones/zone_1/010/d1_group_1.tres,1.0,20,999,12,0,1,1,0,False,False,False,True,1
zone_1,010,zones/zone_1/010/d2_group_1.tres,1.0,30,999,3,1,2,2,0,False,False,False,False,1
zone_1,011,zones/zone_1/011/group_1.tres,1.0,1,999,5,0,1,0,0,False,False,False,False,1
zone_1,011,zones/zone_1/011/group_2.tres,1.0,3,999,6,1,1,0,0,False,False,False,False,1
zone_1,011,zones/zone_1/011/group_3.tres,1.0,5,999,3,0,1,0,0,False,False,False,False,1
zone_1,011,zones/zone_1/011/group_4.tres,1.0,25,999,3,0,1,0,0,False,False,False,True,1
zone_1,011,zones/zone_1/011/d1_group_1.tres,1.0,12,999,10,0,1,1,0,False,False,False,False,1
zone_1,011,zones/zone_1/011/d5_group_1.tres,1.0,3,999,10,0,1,5,0,False,False,False,False,1
zone_1,012,zones/zone_1/012/group_1.tres,1.0,1,10,2,0,1,0,0,False,False,False,True,1
zone_1,012,zones/zone_1/012/group_2.tres,1.0,5,999,5,0,1,0,0,False,False,False,False,1
zone_1,012,zones/zone_1/012/group_3.tres,1.0,15,999,5,0,1,0,0,False,False,False,False,1
zone_1,012,zones/zone_1/012/group_4.tres,1.0,25,999,3,1,1,0,0,False,False,False,False,1
zone_1,012,zones/zone_1/012/group_5.tres,1.0,25,999,3,1,1,0,0,False,False,False,True,1
zone_1,012,zones/zone_1/012/d1_group_1.tres,1.0,3,999,10,0,1,1,0,False,False,False,False,1
zone_1,012,zones/zone_1/012/d2_group_1.tres,1.0,15,999,8,0,1,2,0,False,False,False,False,2
zone_1,013,zones/zone_1/013/group_1.tres,1.0,1,999,4,1,2,0,0,False,False,False,False,1
zone_1,013,zones/zone_1/013/group_2.tres,1.0,4,999,8,1,4,0,0,False,False,False,False,1
zone_1,013,zones/zone_1/013/group_3.tres,1.0,8,999,5,0,1,0,0,False,False,False,True,1
zone_1,013,zones/zone_1/013/group_4.tres,1.0,30,999,5,1,4,0,0,False,False,False,True,2
zone_1,013,zones/zone_1/013/d1_group_1.tres,1.0,8,999,5,0,1,1,0,False,False,False,False,1
zone_1,013,zones/zone_1/013/d3_group_1.tres,1.0,8,999,8,0,1,3,0,False,False,False,False,1
zone_1,014,zones/zone_1/014/group_1.tres,1.0,1,999,8,1,4,0,0,False,False,False,False,1
zone_1,014,zones/zone_1/014/group_2.tres,1.0,2,999,5,1,3,0,0,False,False,False,False,1
zone_1,014,zones/zone_1/014/group_3.tres,1.0,15,999,5,1,2,0,0,False,False,False,True,1
zone_1,014,zones/zone_1/014/group_4.tres,1.0,30,999,10,1,4,0,0,False,False,False,False,1
zone_1,014,zones/zone_1/014/group_5.tres,1.0,22,999,6,0,1,0,0,False,False,False,False,1
zone_1,014,zones/zone_1/014/d1_group_1.tres,1.0,5,999,8,0,1,1,0,False,False,False,False,1
zone_1,014,zones/zone_1/014/d4_group_1.tres,1.0,8,999,8,0,1,4,0,False,False,False,False,1
zone_1,015,zones/zone_1/015/group_1.tres,1.0,1,999,5,1,3,0,0,False,False,False,False,2
zone_1,015,zones/zone_1/015/group_2.tres,1.0,2,999,3,0,1,0,0,False,False,False,False,1
zone_1,015,zones/zone_1/015/group_3.tres,1.0,8,999,3,0,1,0,0,False,False,False,False,1
zone_1,015,zones/zone_1/015/group_4.tres,1.0,12,999,5,1,2,0,0,False,False,False,True,1
zone_1,015,zones/zone_1/015/group_5.tres,1.0,20,999,5,1,2,0,0,False,False,False,False,1
zone_1,015,zones/zone_1/015/group_6.tres,1.0,35,999,6,1,5,0,0,False,False,False,False,1
zone_1,015,zones/zone_1/015/d1_group_1.tres,1.0,10,999,15,0,1,1,0,False,False,False,False,1
zone_1,015,zones/zone_1/015/d4_group_1.tres,1.0,5,999,12,0,1,4,0,False,False,False,False,1
zone_1,016,zones/zone_1/016/group_1.tres,1.0,1,999,4,0,1,0,0,False,False,False,False,2
zone_1,016,zones/zone_1/016/group_2.tres,1.0,5,999,5,1,4,0,0,False,False,False,True,1
zone_1,016,zones/zone_1/016/group_3.tres,1.0,20,999,3,1,1,0,0,False,False,False,False,1
zone_1,016,zones/zone_1/016/group_4.tres,1.0,32,999,3,0,1,0,0,False,False,False,False,2
zone_1,016,zones/zone_1/016/d1_group_1.tres,1.0,20,999,5,0,1,1,0,False,False,False,False,1
zone_1,016,zones/zone_1/016/d2_group_1.tres,1.0,3,999,6,0,1,2,0,False,False,False,True,1
zone_1,017,zones/zone_1/017/group_1.tres,1.0,1,999,3,0,1,0,0,False,False,False,False,1
zone_1,017,zones/zone_1/017/group_2.tres,1.0,4,999,10,0,1,0,0,False,False,False,False,2
zone_1,017,zones/zone_1/017/group_3.tres,1.0,7,999,8,0,1,0,0,False,False,False,True,1
zone_1,017,zones/zone_1/017/group_4.tres,1.0,30,999,5,1,1,0,0,False,False,False,False,1
zone_1,017,zones/zone_1/017/d1_group_1.tres,1.0,15,999,5,0,1,1,0,False,False,False,False,1
zone_1,017,zones/zone_1/017/group_3b.tres,1.0,15,999,5,1,3,0,0,False,False,False,False,1
zone_1,017,zones/zone_1/017/group_5.tres,1.0,40,999,5,1,3,0,0,False,False,False,True,1
zone_1,018,zones/zone_1/018/group_1.tres,1.0,1,10,3,1,2,0,0,False,False,False,False,2
zone_1,018,zones/zone_1/018/group_2.tres,1.0,4,999,10,1,3,0,0,False,False,False,True,1
zone_1,018,zones/zone_1/018/group_3.tres,1.0,10,999,5,0,1,0,0,False,False,False,False,1
zone_1,018,zones/zone_1/018/group_4.tres,1.0,20,999,3,0,1,0,0,False,False,False,False,1
zone_1,018,zones/zone_1/018/group_5.tres,1.0,24,999,3,1,3,0,0,False,False,False,True,1
zone_1,018,zones/zone_1/018/group_6.tres,1.0,30,999,3,1,1,0,0,False,False,False,False,1
zone_1,018,zones/zone_1/018/d1_group_1.tres,1.0,1,5,3,0,1,1,0,False,False,False,False,1
zone_1,018,zones/zone_1/018/group_7.tres,1.0,1,35,3,0,1,0,0,False,False,False,True,1
zone_1,018,zones/zone_1/018/d4_group_1.tres,1.0,40,99,5,0,1,4,0,False,False,False,False,1
zone_1,019,zones/zone_1/019/group_1.tres,1.0,1,999,1,0,1,0,0,False,False,False,True,1
zone_1,019,zones/zone_1/019/group_2.tres,1.0,4,999,1,0,1,0,0,False,False,False,False,1
zone_1,019,zones/zone_1/019/group_3.tres,1.0,10,999,3,0,1,0,0,False,False,False,False,1
zone_1,019,zones/zone_1/019/group_4.tres,1.0,15,999,5,1,4,0,0,False,False,False,False,1
zone_1,019,zones/zone_1/019/group_5.tres,1.0,25,999,5,0,1,0,0,False,False,False,False,1
zone_1,019,zones/zone_1/019/group_6.tres,1.0,32,999,5,1,1,0,0,False,False,False,True,1
zone_1,019,zones/zone_1/019/d1_group_1.tres,1.0,5,999,8,0,1,1,0,False,False,False,True,2
zone_1,019,zones/zone_1/019/group_7.tres,1.0,30,999,5,0,1,0,0,False,False,False,False,1
zone_1,019,zones/zone_1/019/d2_group_1.tres,1.0,8,999,8,0,1,1,0,False,False,False,True,1
zone_1,020,zones/zone_1/020/group_1.tres,1.0,1,0,0,0,0,0,0,False,True,False,True,2
zone_1,020,zones/zone_1/020/group_2.tres,1.0,1,5,3,0,1,0,0,False,False,False,True,1
zone_1,020,zones/zone_1/020/group_3.tres,1.0,10,5,3,0,1,0,0,False,False,False,True,1
zone_1,020,zones/zone_1/020/group_4.tres,1.0,15,5,3,0,1,0,0,False,False,False,True,1
zone_1,020,zones/zone_1/020/group_5.tres,1.0,20,5,1,0,3,0,0,False,False,False,True,1
zone_1,020,zones/zone_1/020/group_5b.tres,1.0,20,5,1,0,1,0,0,False,False,False,False,1
zone_1,020,zones/zone_1/020/group_6.tres,1.0,30,999,6,1,3,0,0,False,False,False,True,4
zone_1,021 (test),zones/zone_1/021 (test)/group_1.tres,1.0,1,-1,3,1,1,0,,False,False,,False,2
