key,中文名,英文名,售价,卖价,档位,前置券,升级为,生效方式,生效字段,查询点,中文描述,英文描述,数值参数,占位变量取值,loc_vars原式,默认解锁,order,代码出处,图片
v_telescope,望远镜,Telescope,10,5,基础,,v_observatory,被动查询 used_vouchers,,card.lua:1739,天体包中的 星球牌始终有 你最常用的 的牌型,Celestial Packs always contain the Planet card for your most played poker hand,extra=3,#1#=3,_c.config.extra,是,11,card.lua:1912,图片资源/Voucher/v_telescope.png
v_observatory,天文台,Observatory,10,5,升级,v_telescope,,被动查询 used_vouchers,,card.lua:2298,在您消耗牌栏位中 的星球牌 会使这一特定牌型 给予X1.5倍率,Planet cards in your consumable area give  X1.5  Mult for their specified poker hand,extra=1.5,#1#=1.5,_c.config.extra,,12,card.lua:1912,图片资源/Voucher/v_observatory.png
v_grabber,抓手,Grabber,10,5,基础,,v_nacho_tong,apply_to_run 即时改全局,G.GAME.round_resets.hands ; ease_hands_played(),,每回合 出牌次数 永久+1,Permanently gain +1 hand per round,extra=1,#1#=1,_c.config.extra,是,13,card.lua:1938,图片资源/Voucher/v_grabber.png
v_nacho_tong,玉米片夹,Nacho Tong,10,5,升级,v_grabber,,apply_to_run 即时改全局,G.GAME.round_resets.hands ; ease_hands_played(),,每回合 出牌次数 永久+1,Permanently gain +1 hand per round,extra=1,#1#=1,_c.config.extra,,14,card.lua:1938,图片资源/Voucher/v_nacho_tong.png
v_wasteful,常弃常新,Wasteful,10,5,基础,,v_recyclomancy,apply_to_run 即时改全局,G.GAME.round_resets.discards ; ease_discard(),,每回合 弃牌次数 永久+1,Permanently gain +1 discard each round,extra=1,#1#=1,_c.config.extra,是,15,card.lua:1945,图片资源/Voucher/v_wasteful.png
v_recyclomancy,回收魔法,Recyclomancy,10,5,升级,v_wasteful,,apply_to_run 即时改全局,G.GAME.round_resets.discards ; ease_discard(),,每回合 弃牌次数 永久+1,Permanently gain +1 discard each round,extra=1,#1#=1,_c.config.extra,,16,card.lua:1945,图片资源/Voucher/v_recyclomancy.png
v_tarot_merchant,塔罗牌商人,Tarot Merchant,10,5,基础,,v_tarot_tycoon,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.tarot_rate,,商店内 塔罗牌 出现频率X2,Tarot cards appear 2X more frequently in the shop,extra=2.4; extra_disp=2,#1#=2,_c.config.extra_disp,是,17,card.lua:1892,图片资源/Voucher/v_tarot_merchant.png
v_tarot_tycoon,塔罗大亨,Tarot Tycoon,10,5,升级,v_tarot_merchant,,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.tarot_rate,,商店内 塔罗牌 出现频率X4,Tarot cards appear 4X more frequently in the shop,extra=8.0; extra_disp=4,#1#=4,_c.config.extra_disp,,18,card.lua:1892,图片资源/Voucher/v_tarot_tycoon.png
v_planet_merchant,星球牌商人,Planet Merchant,10,5,基础,,v_planet_tycoon,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.planet_rate,,商店内 星球牌 出现频率X2,Planet cards appear 2X more frequently in the shop,extra=2.4; extra_disp=2,#1#=2,_c.config.extra_disp,是,19,card.lua:1897,图片资源/Voucher/v_planet_merchant.png
v_planet_tycoon,星球大亨,Planet Tycoon,10,5,升级,v_planet_merchant,,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.planet_rate,,商店内 星球牌 出现频率X4,Planet cards appear 4X more frequently in the shop,extra=8.0; extra_disp=4,#1#=4,_c.config.extra_disp,,20,card.lua:1897,图片资源/Voucher/v_planet_tycoon.png
v_seed_money,种子基金,Seed Money,10,5,基础,,v_money_tree,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.interest_cap,,每回合 可获得利息的上限 提高到$10,Raise the cap on interest earned in each round to $10,extra=50,#1#=10,_c.config.extra/5,是,21,card.lua:1933,图片资源/Voucher/v_seed_money.png
v_money_tree,摇钱树,Money Tree,10,5,升级,v_seed_money,,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.interest_cap,,每回合 可获得利息的上限 提高到$20,Raise the cap on interest earned in each round to $20,extra=100,#1#=20,_c.config.extra/5,,22,card.lua:1933,图片资源/Voucher/v_money_tree.png
v_blank,空白,Blank,10,5,基础,,v_antimatter,apply_to_run 即时改全局,check_for_unlock(),,什么都没有？,Does nothing?,extra=5,,,是,23,card.lua:1949 ; functions/common_events.lua:2628,图片资源/Voucher/v_blank.png
v_antimatter,反物质,Antimatter,10,5,升级,v_blank,,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.jokers.config.card_limit,,小丑牌槽位+1,+1 Joker Slot,extra=15,,,,24,card.lua:1952 ; card.lua:4424 ; card.lua:4454 ; card.lua:4478,图片资源/Voucher/v_antimatter.png
v_magic_trick,魔术,Magic Trick,10,5,基础,,v_illusion,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.playing_card_rate,,商店里面 有游戏牌 可供选购,Playing cards can be purchased from the shop,extra=4,,,是,25,card.lua:1907,图片资源/Voucher/v_magic_trick.png
v_illusion,幻象,Illusion,10,5,升级,v_magic_trick,,apply_to_run 即时改全局,G.E_MANAGER:add_event() ; G.GAME.playing_card_rate,functions/UI_definitions.lua:821 ; functions/UI_definitions.lua:835,商店内的游戏牌 可以是增强卡牌、 不同版本、和/或蜡封,"Playing cards in shop may have an Enhancement, Edition, and/or a Seal",extra=4,,,,26,card.lua:1907,图片资源/Voucher/v_illusion.png
v_hieroglyph,象形文字,Hieroglyph,10,5,基础,,v_petroglyph,apply_to_run 即时改全局,ease_ante() ; G.GAME.round_resets.blind_ante ; G.GAME.round_resets.hands ; ease_hands_played() ; G.GAME.round_resets.discards ; ease_discard(),,底注-1 每回合 出牌次数-1,"-1 Ante, -1 hand each round",extra=1,#1#=1,_c.config.extra,是,27,card.lua:1959 ; card.lua:1964,图片资源/Voucher/v_hieroglyph.png
v_petroglyph,岩画,Petroglyph,10,5,升级,v_hieroglyph,,apply_to_run 即时改全局,ease_ante() ; G.GAME.round_resets.blind_ante ; G.GAME.round_resets.hands ; ease_hands_played() ; G.GAME.round_resets.discards ; ease_discard(),,底注-1 每回合 弃牌次数-1,"-1 Ante, -1 discard each round",extra=1,#1#=1,_c.config.extra,,28,card.lua:1959 ; card.lua:1968,图片资源/Voucher/v_petroglyph.png
v_directors_cut,导演剪辑版,Director's Cut,10,5,基础,,v_retcon,被动查询 used_vouchers,,functions/UI_definitions.lua:1534 ; functions/button_callbacks.lua:2897,可以重掷Boss盲注 每个底注限重掷1次 每次花费$10,"Reroll Boss Blind 1 time per Ante, $10 per roll",extra=10,#1#=10,_c.config.extra,是,29,,图片资源/Voucher/v_directors_cut.png
v_retcon,重构,Retcon,10,5,升级,v_directors_cut,,被动查询 used_vouchers,,functions/UI_definitions.lua:1534 ; functions/button_callbacks.lua:2896,重掷Boss盲注 不限次数 每次重掷花费$10,"Reroll Boss Blind unlimited times, $10 per roll",extra=10,#1#=10,_c.config.extra,,30,,图片资源/Voucher/v_retcon.png
v_paint_brush,油漆刷,Paint Brush,10,5,基础,,v_palette,apply_to_run 即时改全局,G.hand:change_size(),,手牌上限+1,+1 hand size,extra=1,#1#=1,_c.config.extra,是,31,card.lua:1942,图片资源/Voucher/v_paint_brush.png
v_palette,调色板,Palette,10,5,升级,v_paint_brush,,apply_to_run 即时改全局,G.hand:change_size(),,手牌上限+1,+1 hand size,extra=1,#1#=1,_c.config.extra,,32,card.lua:1942,图片资源/Voucher/v_palette.png
