key,中文名,英文名,稀有度,售价,卖价,效果类型,生效方式,通用规则,通用规则说明,触发时机,成长型,中文描述,英文描述,数值参数,占位变量取值,loc_vars原式,蓝图可复制,永恒可,易腐可,默认解锁,解锁条件类型,解锁条件,order,代码出处,图片,描述模板_中文
j_half,半张小丑,Half Joker,1-普通,5,2,Hand Size Mult,calculate_joker 按名字,,,小丑区 > 计分主阶段,,如果打出的牌 少于等于3张 +20倍率,+20 Mult if played hand contains 3 or fewer cards,extra.mult=20; extra.size=3,#1#=20 | #2#=3,"self.ability.extra.mult, self.ability.extra.size",是,是,是,是,,,16,card.lua:194 ; card.lua:238 ; card.lua:3675 ; card.lua:4757,图片资源/Joker/j_half.png,如果打出的牌 少于等于{C:attention}#2#{}张 {C:red}+#1#{}倍率
j_stencil,模具小丑,Joker Stencil,2-罕见,8,4,Hand Size Mult,外部引用,,,,是,每个空的小丑牌槽位 获得 X1倍率 模具小丑算作空位 （当前为 X1 ）, X1  Mult for each empty Joker slot Joker Stencil included (Currently  X1 ),,#1#=1,self.ability.x_mult,是,是,是,是,,,17,card.lua:3969 ; card.lua:4206 ; card.lua:4209,图片资源/Joker/j_stencil.png,"每个空的{C:attention}小丑牌{}槽位 获得{X:red,C:white} X1{}倍率 {s:0.8}模具小丑算作空位 （当前为{X:red,C:white} X#1# {C:inactive}）"
j_four_fingers,四指,Four Fingers,2-罕见,7,3,,外部引用,,,,,所有同花和 顺子都可以 由4张牌组成,All Flushes and Straights can be made with 4 cards,,,,,是,是,是,,,18,functions/misc_functions.lua:527 ; functions/misc_functions.lua:553,图片资源/Joker/j_four_fingers.png,所有{C:attention}同花{}和 {C:attention}顺子{}都可以 由{C:attention}4{}张牌组成
j_mime,哑剧演员,Mime,2-罕见,5,2,Hand card double,calculate_joker 按名字,,,回合结算 > 重复触发 > 手牌区 | 重复触发 > 手牌区,,重新触发所有 留在手牌中的 牌的能力,Retrigger all card held in hand abilities,extra=1,,,是,是,是,是,,,19,card.lua:2882 ; card.lua:3390,图片资源/Joker/j_mime.png,重新触发所有 {C:attention}留在手牌中的 {C:attention}牌{}的能力
j_credit_card,信用卡,Credit Card,1-普通,1,0,Credit,外部引用,,,,,可以负债 最多-$20,Go up to -$20 in debt,extra=20,#1#=20,self.ability.extra,,是,是,是,,,20,card.lua:593 ; card.lua:655,图片资源/Joker/j_credit_card.png,可以负债 最多{C:red}-$#1#{}
j_ceremonial,仪式匕首,Ceremonial Dagger,2-罕见,6,3,,calculate_joker 按名字,,,盲注选定 | 小丑区 > 计分主阶段,是,在选择盲注时 摧毁右侧的小丑牌 并将其售价的两倍 永久添加至这张牌的倍率 （当前为+0倍）,"When Blind is selected, destroy Joker to the right and permanently add double its sell value to this Mult (Currently +0 Mult)",mult=0,#1#=0,self.ability.mult,是,是,,是,,,21,card.lua:2564 ; card.lua:3740,图片资源/Joker/j_ceremonial.png,在选择{C:attention}盲注{}时 摧毁右侧的小丑牌 并将其售价的{C:attention}两倍 永久添加至这张牌的{C:attention}倍率 {C:inactive}（当前为{C:mult}+#1#{C:inactive}倍）
j_banner,旗帜,Banner,1-普通,5,2,Discard Chips,calculate_joker 按名字,,,小丑区 > 计分主阶段,,每一个剩余的 弃牌次数 +30筹码,+30 Chips for each remaining discard,extra=30,#1#=30,self.ability.extra,是,是,是,是,,,22,card.lua:3710,图片资源/Joker/j_banner.png,每一个剩余的 {C:attention}弃牌{}次数 {C:chips}+#1#{}筹码
j_mystic_summit,神秘之峰,Mystic Summit,1-普通,5,2,No Discard Mult,calculate_joker 按名字,,,小丑区 > 计分主阶段,,当剩余0次 弃牌次数 +15倍率,+15 Mult when 0 discards remaining,extra.d_remaining=0; extra.mult=15,#1#=15 | #2#=0,"self.ability.extra.mult, self.ability.extra.d_remaining",是,是,是,是,,,23,card.lua:3697,图片资源/Joker/j_mystic_summit.png,当剩余{C:attention}#2#{}次 弃牌次数 {C:mult}+#1#{}倍率
j_marble,大理石小丑,Marble Joker,2-罕见,6,3,Stone card hands,calculate_joker 按名字,,,盲注选定,,选择盲注后 牌组中会添加 一张石头牌,Adds one Stone card to deck when Blind is selected,extra=1,,,是,是,是,是,,,24,card.lua:2583 ; functions/common_events.lua:2584,图片资源/Joker/j_marble.png,选择{C:attention}盲注{}后 牌组中会添加 一张{C:attention}石头{}牌
j_loyalty_card,积分卡,Loyalty Card,2-罕见,5,2,1 in 10 mult,calculate_joker 按名字,,,小丑区 > 计分主阶段,,每第6次出牌时 给予 X4 倍率 （type = 'variable）, X4  Mult every 6 hands played type = 'variable,extra.Xmult=4; extra.every=5; extra.remaining=5 remaining,#1#=4 | #2#=6 | #3#=type = 'variable,"self.ability.extra.Xmult, self.ability.extra.every + 1, localize{type = 'variable', key = (self.ability.loyalty_remaining == 0 and 'loyalty_active' or 'loyalty_inactive'), vars = {self.ability.loyalty_remaining}}",是,是,是,是,,,25,card.lua:330 ; card.lua:3635,图片资源/Joker/j_loyalty_card.png,"每第{C:attention}#2#{}次出牌时 给予{X:red,C:white} X#1# {}倍率 {C:inactive}（#3#）"
j_8_ball,八号球,8 Ball,1-普通,5,2,Spawn Tarot,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的每一张8 有1/4几率在计分时 生成一张塔罗牌 （必须有空位）,1 in 4 chance for each played 8 to create a Tarot card when scored (Must have room),extra=4,#1#=1 | #2#=4,"''..(G.GAME and G.GAME.probabilities.normal or 1),self.ability.extra",是,是,是,是,,,26,card.lua:3109,图片资源/Joker/j_8_ball.png,打出的每一张{C:attention}8{} 有{C:green}#1#/#2#{}几率在计分时 生成一张{C:tarot}塔罗牌{} {C:inactive}（必须有空位）
j_misprint,印错小丑,Misprint,1-普通,4,2,Random Mult,calculate_joker 按名字,,,小丑区 > 计分主阶段,,,,extra.max=23; extra.min=0,,,是,是,是,是,,,27,card.lua:3703,图片资源/Joker/j_misprint.png,
j_dusk,黄昏,Dusk,2-罕见,5,2,,calculate_joker 按名字,,,重复触发 > 计分区,,每回合的 最后一次出牌时 所有打出的牌会被触发两次,Retrigger all played cards in final hand of round,extra=1,#1#=2,self.ability.extra+1,是,是,是,是,,,28,card.lua:3363,图片资源/Joker/j_dusk.png,每回合的 {C:attention}最后一次出牌{}时 所有打出的牌会被触发两次
j_raised_fist,致胜之拳,Raised Fist,1-普通,5,2,Socialized Mult,calculate_joker 按名字,,,逐张计分 > 手牌区,,将留在手牌中点数最小牌 点数的两倍 加到倍率上,Adds double the rank of lowest ranked card held in hand to Mult,,,,是,是,是,是,,,29,card.lua:3323,图片资源/Joker/j_raised_fist.png,将留在手牌中点数{C:attention}最小{}牌 点数的{C:attention}两倍{} 加到倍率上
j_chaos,混沌小丑,Chaos the Clown,1-普通,4,2,Bonus Rerolls,外部引用,,,,,每次商店 1次免费重掷,1 free Reroll per shop,extra=1,#1#=1,self.ability.extra,,是,是,是,,,30,card.lua:601 ; card.lua:658 ; functions/state_events.lua:332,图片资源/Joker/j_chaos.png,每次商店 {C:green}#1#{}次免费重掷
j_fibonacci,斐波那契,Fibonacci,2-罕见,8,4,Card Mult,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的每一张 A、2、3、5、8 在计分时给予+8倍率,"Each played Ace, 2, 3, 5, or 8 gives +8 Mult when scored",extra=8,#1#=8,self.ability.extra,是,是,是,是,,,31,card.lua:3188,图片资源/Joker/j_fibonacci.png,打出的每一张 {C:attention}A{}、{C:attention}2{}、{C:attention}3{}、{C:attention}5{}、{C:attention}8{} 在计分时给予{C:mult}+#1#{}倍率
j_steel_joker,钢铁小丑,Steel Joker,2-罕见,7,3,Steel Card Buff,calculate_joker 按名字,,,小丑区 > 计分主阶段,是,完整牌组内每有一张 钢铁牌 给予 X0.2 倍率 （当前为X1倍率）,Gives  X0.2  Mult for each Steel Card in your full deck (Currently  X1  Mult),extra=0.2,#1#=0.2 | #2#=1,"self.ability.extra, 1 + self.ability.extra*(self.ability.steel_tally or 0)",是,是,是,是,,,32,card.lua:3932 ; card.lua:4188 ; functions/common_events.lua:2585,图片资源/Joker/j_steel_joker.png,"{C:attention}完整牌组{}内每有一张 {C:attention}钢铁牌{} 给予{X:mult,C:white} X#1# {}倍率 {C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）"
j_scary_face,恐怖面孔,Scary Face,1-普通,4,2,Scary Face Cards,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的人头牌 在计分时 给予+30筹码,Played face cards give +30 Chips when scored,extra=30,#1#=30,self.ability.extra,是,是,是,是,,,33,card.lua:3139,图片资源/Joker/j_scary_face.png,打出的{C:attention}人头牌{} 在计分时 给予{C:chips}+#1#{}筹码
j_abstract,抽象小丑,Abstract Joker,1-普通,4,2,Joker Mult,calculate_joker 按名字,,,小丑区 > 计分主阶段,是,每有一张小丑牌 +3倍率 （当前为+(G.jokers and G.jokers.cards and #G.jokers.cards or 0)*3倍率）,+3 Mult for each Joker card (Currently +(G.jokers and G.jokers.cards and #G.jokers.cards or 0)*3 Mult),extra=3,#1#=3 | #2#=(G.jokers and G.jokers.cards and #G.jokers.cards or 0)*3,"self.ability.extra, (G.jokers and G.jokers.cards and #G.jokers.cards or 0)*self.ability.extra",是,是,是,是,,,34,card.lua:3681,图片资源/Joker/j_abstract.png,每有一张{C:attention}小丑牌{} {C:mult}+#1#{}倍率 {C:inactive}（当前为{C:red}+#2#{C:inactive}倍率）
j_delayed_grat,延迟满足,Delayed Gratification,1-普通,4,2,Discard dollars,外部引用,,,,,如果在回合结束时 没有使用弃牌，则每把弃牌 获得$2,Earn $2 per discard if no discards are used by end of the round,extra=2,#1#=2,self.ability.extra,,是,是,是,,,35,card.lua:1677,图片资源/Joker/j_delayed_grat.png,如果在回合结束时 没有使用弃牌，则每把{C:attention}弃牌{} 获得{C:money}$#1#{}
j_hack,烂脱口秀演员,Hack,2-罕见,6,3,Low Card double,calculate_joker 按名字,,,重复触发 > 计分区,,重新触发 所有打出的 2、3、4和5,"Retrigger each played 2, 3, 4, or 5",extra=1,#1#=2,self.ability.extra+1,是,是,是,是,,,36,card.lua:3377,图片资源/Joker/j_hack.png,重新触发 所有打出的 {C:attention}2{}、{C:attention}3{}、{C:attention}4{}和{C:attention}5{}
j_pareidolia,幻视,Pareidolia,2-罕见,5,2,All face cards,外部引用,,,,,所有卡牌 均视为 人头牌,All cards are considered face cards,,,,,是,是,是,,,37,card.lua:968,图片资源/Joker/j_pareidolia.png,所有卡牌 均视为 {C:attention}人头牌{}
j_gros_michel,大麦克香蕉,Gros Michel,1-普通,5,2,,calculate_joker 按名字,,,回合结算 | 小丑区 > 计分主阶段,,+15倍率 回合结束时 有1/6的几率 摧毁此牌,+15 Mult 1 in 6 chance this card is destroyed at end of round,extra.mult=15; extra.odds=6,#1#=15 | #2#=1 | #3#=6,"self.ability.extra.mult, ''..(G.GAME and G.GAME.probabilities.normal or 1), self.ability.extra.odds",是,,是,是,,,38,card.lua:3022 ; card.lua:3040 ; card.lua:4025,图片资源/Joker/j_gros_michel.png,{C:mult}+#1#{}倍率 回合结束时 有{C:green}#2#/#3#{}的几率 摧毁此牌
j_even_steven,偶数史蒂文,Even Steven,1-普通,4,2,Even Card Buff,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的点数为 偶数的牌 在计分时给予+4倍率 （10、8、6、4、2）,"Played cards with even rank give +4 Mult when scored (10, 8, 6, 4, 2)",extra=4,#1#=4,self.ability.extra,是,是,是,是,,,39,card.lua:3199,图片资源/Joker/j_even_steven.png,打出的点数为 {C:attention}偶数{}的牌 在计分时给予{C:mult}+#1#{}倍率 {C:inactive}（10、8、6、4、2）
j_odd_todd,奇数托德,Odd Todd,1-普通,4,2,Odd Card Buff,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的点数为 奇数的牌 在计分时给予+31筹码 （A、9、7、5、3）,"Played cards with odd rank give +31 Chips when scored (A, 9, 7, 5, 3)",extra=31,#1#=31,self.ability.extra,是,是,是,是,,,40,card.lua:3209,图片资源/Joker/j_odd_todd.png,打出的点数为 {C:attention}奇数{}的牌 在计分时给予{C:chips}+#1#{}筹码 {C:inactive}（A、9、7、5、3）
j_scholar,学者,Scholar,1-普通,4,2,Ace Buff,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的A牌 在计分时给予 +4倍率 和+20筹码,Played Aces give +20 Chips and +4 Mult when scored,extra.chips=20; extra.mult=4,#1#=4 | #2#=20,"self.ability.extra.mult, self.ability.extra.chips",是,是,是,是,,,41,card.lua:3162,图片资源/Joker/j_scholar.png,打出的{C:attention}A{}牌 在计分时给予 {C:mult}+#1#{}倍率 和{C:chips}+#2#{}筹码
j_business,名片,Business Card,1-普通,4,2,Face Card dollar Chance,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的人头牌在计分时 有1/2的几率 获得$2,Played face cards have a 1 in 2 chance to give $2 when scored,extra=2,#1#=1 | #2#=2,"''..(G.GAME and G.GAME.probabilities.normal or 1), self.ability.extra",是,是,是,是,,,42,card.lua:3178,图片资源/Joker/j_business.png,打出的{C:attention}人头牌{}在计分时 有{C:green}#1#/#2#{}的几率 获得{C:money}$2{}
j_supernova,超新星,Supernova,1-普通,5,2,Hand played mult,calculate_joker 按名字,,,小丑区 > 计分主阶段,,将牌型在本赛局内 被打出过的次数 添加至倍率,Adds the number of times poker hand has been played this run to Mult,extra=1,,,是,是,是,是,,,43,card.lua:3734,图片资源/Joker/j_supernova.png,将{C:attention}牌型{}在本赛局内 被{C:attention}打出过{}的次数 添加至倍率
j_ride_the_bus,搭乘巴士,Ride the Bus,1-普通,6,3,,calculate_joker 按名字,,,小丑区 > 出牌前 | 小丑区 > 计分主阶段,是,连续打出没有 计分人头牌的牌时 这张小丑牌获得+1倍率 失败将会重置倍率 （当前为+0倍率）,This Joker gains +1 Mult per consecutive hand played without a scoring face card (Currently +0 Mult),extra=1,#1#=1 | #2#=0,"self.ability.extra, self.ability.mult",是,是,,是,discard_custom,,44,card.lua:3528 ; card.lua:3995,图片资源/Joker/j_ride_the_bus.png,连续打出没有 计分{C:attention}人头牌{}的牌时 这张小丑牌获得{C:mult}+#1#{}倍率 失败将会重置倍率 {C:inactive}（当前为{C:mult}+#2#{C:inactive}倍率）
j_space,太空小丑,Space Joker,2-罕见,5,2,Upgrade Hand chance,calculate_joker 按名字,,,小丑区 > 出牌前,,有1/4的 几率升级 打出的牌型等级,1 in 4 chance to upgrade level of played poker hand,extra=4,#1#=1 | #2#=4,"''..(G.GAME and G.GAME.probabilities.normal or 1), self.ability.extra",是,是,是,是,,,45,card.lua:3423,图片资源/Joker/j_space.png,有{C:green}#1#/#2#{}的 几率升级 打出的{C:attention}牌型等级{}
j_egg,鸡蛋,Egg,1-普通,4,2,,calculate_joker 按名字,,,回合结算,,在回合结束时 本卡的出售价值 增加$3,Gains $3 of sell value at end of round,extra=3,#1#=3,self.ability.extra,,是,是,是,,,46,card.lua:2988,图片资源/Joker/j_egg.png,在回合结束时 本卡的{c:attention}出售价值 增加{c:money}$#1#
j_burglar,窃贼,Burglar,2-罕见,6,3,,calculate_joker 按名字,,,盲注选定,,选择盲注后 出牌次数+3，并 失去所有弃牌次数,"When Blind is selected, gain +3 Hands and lose all discards",extra=3,#1#=3,self.ability.extra,是,是,是,是,,,47,card.lua:2525,图片资源/Joker/j_burglar.png,选择{C:attention}盲注{}后 出牌次数{C:red}+#1#{}，并 {C:attention}失去所有弃牌次数
j_blackboard,黑板,Blackboard,2-罕见,6,3,,外部引用,,,,,如果留在手牌中的 所有牌都是Spades或Clubs 则 X3 倍率, X3  Mult if all cards held in hand are Spades or Clubs,extra=3,#1#=3 | #2#=Spades | #3#=Clubs,"self.ability.extra, localize('Spades', 'suits_plural'), localize('Clubs', 'suits_plural')",是,是,是,是,,,48,card.lua:3954,图片资源/Joker/j_blackboard.png,"如果留在手牌中的 所有牌都是{C:spades}#2#{}或{C:clubs}#3#{} 则{X:red,C:white} X#1# {}倍率"
j_runner,跑步选手,Runner,1-普通,5,2,,calculate_joker 按名字,,,小丑区 > 出牌前 | 小丑区 > 计分主阶段,是,如果打出的牌中包含 顺子 这张小丑获得+15筹码 （当前为+0筹码）,Gains +15 Chips if played hand contains a Straight (Currently +0 Chips),extra.chip_mod=15; extra.chips=0,#1#=0 | #2#=15,"self.ability.extra.chips, self.ability.extra.chip_mod",是,是,,是,,,49,card.lua:3438 ; card.lua:3911,图片资源/Joker/j_runner.png,如果打出的牌中包含 {C:attention}顺子{} 这张小丑获得{C:chips}+#2#{}筹码 {C:inactive}（当前为{C:chips}+#1#{C:inactive}筹码）
j_ice_cream,冰淇淋,Ice Cream,1-普通,5,2,,calculate_joker 按名字,,,小丑区 > 出牌后 | 小丑区 > 计分主阶段,,+100筹码 每次出牌后 -5筹码,+100 Chips -5 Chips for every hand played,extra.chip_mod=5; extra.chips=100,#1#=100 | #2#=5,"self.ability.extra.chips, self.ability.extra.chip_mod",是,,是,是,,,50,card.lua:3574 ; card.lua:3918,图片资源/Joker/j_ice_cream.png,{C:chips}+#1#{}筹码 每次出牌后 {C:chips}-#2#{}筹码
j_dna,DNA,DNA,3-稀有,8,4,,calculate_joker 按名字,,,首次抽牌 | 小丑区 > 出牌前,是,如果回合的第一次出牌 只有1张牌，则将其 永久复制到牌组，并将 复制牌放到手牌中,"If first hand of round has only 1 card, add a permanent copy to deck and draw it to hand",,#1#=<运行时:extra>,self.ability.extra,是,是,是,是,,,51,card.lua:2486 ; card.lua:3504,图片资源/Joker/j_dna.png,如果回合的{C:attention}第一次出牌{} 只有{C:attention}1{}张牌，则将其 永久复制到牌组，并将 复制牌放到{C:attention}手牌中
j_splash,飞溅,Splash,1-普通,3,1,,外部引用,,,,,每张打出的牌 都可以计分,Every played card counts in scoring,,,,,是,是,是,,,52,functions/state_events.lua:604,图片资源/Joker/j_splash.png,每张{C:attention}打出的牌 都可以计分
j_blue_joker,蓝色小丑,Blue Joker,1-普通,5,2,,calculate_joker 按名字,,,小丑区 > 计分主阶段,是,每张牌组内剩余 的卡牌，+2筹码 （当前为+104筹码）,+2 Chips for each remaining card in deck (Currently +104 Chips),extra=2,#1#=2 | #2#=104,"self.ability.extra, self.ability.extra*((G.deck and G.deck.cards) and #G.deck.cards or 52)",是,是,是,是,,,53,card.lua:3890,图片资源/Joker/j_blue_joker.png,每张{C:attention}牌组{}内剩余 的卡牌，{C:chips}+#1#{}筹码 {C:inactive}（当前为{C:chips}+#2#{C:inactive}筹码）
j_sixth_sense,第六感,Sixth Sense,2-罕见,6,3,,外部引用,,,,,如果回合的第一次出牌 是一张单独的6 则将其销毁并生成一张幻灵牌 （必须有空位）,"If first hand of round is a single 6, destroy it and create a Spectral card (Must have room)",,,,,是,是,是,,,54,card.lua:2607,图片资源/Joker/j_sixth_sense.png,如果回合的{C:attention}第一次出牌{} 是一张单独的{C:attention}6{} 则将其销毁并生成一张{C:spectral}幻灵牌{} {C:inactive}（必须有空位）
j_constellation,星座,Constellation,2-罕见,6,3,,calculate_joker 按名字,,,使用消耗品,是,每使用一张星球牌 这张小丑牌获得X0.1倍率 （当前为X1倍率）,This Joker gains  X0.1  Mult every time a Planet card is used (Currently  X1  Mult),Xmult=1; extra=0.1,#1#=0.1 | #2#=1,"self.ability.extra, self.ability.x_mult",是,是,,是,,,55,card.lua:2730,图片资源/Joker/j_constellation.png,"每使用一张{C:planet}星球牌{} 这张小丑牌获得{X:mult,C:white}X#1#{}倍率 {C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）"
