脚本,行数,标识符数,常量数,token数
items/materials/gold_bag.gd,6,5,0,26
items/sets/set_data.gd,6,5,1,54
items/upgrades/stat_data.gd,6,5,2,35
items/upgrades/upgrade_data.gd,4,3,1,17
joystick/virtual_joystick.gd,164,76,13,1079
main.gd,1108,,,明文
overlap/hitbox.gd,73,52,12,412
overlap/hurtbox.gd,16,10,3,70
particles/burning/burning_particles.gd,57,39,7,318
particles/particles.gd,8,6,1,29
particles/pickup_gold_particles.gd,5,6,0,22
particles/running_smoke.gd,13,10,2,54
projectiles/bullet_enemy/enemy_projectile.gd,19,31,5,165
projectiles/bullet_enemy/enemy_projectile_rotating.gd,25,23,5,165
projectiles/bullet_taser/delayed_taser_projectile.gd,12,11,3,62
projectiles/bullet_taser/taser_projectile.gd,12,11,3,62
projectiles/delayed_player_projectile.gd,17,12,3,77
projectiles/mob_projectile_stats.gd,4,3,1,18
projectiles/player_explosion.gd,66,58,17,398
projectiles/player_projectile.gd,89,62,12,545
projectiles/projectile.gd,73,57,5,392
singletons/challenge_service.gd,152,75,14,811
singletons/debug_service.gd,105,62,19,701
singletons/input_service.gd,95,62,22,544
singletons/item_service.gd,501,211,77,3445
singletons/linked_stats.gd,36,19,12,205
singletons/menu_data.gd,15,13,12,90
singletons/music_manager.gd,58,35,8,294
singletons/progress_data.gd,779,257,102,4632
singletons/run_data.gd,1029,300,250,5580
singletons/sound_manager.gd,10,17,2,86
singletons/sound_manager_2d.gd,14,22,3,117
singletons/sound_manager_parent.gd,48,34,7,267
singletons/temp_stats.gd,42,16,4,217
singletons/text.gd,210,36,128,1399
singletons/utils.gd,264,157,39,1946
singletons/weapon_service.gd,288,144,50,2299
test/player.gd,24,21,5,134
tools/generate_achievement_loc_file.gd,122,55,18,799
tools/mass_update_files.gd,42,22,5,205
ui/hud/ui_bonus_gold.gd,32,24,3,156
ui/hud/ui_consumable_to_process_list.gd,2,2,0,7
ui/hud/ui_dim_screen.gd,17,10,4,66
ui/hud/ui_gold.gd,32,27,3,171
ui/hud/ui_item_element.gd,20,14,3,85
ui/hud/ui_item_list.gd,41,31,6,226
ui/hud/ui_progress_bar.gd,31,17,4,154
ui/hud/ui_upgrade_to_process_element.gd,20,14,3,87
ui/hud/ui_upgrade_to_process_list.gd,40,32,6,231
ui/hud/ui_wave_timer.gd,21,17,6,124
ui/hud/wave_timer.gd,26,21,6,128
ui/menus/global/focus_manager.gd,128,60,21,649
ui/menus/global/my_h_slider.gd,21,14,5,123
ui/menus/global/my_menu_button.gd,8,7,6,53
ui/menus/global/my_menu_button_parent.gd,60,33,9,297
ui/menus/global/save_status.gd,3,6,0,18
ui/menus/global/slider_option.gd,22,15,3,118
ui/menus/ingame/challenge_completed_ui.gd,56,39,9,278
ui/menus/ingame/challenge_ui.gd,23,28,5,148
ui/menus/ingame/info_popup.gd,10,13,0,50
ui/menus/ingame/ingame_main_menu.gd,59,63,17,401
ui/menus/ingame/ingame_menus.gd,28,14,7,144
ui/menus/ingame/item_panel_ui.gd,26,23,3,117
ui/menus/ingame/pause_menu.gd,60,36,8,306
ui/menus/ingame/upgrades_ui.gd,84,58,11,514
ui/menus/ingame/wave_cleared_label.gd,31,22,10,159
ui/menus/menus.gd,62,35,11,339
ui/menus/pages/background_button.gd,13,11,3,69
ui/menus/pages/language_button.gd,7,10,0,42
ui/menus/pages/main_menu.gd,115,74,23,619
ui/menus/pages/menu_choose_options.gd,22,13,3,81
ui/menus/pages/menu_confirm.gd,18,18,2,83
ui/menus/pages/menu_credits.gd,12,10,1,47
ui/menus/pages/menu_gameplay_options.gd,150,85,23,883
ui/menus/pages/menu_general_options.gd,121,71,18,718
ui/menus/pages/menu_restart.gd,26,23,4,114
ui/menus/pages/mods/menu_mods.gd,41,32,8,213
ui/menus/pages/mods/mod_container.gd,30,18,3,131
ui/menus/pages/mods/mod_info_container.gd,22,18,4,120
ui/menus/pages/progression_ui.gd,41,42,4,214
ui/menus/pages/score_storing_button.gd,7,4,2,27
ui/menus/run/challenge_and_reward_ui.gd,38,30,5,224
ui/menus/run/character_info_panel.gd,49,40,11,372
ui/menus/run/character_selection.gd,158,100,15,893
ui/menus/run/difficulty_selection/character_difficulty_info.gd,32,14,3,142
ui/menus/run/difficulty_selection/difficulty_score.gd,90,39,10,469
ui/menus/run/difficulty_selection/difficulty_selection.gd,110,99,7,625
ui/menus/run/difficulty_selection/endless_button.gd,15,12,2,61
ui/menus/run/difficulty_selection/endless_score_storing.gd,3,3,0,12
ui/menus/run/difficulty_selection/zone_difficulty_info.gd,33,16,6,176
ui/menus/run/end_run.gd,122,101,15,778
ui/menus/run/gold_icon.gd,9,10,0,42
ui/menus/run/gold_label.gd,10,8,0,46
ui/menus/run/locked_panel.gd,14,17,2,83
ui/menus/run/weapon_selection.gd,71,57,3,330
ui/menus/run/zone_panel.gd,10,13,0,55
ui/menus/run/zone_selection.gd,36,41,7,241
ui/menus/run/zone_ui.gd,70,50,5,432
ui/menus/run/zone_ui_locked.gd,18,17,2,82
ui/menus/shop/base_popup.gd,36,23,4,192
ui/menus/shop/button_with_icon.gd,99,45,10,516
ui/menus/shop/elite_container.gd,30,23,2,215
ui/menus/shop/info_container.gd,9,10,0,42
ui/menus/shop/inventory.gd,163,87,19,928
ui/menus/shop/inventory_container.gd,25,22,3,149
ui/menus/shop/item_description.gd,86,61,15,555
ui/menus/shop/item_popup.gd,116,82,17,729
ui/menus/shop/level_container.gd,52,37,6,236
ui/menus/shop/reroll_button.gd,7,10,2,50
ui/menus/shop/secondary_stat_container.gd,36,28,3,234
ui/menus/shop/secondary_stats_container.gd,2,2,0,7
ui/menus/shop/shop.gd,457,243,60,2953
ui/menus/shop/shop_item.gd,163,98,16,887
ui/menus/shop/shop_items_container.gd,170,90,26,990
ui/menus/shop/stat_container.gd,74,50,11,445
ui/menus/shop/stat_popup.gd,61,54,22,552
ui/menus/shop/stats_container.gd,108,51,21,581
ui/menus/shop/synergy_container.gd,34,26,3,175
ui/menus/shop/synergy_panel.gd,48,39,14,322
ui/menus/title_screen/title_screen.gd,32,29,4,185
ui/menus/title_screen/title_screen_menus.gd,35,21,1,157
ui/menus/upgrades/item_box_ui.gd,58,54,10,357
ui/menus/upgrades/upgrade_ui.gd,26,26,2,131
visual_effects/damage_vignette.gd,33,19,8,199
visual_effects/floating_text/floating_text.gd,52,31,9,238
visual_effects/floating_text/floating_text_manager.gd,135,99,30,1078
visual_effects/hit_effect/hit_effect.gd,12,7,2,41
weapons/melee/melee_attack_type.gd,3,3,0,12
weapons/melee/melee_weapon.gd,31,18,0,135
weapons/ranged/ranged_weapon.gd,13,14,7,90
weapons/shooting_behaviors/melee_shooting_data.gd,37,22,15,235
weapons/shooting_behaviors/melee_weapon_shooting_behavior.gd,122,65,12,855
weapons/shooting_behaviors/ranged_shooting_data.gd,15,14,6,89
weapons/shooting_behaviors/ranged_weapon_shooting_behavior.gd,58,43,6,346
weapons/shooting_behaviors/shooting_data.gd,5,4,0,18
weapons/shooting_behaviors/weapon_shooting_behavior.gd,6,4,0,22
weapons/weapon.gd,281,172,22,1758
weapons/weapon_stats/melee_weapon_stats.gd,53,30,9,289
weapons/weapon_stats/ranged_weapon_stats.gd,83,43,18,591
weapons/weapon_stats/weapon_stats.gd,250,90,67,1699
weapons/weapon_type.gd,3,3,0,13
zones/backgrounds/background_data.gd,7,7,2,47
zones/wave_data.gd,6,5,2,39
zones/wave_group_data.gd,21,18,7,158
zones/wave_manager.gd,158,95,10,978
zones/wave_unit_data.gd,10,14,3,70
zones/zone_data.gd,10,9,7,79
zones/zone_service.gd,89,58,16,756
