_key,name,url,bundleName,page,modal,clickModalNotClose,mutex,platform
HomePageType9,homePageType9,prefabs/type9/homePageType9,Remote_homePage,True,,,,
HomePageType10,homePageType10,prefabs/type10/homePageType10,Remote_homePage,True,,,,
HomePageType11,homePageType11,prefabs/type11/homePageType11,Remote_homePage,True,,,,
HomePageType12,homePageType12,prefabs/type12/homePageType12,Remote_homePage,True,,,,
HomePageType13,homePageType13,prefabs/type13/homePageType13,Remote_homePage,True,,,,
HomePageType14,homePageType14,prefabs/type14/homePageType14,Remote_homePage,True,,,,
Setup,Setup,prefabs/setup/Setup,,,True,,,
SetupIos,Setup,prefabs/iosSetUp/iosSetup,,,True,,,
SetupIosBtnItem,iosSetUpItem,prefabs/iosSetUp/iosSetUpItem,,,,,,
IOSSetupAccountBtnItem,IOSSetUpBtnItem,prefabs/account/iOSSetupAccountBtnItem,,,,,,
SetupIconItem,SetupIconItem,prefabs/setup/components/SetupIconItem,,,,,,
Tip,Tip,prefabs/tip/Tip,,,,,,
SetupBtnItem,SetupBtnItem,prefabs/setup/components/SetupBtnItem,,,,,,
SetupLanguageList,SetupLanguageList,prefabs/setup_changelanguage,LangSelectTrait,,,,,
SetupLanguageListItem,SetupLanguageListItem,prefabs/setup_languageItem,LangSelectTrait,,,,,
SetupAccountBtnItem,SetupAccountBtnItem,prefabs/account/GPSetupBtnItem,,,,,,
Revive,Revive,prefabs/revive/Revive,,,True,True,@r.PrefabMutexType.REVIVE,
ReviveBlockAlert,ReviveBlockAlert,prefabs/ReviveBlockAlert,Remote_ReviveBlockAlert,,True,True,@r.PrefabMutexType.REVIVE,
NearHighScoreReviveAlert,NearHighScoreReviveAlert,prefabs/NearHighScoreReviveAlert,NearHighScoreReviveTrait,,True,,@r.PrefabMutexType.REVIVE,
RetentionPopup,RetentionPopup,prefabs/RetentionPopup,RetentionPopupTrait,,True,,,
TouchEffect,TouchEffect,prefabs/touchEffect/TouchEffect,,,,,,
Encourage,Encourage,prefabs/encourage/Encourage,,,,,,
EncourageReplaceGood,EncourageReplaceGood,prefabs/encourage/trait/EncourageReplaceGood,,,,,,
ComboScoreTip,ComboScoreTip,prefabs/comboScoreTip/ComboScoreTip,,,,,,
ComboScoreIosTip,ComboScoreIosTip,prefabs/comboScoreTip/ComboScoreIosTip,,,,,,
Achievement_Entrance,Achievement_Entrance,prefabs/achievement/Achievement_Entrance,,,,,,
Achievement_Main,Achievement_Main,prefabs/achievement/Achievement_Main,,True,,,,
Achievement_Statistics_Item,Achievement_Statistics_Item,prefabs/achievement/Achievement_Statistics_Item,,,,,,
Achievement_Statistics_Item_Bg,Achievement_Statistics_Item_Bg,prefabs/achievement/Achievement_Statistics_Item_Bg,,,,,,
Achievement_Awards_Item,Achievement_Awards_Item,prefabs/achievement/Achievement_Awards_Item,,,,,,
Achievement_Awards_Item_Icon,Achievement_Awards_Item_Icon,prefabs/achievement/Achievement_Awards_item_Icon,,,,,,
Achievement_Details,Achievement_Detail,prefabs/achievement/Achievement_Detail,,,,,,
commentSkin,commentSkin,prefabs/commentSkin/commentSkin,,,True,,,
NoSpace,NoSpace,prefabs/game/NoSpace,,,,,,
GoOnGame,GoOnGame,prefabs/game/GoOnGame,,,,,,
DailyWinStreakState,DailyWinStreakState,prefabs/dailyWinStreakState/DailyWinStreakState,,,,,,
RightPutPerfect,RightPutPerfect,prefabs/board/RightPutPerfect,,,,,,
SetupVibrateItem,SetupVibrateItem,prefabs/setup/components/SetupVibrateItem,,,,,,
GLHallMoreGamesPopupView,GLHallMoreGamesPopupView,prefabs/gamelobby/GLHallMoreGamesPopupView,,,True,,,
GameLobbyMainView,GameLobbyMainView,prefabs/gamelobby/GameLobbyMainView,,True,,,,
GameLobbyAddMoreGame,GameLobbyAddMoreGame,prefabs/gamelobby/GameLobbyAddMoreGame,,,,,,
ComboBase,ComboBase,prefabs/combo/ComboBase,,,,,,
PlaybackGamePre,PlaybackGamePre,prefabs/playback/replayGamePre,,,,,,
PlaybackGameBtn,PlaybackGameBtn,prefabs/playback/replayGameBtn,,,,,,
ColorClearPreviewItem,ColorClearPreviewItem,prefabs/ColorClearPreviewItem,Remote_32523_f_ColorClearPreview,,,,,
TripCountdown,TripCountdown,prefabs/homePage/tripCountdown,,,,,,
AdventureOverdueChapterItem,AdventureOverdueChapterItem,prefabs/adventureOverdueChapterItem,Remote_AdventureOverdue,,,,,ios
AdventureOverdueChapterLevelTxt,AdventureOverdueChapterLevelTxt,prefabs/adventureOverdueChapterLevelTxt,Remote_AdventureOverdue,,,,,ios
NewLifeBlockItem,NewLifeBlockItem,prefabs/blockProducer/ShowItem3,,,,,,ios
ShareBtnNode,ShareBtnNode,prefabs/ShareBtnNode,Remote_controlShareIconShow,,,,,ios
NextLevelButtonShowText,NextLevelButtonShowText,prefab/Remote_NextLevelButtonShowText,Remote_NextLevelButtonShowText,,,,,ios
NewFeedbackViewTwo,NewFeedbackViewTwo,prefabs/newFeedbackView_Two,Remote_NewFeedback,,True,,,
NewFeedbackView,NewFeedbackView,prefabs/newFeedbackView,Remote_NewFeedback,,True,,,
NewFeedbackTapView,NewFeedbackTapView,prefabs/tapView,Remote_NewFeedback,,,,,
InactivityAdComing,InactivityAdComing,prefabs/adcoming,InactivityTriggeredInterstitialTrait,,,,,
NoSignal,NoSignal,prefabs/NoSignal/NoSignal,,,True,,,
NoOptPutTip,NoOptPutTip,prefabs/blockProducerTip,Remote_BlockProducerTip,,,,,
VietnamIos_PopupHint,PopupHint,vietnam/prefab/ios/PopupHint,Vietnam_f_VietnamCtrTrait,,,,,
VietnamIos_PopupStop,PopupStop,vietnam/prefab/ios/PopupStop,Vietnam_f_VietnamCtrTrait,,,,,
VietnamGp_PopupHint,PopupHint,vietnam/prefab/gp/PopupHint_gp,Vietnam_f_VietnamCtrTrait,,,,,
VietnamGp_PopupStop,PopupStop,vietnam/prefab/gp/PopupStop_gp,Vietnam_f_VietnamCtrTrait,,,,,
ReviveBtnEff,ReviveBtnEff,prefabs/ReviveBtnEffPrefab,ReviveBtnEffTrait,,,,,
ClassGameOverMsgView,ClassGameOverMsgView,prefabs/ClassGameOverMsgView,ClassGameOverMsgTrait,,,,,
BoardSplashAnimationRainbowScreenRefresh,BoardSplashAnimationRainbowScreenRefresh,prefabs/BoardSplashAnimationRainbowScreenRefresh,BoardSplashAnimationTrait,,,,,
ComboRevive,ComboRevive,prefabs/ComboRevive,ClassReviveShowComboTrait,,,,,
ReviveBtnHighlightTrait,ReviveBtnHighlightTrait,prefabs/ReviveBtnHighlightTrait,ReviveBtnHighlightTrait,,,,,
TravelEntryClockShadowTrait,TravelEntryClockShadowTrait,prefabs/TravelEntryClockShadowTrait,TravelEntryClockShadowTrait,,,,,
PromotionMoreGamesInBlockCtrl,PromotionMoreGamesInBlockCtrl,prefabs/internalReferral/PromotionMoreGamesInBlockCtrl,,,,,,
ReplayConfirmation,ReplayConfirmation,prefabs/ReplayConfirmation,ReplayConfirmationTrait,,True,,,ios
SandGameEntry,SandGameEntry,prefabs/sand/SandGameEntry,,,,,,
