matrix,block_list
"[[1, -1, -1, 1, 1, 1, 1, 1], [-1, -1, -1, 1, 1, 1, 1, -1], [-1, 1, -1, 1, 1, 1, -1, 1], [-1, 1, -1, 1, 1, 1, 1, -1], [-1, -1, -1, 1, 1, 1, 1, 1], [-1, 1, -1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, -1, 1, 1], [1, 1, 1, -1, -1, -1, 1, 1]]","[22, 25, 33]"
"[[-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, -1, -1, -1, -1, -1], [-1, -1, -1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[13, 20, 37]"
"[[-1, 1, -1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, 1, -1, -1, -1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[11, 11, 13]"
"[[1, 1, 1, -1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, -1, -1, -1, -1], [-1, 1, 1, 1, -1, 1, -1, 1], [-1, -1, 1, 1, 1, 1, -1, -1], [-1, 1, -1, 1, -1, -1, -1, 1]]","[17, 24, 34]"
"[[-1, 1, -1, 1, 1, -1, -1, 1], [1, 1, 1, 1, 1, 1, -1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, -1, -1, 1, 1, 1, -1]]","[11, 42, 8]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [3, 3, 3, 3, 3, 1, 1, -1], [3, 3, 3, 3, 3, 1, 1, -1], [1, 1, 3, 3, 3, 1, 1, -1], [1, 1, 1, 3, 3, 1, 1, -1], [1, 1, 1, 3, 3, 1, -1, -1]]","[17, 22, 5]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 1, 1, 1, 4, 4, 4], [-1, 7, 1, 1, 1, 2, 2, 2], [-1, 7, 3, 2, 2, 2, 5, 5], [-1, 7, 3, 2, 2, 2, 5, 5], [-1, 7, 3, 2, 2, 2, 6, 6], [-1, 7, 3, 3, 3, 3, 6, 6], [-1, 7, 7, 4, 4, 3, 6, 6]]","[11, 22, 26]"
"[[-1, -1, 1, 1, -1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, -1, -1], [-1, 1, 1, 1, 1, -1, -1, -1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, 1, -1, -1, 1, 1, 1, 1], [-1, 1, -1, -1, -1, 1, 1, 1], [1, 1, -1, 1, -1, 1, 1, 1]]","[13, 14, 7]"
"[[-1, -1, -1, -1, -1, -1, 1, 1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[20, 36, 7]"
"[[-1, -1, -1, -1, -1, 1, 1, 1], [1, 1, 1, -1, -1, -1, -1, -1], [1, 1, 1, 1, -1, -1, -1, 1], [1, 1, 1, 1, -1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, -1, 1, 1, 1, -1, 1]]","[11, 13, 32]"
"[[1, 1, 1, 3, 2, -1, -1, 2], [6, 1, 6, 6, 2, 2, -1, 2], [-1, -1, 2, 2, 2, 6, 6, 6], [-1, -1, -1, -1, -1, -1, -1, -1], [4, 4, 4, 4, 4, -1, -1, -1], [3, 7, 7, 7, 7, 3, 3, -1], [3, 7, 3, 5, 5, 3, 6, -1], [3, 7, 5, 5, 2, 3, 2, -1]]","[11, 22, 9]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, 2, 1, 1, 2, -1], [-1, 2, 2, 2, 1, 1, 2, 5], [-1, 1, 1, 7, 1, 1, 5, 5], [-1, 1, 1, 7, 1, 1, 5, 3], [-1, 1, 1, 7, 1, 2, 1, 3], [-1, 6, 6, 7, 6, 2, 3, 3], [-1, 6, 6, 7, 6, 2, 2, 2]]","[11, 4, 7]"
"[[-1, 1, 1, -1, -1, 1, 1, 1], [1, 1, -1, 1, 1, 1, -1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, -1, 1, 1]]","[22, 22, 35]"
"[[-1, -1, -1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, -1, 1, -1, 1, 1, 1, 1], [1, -1, -1, -1, -1, 1, 1, -1], [1, -1, 1, 1, 1, 1, 1, -1], [1, -1, 1, 1, 1, 1, 1, -1]]","[10, 11, 13]"
"[[1, -1, 1, 1, -1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, -1, -1, 1, 1, 1, 1], [1, -1, -1, -1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, -1, -1], [-1, 1, 1, 1, 1, -1, 1, -1], [-1, -1, 1, 1, -1, -1, -1, 1], [-1, 1, 1, 1, -1, -1, -1, 1]]","[24, 35, 36]"
"[[1, -1, -1, 1, 1, 1, 1, 1], [-1, -1, -1, 1, 1, 1, 1, -1], [-1, 1, -1, 1, 1, 1, -1, 1], [1, 1, -1, 1, 1, 1, 1, -1], [1, 1, -1, 1, 1, 1, 1, 1], [1, 1, -1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, -1, -1, -1], [1, 1, 1, -1, -1, -1, -1, 1]]","[33, 7, 9]"
"[[-1, -1, 1, 1, 1, 3, 3, 3], [-1, 1, 1, 1, 1, 3, 3, 3], [-1, 3, 1, 1, 4, 4, 3, 3], [-1, 3, 1, 1, 4, 4, 3, 3], [-1, 3, 1, 3, 3, 3, 1, 1], [-1, 3, 3, 3, 3, 3, 1, 1], [-1, 3, 3, 3, 3, 3, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[17, 22, 5]"
"[[1, 1, -1, 1, -1, -1, 1, 1], [1, 1, -1, -1, 1, 1, 1, -1], [-1, 1, 1, -1, 1, 1, -1, 1], [1, 1, 1, 1, -1, 1, 1, 1], [1, 1, 1, -1, -1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, -1, 1, 1, 1, 1, 1, -1]]","[19, 7, 9]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 5, 5, 5, -1], [2, 1, 1, 1, 5, 5, 5, -1], [2, 1, 1, 1, 7, 7, 7, -1], [2, 2, 2, 21, 7, 7, 7, -1], [3, 3, 3, 21, 7, 7, 7, -1], [3, 3, 3, 21, 6, 6, 6, -1], [3, 3, 3, 21, 4, 4, 6, -1]]","[11, 4, 7]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 4, 4, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [7, 7, 7, 2, 1, 4, -1, 4], [7, 7, 7, 2, 1, 4, -1, 4], [1, 1, 1, 2, 5, 4, -1, 4], [1, 1, 1, 2, 5, 4, -1, 4], [1, 1, 1, 2, 5, 4, -1, 4]]","[11, 22, 36]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[11, 2, 22]"
"[[-1, -1, -1, -1, -1, -1, 1, 1], [-1, 1, 1, 1, 1, -1, -1, 1], [-1, 1, 1, 1, 1, -1, 1, 1], [-1, 1, 1, 1, 1, -1, 1, -1], [-1, 1, 1, 1, 1, -1, 1, -1], [-1, 1, 1, 1, 1, -1, 1, 1], [-1, 1, 1, 1, 1, -1, 1, 1], [-1, 1, 1, 1, 1, -1, 1, 1]]","[17, 27, 4]"
"[[2, 2, -1, 7, 7, 7, 7, 7], [-1, 2, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 4, 4, 2, 2, 2], [-1, 7, 7, 4, 4, 2, 2, 2], [-1, 7, 7, 4, 4, 2, 2, 2], [-1, 4, 7, 7, 7, 4, 4, 4], [-1, 4, 7, 7, 7, 4, 4, 4], [-1, 4, 7, 7, 7, 2, 2, 2]]","[11, 11, 17]"
"[[-1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, -1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, -1, -1, 1, 1, 1, -1], [1, -1, -1, 1, -1, -1, -1, -1], [-1, 1, 1, 1, -1, 1, 1, 1], [-1, -1, -1, 1, 1, 1, 1, -1]]","[14, 17, 34]"
"[[1, 1, 1, 1, 1, -1, 1, 1], [1, 1, 1, -1, -1, -1, 1, 1], [1, 1, 1, -1, -1, 1, 1, 1], [1, -1, -1, 1, -1, -1, -1, -1], [1, 1, -1, 1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, -1, 1, 1], [-1, 1, 1, 1, 1, -1, 1, 1]]","[32, 33, 36]"
"[[-1, 1, -1, 1, -1, 1, -1, -1], [1, 1, -1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, -1, 1, 1], [1, 1, 1, 1, -1, -1, 1, 1], [1, 1, 1, 1, -1, 1, 1, 1], [-1, 1, -1, 1, -1, -1, 1, -1], [1, 1, -1, -1, -1, 1, 1, 1], [-1, -1, -1, -1, 1, 1, 1, 1]]","[17, 19, 8]"
"[[-1, -1, 1, -1, 1, -1, 1, 1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, 1]]","[19, 33, 33]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, -1, -1, 1, 1, 1, 1, 1], [-1, 1, -1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, -1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[13, 15, 6]"
"[[-1, -1, 1, -1, -1, 1, -1, -1], [1, -1, 1, -1, 1, -1, -1, -1], [1, 1, -1, -1, -1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, 1, 1, -1, 1, 1]]","[10, 10, 7]"
"[[1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, -1, 1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[13, 37, 38]"
"[[1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[10, 11, 22]"
"[[-1, 1, 2, 2, 2, -1, -1, -1], [-1, 1, 2, 2, 2, 5, 3, 5], [-1, 4, 4, 4, 4, 4, -1, -1], [-1, 5, 1, 3, 3, 5, 1, 1], [3, 6, 6, 6, 6, 6, -1, 1], [3, 1, 5, 3, 4, 4, 5, -1], [3, 3, 3, 1, -1, 1, 1, 3], [3, -1, -1, -1, -1, -1, -1, -1]]","[35, 7, 8]"
"[[1, -1, 1, -1, 1, -1, 2, 2], [2, -1, -1, -1, 3, 1, 1, 2], [3, -1, -1, -1, 1, 2, 1, 2], [1, 3, -1, 3, 3, 2, 2, 2], [3, 3, -1, 4, 4, 4, 1, 2], [3, 7, 7, 1, -1, 4, -1, 2], [-1, 7, 7, 1, -1, 4, 1, -1], [-1, 7, 7, 2, 3, 3, -1, -1]]","[13, 7, 7]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, -1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[3, 3, 5]"
"[[1, 1, 1, 1, -1, 1, -1, -1], [1, 1, 1, -1, 1, -1, -1, -1], [-1, 1, -1, 1, 1, -1, -1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, -1, 1, 1], [1, 1, 1, 1, 1, -1, -1, 1]]","[27, 40, 9]"
"[[-1, 1, 1, 1, 1, 1, 3, 3], [-1, 6, 7, 3, 3, 1, 1, 1], [-1, 6, 7, 3, 3, 1, 1, 1], [-1, 6, 7, 7, 7, 1, 1, 1], [-1, 6, 4, 7, 7, 2, 2, 2], [-1, 6, 4, 4, 4, 2, 2, 2], [-1, -1, 5, 5, 5, 2, 2, 2], [-1, -1, -1, -1, -1, -1, -1, -1]]","[17, 22, 8]"
"[[-1, 7, 7, 1, 1, 1, 1, 1], [-1, 7, 7, 4, 4, -1, -1, -1], [-1, 7, 7, 4, 5, -1, -1, -1], [2, 2, 2, -1, 5, -1, -1, 6], [-1, 4, 2, 3, 2, 5, 5, 6], [-1, 4, 2, 3, 2, 5, 5, 6], [-1, -1, -1, 3, 2, 5, 5, 6], [-1, 1, 1, 3, -1, -1, -1, 4]]","[23, 3, 3]"
"[[1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, -1, 1], [1, 1, 1, 1, -1, -1, 1, 1], [1, 1, 1, 1, -1, 1, 1, 1], [1, 1, 1, 1, -1, 1, 1, 1], [1, 1, 1, 1, -1, -1, -1, -1], [1, 1, -1, -1, -1, -1, 1, 1], [-1, -1, 1, -1, -1, 1, 1, 1]]","[17, 17, 31]"
"[[1, 1, -1, 4, 4, 4, -1, -1], [-1, -1, 1, 4, 1, 1, -1, 5], [-1, -1, 4, 4, 4, 1, -1, 5], [5, -1, 4, 4, 4, 6, 5, 5], [-1, -1, 4, 4, 4, 6, 5, 5], [-1, -1, -1, -1, -1, 6, -1, 6], [4, -1, 4, 4, 4, 1, -1, 5], [1, -1, 1, 1, -1, -1, -1, 5]]","[11, 24, 31]"
"[[-1, 1, 1, 1, 1, -1, -1, -1], [1, 1, 1, 1, -1, -1, 1, 1], [1, -1, -1, 1, -1, 1, 1, 1], [-1, 1, 1, -1, 1, 1, 1, -1], [1, 1, 1, -1, 1, 1, 1, 1], [-1, 1, 1, -1, -1, 1, 1, 1], [-1, -1, -1, 1, -1, -1, 1, 1], [1, 1, 1, 1, -1, -1, 1, 1]]","[13, 42, 8]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 6, 6, 3, 3, 3, 6], [-1, 1, 6, 6, 3, 3, 3, 6], [-1, 1, 2, 4, 3, 3, 3, 6], [-1, -1, -1, 7, 7, 7, 7, 7], [-1, 4, 4, 4, 5, 5, 5, 1], [-1, 4, 4, 4, 5, 5, 5, 1], [-1, 4, 4, 4, 2, 2, 1, 1]]","[11, 2, 22]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [2, 2, 2, 3, 3, 7, 7, -1], [2, 2, 2, 3, 3, -1, 7, -1], [2, 2, 2, 3, 3, -1, -1, -1], [3, 2, 2, 2, 3, 3, 3, -1], [3, 2, 2, 2, 3, 3, 3, -1], [3, 2, 2, 2, 3, 3, 3, -1], [3, 2, 2, 2, 3, 3, 3, -1]]","[11, 33, 37]"
"[[-1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[17, 17, 22]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[11, 22, 4]"
"[[-1, 1, 1, -1, 1, 1, -1, -1], [-1, 1, 1, -1, 1, 1, 1, -1], [1, 1, 1, -1, 1, 1, 1, -1], [-1, 1, 1, -1, 1, 1, -1, -1], [-1, 1, 1, -1, 1, 1, 1, -1], [1, -1, -1, -1, -1, -1, 1, -1], [-1, 1, 1, -1, 1, 1, 1, 1], [-1, -1, 1, -1, 1, 1, 1, 1]]","[11, 32, 32]"
"[[1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, 1, -1, -1, 1, -1], [-1, 1, 1, 1, 1, -1, 1, 1], [1, -1, -1, -1, 1, 1, -1, 1], [-1, -1, -1, -1, -1, -1, 1, 1], [-1, 1, 1, 1, 1, 1, -1, 1], [1, 1, 1, 1, 1, -1, 1, -1]]","[11, 35, 5]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, -1]]","[17, 17, 22]"
"[[1, -1, 1, 1, -1, 1, 1, 1], [1, 1, -1, -1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1]]","[10, 11, 36]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[11, 22, 4]"
"[[-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [6, 6, 6, 1, 1, -1, 1, 1], [6, 6, 6, 1, 1, -1, 1, 1], [6, 6, 6, 1, 1, -1, 1, 1], [6, 6, 6, 1, 6, -1, 6, -1], [6, 6, 6, 1, 6, -1, 6, -1]]","[17, 3, 7]"
"[[1, -1, -1, -1, -1, 1, 1, -1], [1, 1, 1, 1, 1, -1, 1, -1], [-1, -1, 1, -1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, 1, 1, 1, -1, -1], [-1, 1, 1, 1, 1, 1, -1, 1], [-1, 1, 1, 1, 1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[11, 17, 21]"
"[[1, 1, 1, 1, 1, -1, 1, 1], [1, 1, 1, 1, 1, -1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, -1, 1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, -1, 1, 1, 1]]","[11, 30, 6]"
"[[1, 1, 1, 1, 1, -1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, -1, 1, 1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, -1, -1, 1, -1, 1], [-1, -1, -1, -1, 1, -1, 1, -1], [-1, -1, 1, 1, -1, 1, -1, 1]]","[11, 20, 7]"
"[[-1, 1, -1, -1, 1, -1, 1, -1], [-1, -1, -1, 1, 1, -1, 1, 1], [1, 1, -1, 1, 1, -1, 1, 1], [-1, -1, -1, -1, -1, -1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, -1, -1, 1], [1, 1, -1, -1, -1, 1, 1, -1]]","[21, 24, 30]"
"[[1, 1, 1, -1, -1, 1, -1, 1], [1, -1, -1, -1, 1, -1, 1, -1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, -1, -1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, 1, 1, 1, 1, 1]]","[14, 7, 8]"
