bundle,骨架,格式,动画名,时长秒,帧数,循环,时间线数
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10019,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10020,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10021,1.9,,,259
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10022,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10023,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10024,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10025,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10026,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10027,1.767,,,259
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10028,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10029,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10030,1.767,,,259
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10031,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10032,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10033,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10034,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10035,1.9,,,259
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10036,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10037,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10038,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine,10039,0.867,,,258
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping2,Spine,101_in,0.8,,,3
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping2,Spine,102_in,0.8,,,3
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping2,Spine,103_in,0.8,,,3
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping2,Spine,104_in,0.8,,,3
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping2,Spine,105_in,0.8,,,3
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping2,Spine,106_in,0.8,,,3
ChapterReviveWithComboTrait,effects/shipinbt_ske,DragonBones,in,1.267,38,否,11
ChapterReviveWithComboTrait,effects/shipinbt_ske,DragonBones,init,0.633,19,否,7
ChapterScoreSettlementModifyAnimationTrait,dragonbones/gameplay_clearanceDone_ske,DragonBones,in,1.733,52,否,205
ClassDailySignTrait,dragonbones/main_logo_checkin_ske,DragonBones,in,3.533,106,否,6
ClassDailySignTrait,dragonbones/main_logo_checkin_ske,DragonBones,init,3.0,90,否,4
ClassGuideConfigEnhanceTrait,spine/gameplay_guide_eff,Spine,in1,0.667,,,0
ClassGuideConfigEnhanceTrait,spine/gameplay_guide_eff,Spine,in2,0.667,,,0
ClassGuideConfigEnhanceTrait,spine/gameplay_guide_eff,Spine,in3,0.667,,,0
ClassGuideDirectThreeBlockTrait,spine/gameplay_biankuang_efc,Spine,in,1.5,,,125
ClearScreenSkinTransitionTrait,dragonbones/gameplay_skinChange_model_ske,DragonBones,in_1,1.5,45,否,32
ClearScreenSkinTransitionTrait,dragonbones/gameplay_skinChange_model_ske,DragonBones,in_2,0.667,20,否,33
ClearScreenSkinTransitionTrait,dragonbones/gameplay_skinChange_model_ske,DragonBones,in_3,1.5,45,否,31
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,blue_in,0.667,20,否,3
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,blue_out,0.6,18,否,10
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,green_in,0.667,20,否,3
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,green_out,0.6,18,否,10
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,orange_in,0.667,20,否,3
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,orange_out,0.6,18,否,10
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,purple_in,0.667,20,否,3
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,purple_out,0.6,18,否,10
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,red_in,0.667,20,否,3
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,red_out,0.6,18,否,10
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,yellow_in,0.667,20,否,3
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones,yellow_out,0.6,18,否,10
CollectedItemsEliminateAndReplaceTrait,dragonbones/refresh/gameplay_refresh_ske,DragonBones,blue,0.8,24,否,22
CollectedItemsEliminateAndReplaceTrait,dragonbones/refresh/gameplay_refresh_ske,DragonBones,green,0.8,24,否,22
CollectedItemsEliminateAndReplaceTrait,dragonbones/refresh/gameplay_refresh_ske,DragonBones,orange,0.8,24,否,22
CollectedItemsEliminateAndReplaceTrait,dragonbones/refresh/gameplay_refresh_ske,DragonBones,purple,0.8,24,否,22
CollectedItemsEliminateAndReplaceTrait,dragonbones/refresh/gameplay_refresh_ske,DragonBones,red,0.8,24,否,22
CollectedItemsEliminateAndReplaceTrait,dragonbones/refresh/gameplay_refresh_ske,DragonBones,yellow,0.8,24,否,22
ComboBorderEffectTrait,effects/gameplay_combo4_biankuang_ske,DragonBones,in_blue,1.467,44,否,161
ComboBorderEffectTrait,effects/gameplay_combo4_biankuang_ske,DragonBones,in_cyan,1.467,44,否,256
ComboBorderEffectTrait,effects/gameplay_combo4_biankuang_ske,DragonBones,in_yellow,1.467,44,否,253
ComboButterflyBorderEffectTrait,dragonbones/gameplay_combo_vfx_ske,DragonBones,in1,1.7,51,否,177
ComboButterflyBorderEffectTrait,dragonbones/gameplay_combo_vfx_ske,DragonBones,in2,1.633,49,是,70
CommonGameEntrance1SetupTrait,spine/winningstreak_ske,Spine,winningstreat,1.533,,,34
CommonGameEntrance1SetupTrait,spine/winningstreak_ske,Spine,winningstreat_Unlocked,0.0,,,10
DifficultProblemReminderTrait,dragonbones/gameplay_nttx_2_ske,DragonBones,in,2.0,60,否,17
DifficultProblemReminderTrait,dragonbones/gameplay_nttx_2_ske,DragonBones,in_feng,2.0,60,否,17
DifficultProblemReminderTrait,dragonbones/gameplay_nttx_2_ske,DragonBones,init,2.0,60,否,17
DifficultProblemReminderTrait,dragonbones/gameplay_nttx_2_ske,DragonBones,init_feng,2.0,60,否,17
DifficultProblemReminderTrait,dragonbones/gameplay_nttx_2_ske,DragonBones,out,2.0,60,否,17
DifficultProblemReminderTrait,dragonbones/gameplay_nttx_2_ske,DragonBones,out_feng,2.0,60,否,17
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,amazing_1,1.567,47,是,104
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,amazing_2,1.567,47,是,104
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,amazing_3,1.567,47,是,104
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,amazing_4,1.567,47,是,106
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,amazing_5,1.567,47,是,111
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,excellect_1,1.567,47,是,106
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,excellect_2,1.567,47,是,106
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,excellect_3,1.567,47,是,106
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,excellect_4,1.567,47,是,108
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,excellect_5,1.567,47,是,111
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,good_1,1.567,47,是,110
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,good_2,1.567,47,是,110
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,good_3,1.567,47,是,110
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,good_4,1.567,47,是,110
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,great_1,1.567,47,是,110
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,great_2,1.567,47,是,110
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,great_3,1.567,47,是,110
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,great_4,1.567,47,是,110
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,great_5,1.567,47,是,109
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,newhighscore_1,1.667,50,是,117
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,newhighscore_2,1.667,50,是,109
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,newhighscore_3,1.667,50,是,109
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,newhighscore_4,1.667,50,是,109
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,unbelievable_1,1.567,47,是,106
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,unbelievable_2,1.567,47,是,106
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,unbelievable_3,1.567,47,是,106
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,unbelievable_4,1.567,47,是,108
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones,unbelievable_5,1.567,47,是,113
GameOverButtonShineEffectTrait,dragonbones/ava_saoguang_ske,DragonBones,in,3.0,90,否,1
HighScoreShowRainbowColorTrait,dragonbones/encourage_newhighscore_ske,DragonBones,newhighscore,2.667,80,否,197
HighScoreShowRainbowColorTrait,dragonbones/gameplay_combo_guangyun_ske,DragonBones,big,0.967,29,否,35
HighScoreShowRainbowColorTrait,dragonbones/gameplay_combo_guangyun_ske,DragonBones,small,0.967,29,否,36
HighWeightBoardAroundBlinkTrait,dragonbones/gameplay_bg_skinlight_ske,DragonBones,randomcyan,3.0,90,否,439
HighWeightBoardAroundBlinkTrait,dragonbones/gameplay_bg_skinlight_ske,DragonBones,randomgreen,3.0,90,否,439
HighWeightBoardAroundBlinkTrait,dragonbones/gameplay_bg_skinlight_ske,DragonBones,randomyellow,3.0,90,否,439
HighWeightBoardAroundBlinkTrait,dragonbones/gameplay_bg_skinlight_ske,DragonBones,skin_012,3.0,90,否,439
HighWeightBoardAroundBlinkTrait,dragonbones/gameplay_bg_skinlight_ske,DragonBones,skin_021,3.0,90,否,439
HighWeightBoardAroundBlinkTrait,dragonbones/gameplay_bg_skinlight_ske,DragonBones,skin_025,3.0,90,否,439
HighWeightBoardAroundBlinkTrait,dragonbones/gameplay_bg_skinlight_ske,DragonBones,skin_038,3.0,90,否,439
IsIncreaseEnjoyCollectionColorfulTrait,effects/gameplay_7colorwaikuang_ske,DragonBones,in,0.167,5,否,13
IsIncreaseEnjoyCollectionColorfulTrait,effects/gameplay_7colorwaikuang_ske,DragonBones,loop,1.0,30,否,13
IsOpenBlockRefreshFlashEffectTrait,dragonbones/gameplay_ck_01_ske,DragonBones,in1,0.4,12,否,18
IsOpenBlockRefreshFlashEffectTrait,dragonbones/gameplay_ck_01_ske,DragonBones,in2,0.4,12,否,18
IsOpenClassMusicBlockTrait,dragonbones/gameplay_music_click_ske,DragonBones,animation,0.967,29,否,9
IsOpenClassMusicBlockTrait,dragonbones/gameplay_musictime_ske,DragonBones,animation,2.333,70,否,44
IsOpenEliminateSpecialEffectTrait,dragonbones/gameplay_multiline_ske,DragonBones,in,1.9,57,否,41
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,best1,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,best2,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,best3,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,best4,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,over1,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,over2,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,over3,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,over4,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,revive1,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,revive2,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,revive3,1.0,30,否,2
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones,revive4,1.0,30,否,2
IsShowAdPicReplaceOfGuideTrait,res/eff/gameplay_guide_arrow_ske,DragonBones,arrow,0.667,20,是,3
JewelGameUnlockEncourageTrait,spine/gameplay_ma,Spine,moregames,2.6,,,235
MiniGameEnterChangeColorTrait,dragonbones/icon_entrance_ske,DragonBones,icon_entrance,2.333,70,是,18
MoreStepGuideTrait,dragonbones/DJS_ske,DragonBones,dianji,1.1,33,是,5
MoreStepGuideTrait,dragonbones/DJS_ske,DragonBones,tuodong,0.0,0,是,2
NewUserBoardDiffTrait,spine/board1/gameplay_xinshou,Spine,in,1.333,,,0
NewUserEarlyRoundsBoardTrait,spine/board1/gameplay_xinshou,Spine,in,1.333,,,0
OneStepClearGuideTrait,spine/gameplay_Guide_glow,Spine,init,0.8,,,0
PreEliminateGemBreathTrait,res/gameplay_xingxing_g,Spine,blue,1.233,,,7
PreEliminateGemBreathTrait,res/gameplay_xingxing_g,Spine,green,1.233,,,7
PreEliminateGemBreathTrait,res/gameplay_xingxing_g,Spine,orange,1.233,,,7
PreEliminateGemBreathTrait,res/gameplay_xingxing_g,Spine,purple,1.233,,,7
PreEliminateGemBreathTrait,res/gameplay_xingxing_g,Spine,red,1.233,,,7
PreEliminateGemBreathTrait,res/gameplay_xingxing_g,Spine,yellow,1.233,,,7
ReplaceGuideSchemeTrait,spine/gameplay_xinshou,Spine,in,5.0,,,56
ReviveBlockGrayAnimTrait,dragonbones/gameplay_over_color_ske,DragonBones,in,0.067,4,是,1
ReviveUITimeEffectChangeTrait,spines/revive_number,Spine,blue,5.567,,,0
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_a_1,1.033,31,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_a_2,1.033,31,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_a_3,1.033,31,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_a_4,1.033,31,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_a_5,1.033,31,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_a_6,1.033,31,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_a_7,1.033,31,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_b_1,0.967,29,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_b_2,0.967,29,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_b_3,0.967,29,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_b_4,0.967,29,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_b_5,0.967,29,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_b_6,0.967,29,否,128
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones,in_b_7,0.967,29,否,128
ShowLoginDaysTrait,dragonbones/main_days_ske,DragonBones,first_lz,1.033,31,否,14
ShowLoginDaysTrait,dragonbones/main_days_ske,DragonBones,second_lz,1.033,31,否,16
ShowLoginDaysTrait,dragonbones/main_days_ske,DragonBones,third_lz,1.033,31,否,20
ShowSSSWhenSkinChangeTrait,dragonbones/gameplay_pfxyd_ske,DragonBones,s,1.6,48,否,60
ShowSSSWhenSkinChangeTrait,dragonbones/gameplay_pfxyd_ske,DragonBones,ss,1.4,42,否,66
ShowSSSWhenSkinChangeTrait,dragonbones/gameplay_pfxyd_ske,DragonBones,sss,2.167,65,否,150
ShowSSSWhenSkinChangeTrait,dragonbones/newArt/gameplay_pfxyd_ske,DragonBones,s,1.6,48,否,56
ShowSSSWhenSkinChangeTrait,dragonbones/newArt/gameplay_pfxyd_ske,DragonBones,ss,1.4,42,否,66
ShowSSSWhenSkinChangeTrait,dragonbones/newArt/gameplay_pfxyd_ske,DragonBones,sss,2.167,65,否,150
ShowWelcomeEveryDayTrait,spine/main_welcome_popUp,Spine,in_1,2.633,,,23
SkinSwitchTrait,dragonbones/NewProject_1_ske,DragonBones,loading1,4.0,240,是,9
SkinSwitchTrait,dragonbones/NewProject_1_ske,DragonBones,loading2,5.0,300,是,9
SkinSwitchTrait,dragonbones/NoName/set_entranceb_ske,DragonBones,effect1,2.033,61,否,39
SkinSwitchTrait,dragonbones/NoName/set_entranceb_ske,DragonBones,effect2,0.6,18,否,4
SkinSwitchTrait,dragonbones/set_entrance_ske,DragonBones,effect1,2.033,61,否,39
SkinSwitchTrait,dragonbones/set_entrance_ske,DragonBones,effect2,0.6,18,否,4
SolveDiffProblemEncourageTrait,anim/gameplay_ohgenius_ske,DragonBones,in,2.333,70,否,60
ThanksAfterAdTrait,dragonbones/gameplayt_Thanks1_ske,DragonBones,in,2.1,63,否,52
ThanksAfterAdTrait,dragonbones/gameplayt_Thanks3_ske,DragonBones,in,2.2,66,否,58
ThreeSkinRandomOneTrait,dragonbones/gameplay_choiceskin_ske,DragonBones,animation,0.8,24,否,15
TravelMosaicProgressTrait,spine/main_mosaic,Spine,in,1.933,,,1
TravelMosaicProgressTrait,spine/main_mosaic,Spine,init,2.933,,,1
TravelMosaicProgressTrait,spine/main_mosaic_eff,Spine,in,1.933,,,5
TravelMosaicProgressTrait,spine/main_mosaic_eff,Spine,init,2.933,,,5
UEExploreBeginnerDragTargetHighlightTrait,spine/gameplay_xinshou,Spine,in,1.333,,,0
UEExploreBeginnerDragTargetHighlightTrait,spine/gameplay_xinshou,Spine,in2,1.333,,,8
UEExploreGuideCompleteLikeTrait,spines/gameplay_jlc_WellDone,Spine,in,2.0,,,321
UEExplorePopViewGuideTrait,spine/gameplay_tanchuan,Spine,1hang,2.5,,,13
UEExplorePopViewGuideTrait,spine/gameplay_tanchuan,Spine,3hang,2.5,,,33
WinStreakEffectAdjustTrait,res/effects/gameplay_adventure_handoff_ske,DragonBones,crown,0.9,27,是,29
WinStreakEffectAdjustTrait,res/effects/gameplay_adventure_handoff_ske,DragonBones,sun,0.9,27,是,29
WinStreakEffectAdjustTrait,res/effects/gameplay_revival_incrown_ske,DragonBones,idle,1.25,30,是,61
WinStreakEffectAdjustTrait,res/effects/gameplay_revival_incrown_ske,DragonBones,in,0.583,14,是,60
WinStreakEffectAdjustTrait,res/effects/gameplay_revival_rain_ske,DragonBones,light,0.667,20,是,10
chapter,dragonbones/blocksProducer/traits/gameplay_grayBlock_eliminate_ske,DragonBones,in,0.733,22,否,2
chapter,dragonbones/chapterList/mapcup_ske,DragonBones,newAnimation,5.525,221,是,1003
chapter,dragonbones/chapterList/mapcup_ske,DragonBones,newAnimation_2,5.525,221,是,1003
chapter,dragonbones/chapterList/zuobiao_ske,DragonBones,idle,1.6,48,是,10
chapter,dragonbones/chapterList/zuobiao_ske,DragonBones,stand,1.8,54,是,21
chapter,dragonbones/chapterTopInfo/XCSJ_ske,DragonBones,HS_yellow,0.5,15,是,5
chapter,dragonbones/chapterTopInfo/XC_ske,DragonBones,HS_2,1.167,35,是,5
chapter,dragonbones/chapterTopInfo/duigou_ske,DragonBones,newAnimation,0.667,20,是,3
chapter,dragonbones/fail/IsOpenLevelOverTipsChangeTrait/bsovy_ske,DragonBones,KeepFighting,0.933,28,是,10
chapter,dragonbones/fail/IsOpenLevelOverTipsChangeTrait/bsovy_ske,DragonBones,TryAgain,0.867,26,是,7
chapter,dragonbones/fail/IsOpenLevelOverTipsChangeTrait/bsovy_ske,DragonBones,YouCanDoIt,0.933,28,是,10
chapter,dragonbones/fail/IsOpenLevelOverTipsChangeTrait/bsovy_ske,DragonBones,betterNextTime,0.9,27,是,9
