bundle,资产路径,格式,骨架名,骨骼,插槽,皮肤,附件,动画数,总时长秒,图集页,贴图齐套,图集尺寸,贴图格式,实际尺寸,宽,高,落盘,文件
ChapterCollectPreClearEffectTrait,dragonbones/gameplay_eliminatePrompt_increment_ske,DragonBones 5.5,gameplay_eliminatePrompt,86,90,1,90,6,26.17,1,是,981x589,PNG,981x589,976,234,骨架/ChapterCollectPreClearEffectTrait/dragonbones,3
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping,Spine 3.6.53,,28,129,1,129,40,39.58,1,是,1024x512,PNG,1024x512,979.28,980.69,骨架/ChapterReplaySkipGoalTrait/spine,3
ChapterReplaySkipGoalTrait,spine/gameplay_shuaping2,Spine 3.6.53,,3,2,1,2,6,4.8,1,是,1024x512,PNG,1024x512,0,0,骨架/ChapterReplaySkipGoalTrait/spine,3
ChapterReviveWithComboTrait,effects/shipinbt_ske,DragonBones 5.5,armatureName,11,8,1,8,2,1.9,1,是,798x252,PNG,798x252,623.32,165.65,骨架/ChapterReviveWithComboTrait/effects,3
ChapterScoreSettlementModifyAnimationTrait,dragonbones/gameplay_clearanceDone_ske,DragonBones 5.5,Armature,104,96,1,96,1,1.73,1,是,508x343,PNG,508x343,532.13,320.95,骨架/ChapterScoreSettlementModifyAnimationTrait/dragonbones,3
ClassDailySignTrait,dragonbones/main_logo_checkin_ske,DragonBones 5.5,armatureName,5,3,1,3,2,6.53,1,是,241x217,PNG,241x217,108.11,107.89,骨架/ClassDailySignTrait/dragonbones,3
ClassGuideConfigEnhanceTrait,spine/gameplay_guide_eff,Spine 3.8.99,,15,17,1,17,3,2.0,1,是,436x330,PNG,436x330,0,0,骨架/ClassGuideConfigEnhanceTrait/spine,3
ClassGuideDirectThreeBlockTrait,spine/gameplay_biankuang_efc,Spine 3.8.99,,94,84,1,84,1,1.5,1,是,822x492,PNG,822x492,899.88,897.86,骨架/ClassGuideDirectThreeBlockTrait/spine,3
ClearScreenSkinTransitionTrait,dragonbones/gameplay_skinChange_model_ske,DragonBones 5.5,armatureName,31,33,1,33,3,3.67,1,是,758x512,PNG,758x512,1017.35,1726.2,骨架/ClearScreenSkinTransitionTrait/dragonbones,3
CollectedItemsEliminateAndReplaceTrait,dragonbones/collectinfo/gameplay_Collect_ske,DragonBones 5.5,armatureName,12,7,1,7,12,7.6,1,是,165x241,PNG,165x241,0,0,骨架/CollectedItemsEliminateAndReplaceTrait/dragonbones/collectinfo,3
CollectedItemsEliminateAndReplaceTrait,dragonbones/refresh/gameplay_refresh_ske,DragonBones 5.5,armatureName,14,10,1,10,6,4.8,1,是,78x100,PNG,78x100,0,0,骨架/CollectedItemsEliminateAndReplaceTrait/dragonbones/refresh,3
ComboBorderEffectTrait,effects/gameplay_combo4_biankuang_ske,DragonBones 5.5,armatureName,151,140,1,140,3,4.4,1,是,242x513,PNG,242x513,207,1129.93,骨架/ComboBorderEffectTrait/effects,3
ComboButterflyBorderEffectTrait,dragonbones/gameplay_combo_vfx_ske,DragonBones 5.5,armatureName,80,90,1,90,2,3.33,1,是,1024x1024,PNG,1024x1024,954.79,1259,骨架/ComboButterflyBorderEffectTrait/dragonbones,3
CommonGameEntrance1SetupTrait,spine/winningstreak_ske,Spine 未标版本,armatureName,20,15,1,14,2,1.53,1,是,507x489,PNG,507x489,557.37,145,骨架/CommonGameEntrance1SetupTrait/spine,3
DifficultProblemReminderTrait,dragonbones/gameplay_nttx_2_ske,DragonBones 5.0,armatureName,9,9,1,8,6,12.0,1,是,898x542,PNG,898x542,1198.15,322,骨架/DifficultProblemReminderTrait/dragonbones,3
EliminateEncourageRainbowLikesTrait,dragonbones/gameplay_encourage_model_upvot_ske,DragonBones 5.5,Armature,27,106,1,106,28,44.28,1,是,800x745,PNG,800x745,1273.01,314,骨架/EliminateEncourageRainbowLikesTrait/dragonbones,3
GameOverButtonShineEffectTrait,dragonbones/ava_saoguang_ske,DragonBones 5.5,armatureName,2,1,1,1,1,3.0,1,是,512x512,PNG,512x512,0,0,骨架/GameOverButtonShineEffectTrait/dragonbones,3
HighScoreShowRainbowColorTrait,dragonbones/encourage_newhighscore_ske,DragonBones 5.5,armatureName,147,131,1,131,1,2.67,1,是,1025x909,PNG,1025x909,894.75,272.2,骨架/HighScoreShowRainbowColorTrait/dragonbones,3
HighScoreShowRainbowColorTrait,dragonbones/gameplay_combo_guangyun_ske,DragonBones 5.5,armatureName,45,32,1,32,2,1.93,1,是,109x63,PNG,109x63,0,0,骨架/HighScoreShowRainbowColorTrait/dragonbones,3
HighWeightBoardAroundBlinkTrait,dragonbones/gameplay_bg_skinlight_ske,DragonBones 5.0,armatureName,247,192,1,192,7,21.0,1,是,129x138,PNG,129x138,950.02,951.39,骨架/HighWeightBoardAroundBlinkTrait/dragonbones,3
IsIncreaseEnjoyCollectionColorfulTrait,effects/gameplay_7colorwaikuang_ske,DragonBones 5.0,armatureName,5,8,1,8,2,1.17,1,是,509x369,PNG,509x369,120,120,骨架/IsIncreaseEnjoyCollectionColorfulTrait/effects,3
IsOpenBlockRefreshFlashEffectTrait,dragonbones/gameplay_ck_01_ske,DragonBones 5.5,armatureName,13,9,1,9,2,0.8,1,是,1160x1240,PNG,1160x1240,141.01,157.22,骨架/IsOpenBlockRefreshFlashEffectTrait/dragonbones,3
IsOpenClassMusicBlockTrait,dragonbones/gameplay_music_click_ske,DragonBones 5.5,armatureName,5,5,1,5,1,0.97,1,是,200x119,PNG,200x119,116,116,骨架/IsOpenClassMusicBlockTrait/dragonbones,3
IsOpenClassMusicBlockTrait,dragonbones/gameplay_musictime_ske,DragonBones 5.5,armatureName,31,14,1,14,1,2.33,1,是,1008x402,PNG,1008x402,765,296.29,骨架/IsOpenClassMusicBlockTrait/dragonbones,3
IsOpenEliminateSpecialEffectTrait,dragonbones/gameplay_multiline_ske,DragonBones 5.5,Armature,36,24,1,24,1,1.9,1,是,227x369,PNG,227x369,147,146,骨架/IsOpenEliminateSpecialEffectTrait/dragonbones,3
IsOpenResultClickEffectTrait,dragonbones/touchIcon_ske,DragonBones 5.5,armatureName,2,1,1,1,12,12.0,1,是,477x352,PNG,477x352,117,115,骨架/IsOpenResultClickEffectTrait/dragonbones,3
IsShowAdPicReplaceOfGuideTrait,res/eff/gameplay_guide_arrow_ske,DragonBones 5.0,Armature,2,1,1,1,1,0.67,1,是,142x109,PNG,142x109,0,0,骨架/IsShowAdPicReplaceOfGuideTrait/res/eff,3
JewelGameUnlockEncourageTrait,spine/gameplay_ma,Spine 3.8.99,,68,67,1,67,1,2.6,1,是,621x621,PNG,621x621,0,0,骨架/JewelGameUnlockEncourageTrait/spine,3
MiniGameEnterChangeColorTrait,dragonbones/icon_entrance_ske,DragonBones 5.5,Armature,15,13,1,13,1,2.33,1,是,507x504,PNG,507x504,177.76,210.29,骨架/MiniGameEnterChangeColorTrait/dragonbones,3
MoreStepGuideTrait,dragonbones/DJS_ske,DragonBones 5.5,Armature,5,3,1,3,2,1.1,1,是,214x289,PNG,214x289,198,168,骨架/MoreStepGuideTrait/dragonbones,3
NewUserBoardDiffTrait,spine/board1/gameplay_xinshou,Spine 3.8.99,,2,2,1,2,1,1.33,1,是,442x331,PNG,442x331,960,1707,骨架/NewUserBoardDiffTrait/spine/board1,3
NewUserEarlyRoundsBoardTrait,spine/board1/gameplay_xinshou,Spine 3.8.99,,2,2,1,2,1,1.33,1,是,442x331,PNG,442x331,960,1707,骨架/NewUserEarlyRoundsBoardTrait/spine/board1,3
OneStepClearGuideTrait,spine/gameplay_Guide_glow,Spine 3.8.99,,10,14,1,14,1,0.8,1,是,750x322,PNG,750x322,330,330,骨架/OneStepClearGuideTrait/spine,3
PreEliminateGemBreathTrait,res/gameplay_xingxing_g,Spine 3.8.99,,126,110,1,110,6,7.4,1,是,307x954,PNG,307x954,344.09,495.65,骨架/PreEliminateGemBreathTrait/res,3
ReplaceGuideSchemeTrait,spine/gameplay_xinshou,Spine 3.8.99,,56,53,1,51,1,5.0,1,是,996x585,PNG,996x585,960,1707,骨架/ReplaceGuideSchemeTrait/spine,3
ReviveBlockGrayAnimTrait,dragonbones/gameplay_over_color_ske,DragonBones 5.5,Armature,2,1,1,1,1,0.07,1,是,217x137,PNG,217x137,106,106,骨架/ReviveBlockGrayAnimTrait/dragonbones,3
ReviveUITimeEffectChangeTrait,spines/revive_number,Spine 3.8.99,,6,5,1,5,1,5.57,1,是,348x820,PNG,348x820,452.08,452.08,骨架/ReviveUITimeEffectChangeTrait/spines,3
ShowEffectWhenInitEmptyBoardTrait,dragonbones/gameplay_emptyNew_ske,DragonBones 5.5,Armature,69,64,1,64,14,14.0,1,是,173x187,PNG,173x187,992,906,骨架/ShowEffectWhenInitEmptyBoardTrait/dragonbones,3
ShowLoginDaysTrait,dragonbones/main_days_ske,DragonBones 5.5,Armature,14,10,1,10,3,3.1,1,是,381x255,PNG,381x255,0,0,骨架/ShowLoginDaysTrait/dragonbones,3
ShowSSSWhenSkinChangeTrait,dragonbones/gameplay_pfxyd_ske,DragonBones 5.5,Armature,152,136,1,136,3,5.17,1,是,1972x1200,PNG,1972x1200,0,0,骨架/ShowSSSWhenSkinChangeTrait/dragonbones,3
ShowSSSWhenSkinChangeTrait,dragonbones/newArt/gameplay_pfxyd_ske,DragonBones 5.5,Armature,150,134,1,134,3,5.17,1,是,1024x1024,PNG,1024x1024,0,0,骨架/ShowSSSWhenSkinChangeTrait/dragonbones/newArt,3
ShowWelcomeEveryDayTrait,spine/main_welcome_popUp,Spine 3.8.99,,30,18,1,18,1,2.63,1,是,330x262,PNG,330x262,251.87,331,骨架/ShowWelcomeEveryDayTrait/spine,3
SkinSwitchTrait,dragonbones/NewProject_1_ske,DragonBones 5.5,Armature,6,4,1,4,2,9.0,1,是,66x66,PNG,66x66,0,0,骨架/SkinSwitchTrait/dragonbones,3
SkinSwitchTrait,dragonbones/NoName/set_entranceb_ske,DragonBones 5.5,Armature,29,25,1,25,2,2.63,1,是,600x600,PNG,600x600,0,0,骨架/SkinSwitchTrait/dragonbones/NoName,3
SkinSwitchTrait,dragonbones/set_entrance_ske,DragonBones 5.5,Armature,29,25,1,25,2,2.63,1,是,721x511,PNG,721x511,0,0,骨架/SkinSwitchTrait/dragonbones,3
SolveDiffProblemEncourageTrait,anim/gameplay_ohgenius_ske,DragonBones 5.5,armatureName,38,43,1,43,1,2.33,1,是,840x840,PNG,840x840,740.86,312.7,骨架/SolveDiffProblemEncourageTrait/anim,3
ThanksAfterAdTrait,dragonbones/gameplayt_Thanks1_ske,DragonBones 5.0,armatureName,24,30,1,28,1,2.1,1,是,963x775,PNG,963x775,962,481.90999999999997,骨架/ThanksAfterAdTrait/dragonbones,3
ThanksAfterAdTrait,dragonbones/gameplayt_Thanks3_ske,DragonBones 5.0,armatureName,36,23,1,22,1,2.2,1,是,1025x689,PNG,1025x689,962,583.0438099109019,骨架/ThanksAfterAdTrait/dragonbones,3
ThreeSkinRandomOneTrait,dragonbones/gameplay_choiceskin_ske,DragonBones 5.0,armatureName,9,6,1,3,1,0.8,1,是,387x117,PNG,387x117,386,466,骨架/ThreeSkinRandomOneTrait/dragonbones,3
TravelMosaicProgressTrait,spine/main_mosaic,Spine 3.8.99,,5,3,1,1,2,4.87,1,是,151x183,PNG,151x183,145,176,骨架/TravelMosaicProgressTrait/spine,3
TravelMosaicProgressTrait,spine/main_mosaic_eff,Spine 3.8.99,,4,2,1,2,2,4.87,1,是,359x141,PNG,359x141,0,0,骨架/TravelMosaicProgressTrait/spine,3
UEExploreBeginnerDragTargetHighlightTrait,spine/gameplay_xinshou,Spine 3.8.99,,4,4,1,4,2,2.67,1,是,479x535,PNG,479x535,316,211,骨架/UEExploreBeginnerDragTargetHighlightTrait/spine,3
UEExploreGuideCompleteLikeTrait,spines/gameplay_jlc_WellDone,Spine 3.8.99,,84,74,1,74,1,2.0,1,是,910x577,PNG,910x577,800,800,骨架/UEExploreGuideCompleteLikeTrait/spines,3
UEExplorePopViewGuideTrait,spine/gameplay_tanchuan,Spine 3.8.99,,40,39,1,36,2,5.0,1,是,596x205,PNG,596x205,960,1707,骨架/UEExplorePopViewGuideTrait/spine,3
WinStreakEffectAdjustTrait,res/effects/gameplay_adventure_handoff_ske,DragonBones 5.5,Armature,18,17,1,17,2,1.8,1,是,508x257,PNG,508x257,0,0,骨架/WinStreakEffectAdjustTrait/res/effects,3
WinStreakEffectAdjustTrait,res/effects/gameplay_revival_incrown_ske,DragonBones 5.5,Armature,28,23,1,23,2,1.83,1,是,256x300,PNG,256x300,0,0,骨架/WinStreakEffectAdjustTrait/res/effects,3
WinStreakEffectAdjustTrait,res/effects/gameplay_revival_rain_ske,DragonBones 5.5,Armature,12,9,1,9,1,0.67,1,是,256x128,PNG,256x128,118,125.04,骨架/WinStreakEffectAdjustTrait/res/effects,3
chapter,dragonbones/blocksProducer/traits/gameplay_grayBlock_eliminate_ske,DragonBones 5.5,armatureName,1,2,1,2,1,0.73,1,是,131x239,PNG,131x239,128,128,骨架/chapter/dragonbones/blocksProducer/traits,3
chapter,dragonbones/chapterList/mapcup_ske,DragonBones 5.5,Armature,622,503,1,503,2,11.05,1,是,1020x513,PNG,1020x513,1178.32,739.75,骨架/chapter/dragonbones/chapterList,3
chapter,dragonbones/chapterList/zuobiao_ske,DragonBones 5.5,Armature,11,11,1,11,2,3.4,1,是,225x244,PNG,225x244,125,150.44,骨架/chapter/dragonbones/chapterList,3
chapter,dragonbones/chapterTopInfo/XCSJ_ske,DragonBones 5.5,Armature,7,5,1,5,1,0.5,1,是,44x45,PNG,44x45,111.56,114.79,骨架/chapter/dragonbones/chapterTopInfo,3
chapter,dragonbones/chapterTopInfo/XC_ske,DragonBones 5.5,Armature,4,3,1,3,1,1.17,1,是,8x4,PNG,8x4,1,1,骨架/chapter/dragonbones/chapterTopInfo,3
chapter,dragonbones/chapterTopInfo/duigou_ske,DragonBones 5.5,Armature,3,2,1,2,1,0.67,1,是,98x144,PNG,98x144,0,0,骨架/chapter/dragonbones/chapterTopInfo,3
chapter,dragonbones/fail/IsOpenLevelOverTipsChangeTrait/bsovy_ske,DragonBones 5.5,Armature,8,62,1,62,7,6.27,1,是,1021x947,PNG,1021x947,0,0,骨架/chapter/dragonbones/fail/IsOpenLevelOverTipsChangeTrait,3
chapter,dragonbones/fail/bsovy_ske,DragonBones 5.5,Armature,2,18,1,18,2,1.77,1,是,253x190,PNG,253x190,295.44,54.94,骨架/chapter/dragonbones/fail,3
chapter,dragonbones/fail/trait/reduceTravelSettlement/result_word_soclose_ske,DragonBones 5.5,Armature,2,7,1,7,1,0.5,1,是,217x167,PNG,217x167,432.36,82,骨架/chapter/dragonbones/fail/trait/reduceTravelSettlement,3
chapter,dragonbones/gameOver/traits/30598_f_heightFeelShow/gameplay_peakVicotory_ske,DragonBones 5.5,Armature,509,415,1,415,1,5.6,1,是,591x512,PNG,591x512,1020.64,1051.06,骨架/chapter/dragonbones/gameOver/traits/30598_f_heightFeelShow,3
chapter,dragonbones/repeatPreview/FangDaJing_ske,DragonBones 5.5,armatureName,8,5,1,5,3,2.5,1,是,257x248,PNG,257x248,102,114,骨架/chapter/dragonbones/repeatPreview,3
chapter,dragonbones/wellDone/XCfive_ske,DragonBones 5.5,Armature,115,107,1,107,10,12.67,1,是,506x298,PNG,506x298,720.94,183.34,骨架/chapter/dragonbones/wellDone,3
chapter,dragonbones/wellDone/jindutiao_ske,DragonBones 5.5,Armature,99,91,1,91,1,2.87,1,是,512x256,PNG,512x256,532.13,320.95,骨架/chapter/dragonbones/wellDone,3
chapter,dragonbones/win/JSBS_ske,DragonBones 5.5,Armature,13,18,1,18,6,6.3,1,是,421x257,PNG,421x257,102.42,81,骨架/chapter/dragonbones/win,3
chapter,dragonbones/win/JSBSo_ske,DragonBones 5.5,Armature,19,31,1,31,1,1.63,1,是,1024x455,PNG,1024x455,323,323,骨架/chapter/dragonbones/win,3
chapter,dragonbones/win/jsfs_ske,DragonBones 5.5,Armature,3,2,1,2,1,0.73,1,是,1024x512,PNG,1024x512,314,314,骨架/chapter/dragonbones/win,3
chapter,dragonbones/win/trait/reduceTravelSettlement/XCfive_ske,DragonBones 5.5,Armature,101,94,1,94,5,6.83,1,是,507x248,PNG,507x248,531.26,325.97,骨架/chapter/dragonbones/win/trait/reduceTravelSettlement,3
chapter,dragonbones/win/trait/reduceTravelSettlement/jindutiao_ske,DragonBones 5.5,Armature,99,91,1,91,1,2.87,1,是,513x252,PNG,513x252,532.13,320.95,骨架/chapter/dragonbones/win/trait/reduceTravelSettlement,3
chapter,textures/gameover/trait/gateWinStreakState/newrecord_conseecutiveVictories_ske,DragonBones 5.5,Armature,6,10,1,10,1,0.77,1,是,983x265,PNG,983x265,582,308.25,骨架/chapter/textures/gameover/trait/gateWinStreakState,3
chapter,textures/gameover/trait/hardLevelDefeat/effect/result_icon_cup_ske,DragonBones 5.5,Armature,255,219,1,219,1,2.5,1,是,512x512,PNG,512x512,684.38,1134.23,骨架/chapter/textures/gameover/trait/hardLevelDefeat/effect,3
class,dragonbones/board/traits/ClearInitPanelEffectTrait/gameplay_patternFinished_eff_ske,DragonBones 5.0,Armature,6,5,1,5,1,0.67,1,是,595x499,PNG,595x499,0,0,骨架/class/dragonbones/board/traits/ClearInitPanelEffectTrait,3
class,dragonbones/board/traits/ClearInitPanelEffectTrait/gameplay_patternFinished_ske,DragonBones 5.0,Armature,4,2,1,2,1,2.07,1,是,513x477,PNG,513x477,510,236,骨架/class/dragonbones/board/traits/ClearInitPanelEffectTrait,3
class,dragonbones/board/traits/IsOpenSorceBlockTrait/gameplay_scoreBlock_ske,DragonBones 5.5,armatureName,39,33,1,33,8,4.9,1,是,271x249,PNG,271x249,159.68,177.85,骨架/class/dragonbones/board/traits/IsOpenSorceBlockTrait,3
class,dragonbones/combo/QBlockCombo/gameplay_combo_in_ske,DragonBones 5.5,armatureName,145,133,1,133,1,1.53,1,是,210x360,PNG,210x360,926.71,1129.93,骨架/class/dragonbones/combo/QBlockCombo,3
class,dragonbones/combo/comb_ske-lite,DragonBones 5.5,Armature,9,7,1,7,1,0.88,1,是,185x260,PNG,185x260,159,192.54,骨架/class/dragonbones/combo,3
class,dragonbones/combo/trait/comboEffectCtrl/gameplay_dragonbone_combo_grade_ske,DragonBones 5.5,gameplay_dragonbone_combo_grade,18,19,1,19,4,2.8,1,是,490x354,PNG,490x354,300.85,368.49,骨架/class/dragonbones/combo/trait/comboEffectCtrl,3
class,dragonbones/combo/trait/optimizeResourcesEffect/gameplay_dragonbone_combo_grade_ske,DragonBones 5.5,gameplay_dragonbone_combo_grade,18,19,1,19,4,2.8,1,是,512x512,PNG,512x512,300.85,368.49,骨架/class/dragonbones/combo/trait/optimizeResourcesEffect,3
class,dragonbones/gameOver/traits/ComboReachTargetTrait/NewProject_ske,DragonBones 5.5,Armature,82,79,1,79,3,8.12,1,是,2035x1019,PNG,2035x1019,1245.38,1733.97,骨架/class/dragonbones/gameOver/traits/ComboReachTargetTrait,3
class,dragonbones/gameOver/traits/ComboReachTargetTrait/king_ske,DragonBones 5.5,Armature,3,1,1,1,1,3.33,1,是,256x128,PNG,256x128,0,0,骨架/class/dragonbones/gameOver/traits/ComboReachTargetTrait,3
class,dragonbones/guide/prompt_ske,DragonBones 5.5,Armature,6,4,1,4,1,0.83,1,是,17x17,PKM(ETC type=0),17x64,72.46,51.81,骨架/class/dragonbones/guide,4
class,dragonbones/topInfo/comnb_ske,DragonBones 5.5,Armature,4,3,1,3,3,2.45,1,是,413x329,PNG,413x329,210,187,骨架/class/dragonbones/topInfo,3
class,dragonbones/topInfo/comnb_ske-lite,DragonBones 5.5,Armature,4,3,1,3,3,2.45,1,是,209x167,PNG,209x167,105,94,骨架/class/dragonbones/topInfo,3
class,dragonbones/topInfo/traits/BComboReplaceHeartEffectTrait/gameplay_comboTips_color_ske,DragonBones 5.0,Armature,4,3,1,3,3,2.45,1,是,413x329,PNG,413x329,210,187,骨架/class/dragonbones/topInfo/traits/BComboReplaceHeartEffectTrait,3
class,dragonbones/topInfo/traits/Combo_tips_lv_blockTrait/gameplay_combo_tips_ske,DragonBones 5.5,Armature,26,25,1,25,9,6.6,1,是,988x978,PNG,988x978,185,189.92,骨架/class/dragonbones/topInfo/traits/Combo_tips_lv_blockTrait,3
class,dragonbones/win/NewProject_ske,DragonBones 5.5,Armature,36,34,1,34,1,1.5,1,是,511x510,PNG,511x510,1542.04,1310.65,骨架/class/dragonbones/win,3
gl_fruit,assets/effects/BoardFullPanel/BoardFullPanel,Spine 3.8.99,,10,12,1,12,1,3.0,1,是,2048x256,PNG,2048x256,770,387.51,骨架/gl_fruit/assets/effects/BoardFullPanel,3
gl_fruit,assets/effects/GoldWatermelonPanel/GoldWatermelonPanel,Spine 3.8.99,,369,196,1,196,1,2.4,1,是,512x512,PNG,512x512,473.16,480.3,骨架/gl_fruit/assets/effects/GoldWatermelonPanel,3
gl_fruit,assets/effects/HsFruitMerge_Click_fx_01_B/HsFruitMerge_Click_fx_01_B,Spine 3.8.99,,16,13,1,13,1,1.33,1,是,512x256,PNG,512x256,256.39,256.39,骨架/gl_fruit/assets/effects/HsFruitMerge_Click_fx_01_B,3
gl_fruit,assets/effects/Lose_hint_fx/lose_hint_fx,Spine 3.8.99,,5,3,1,3,1,1.2,1,是,256x256,PNG,256x256,158,158,骨架/gl_fruit/assets/effects/Lose_hint_fx,3
gl_fruit,assets/effects/MergeNew_fx_B/MergeNew_fx_B,Spine 3.8.99,,75,66,1,66,12,7.27,1,是,130x72,PNG,130x72,68,68,骨架/gl_fruit/assets/effects/MergeNew_fx_B,3
gl_fruit,assets/effects/Skin3/Fruit_01/Fruit_01,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,512x256,PNG,512x256,76.92,76.26,骨架/gl_fruit/assets/effects/Skin3/Fruit_01,3
gl_fruit,assets/effects/Skin3/Fruit_02/Fruit_02,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,1024x512,PNG,1024x512,91.58,95.24,骨架/gl_fruit/assets/effects/Skin3/Fruit_02,3
gl_fruit,assets/effects/Skin3/Fruit_03/Fruit_03,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,1024x512,PNG,1024x512,116.88,122.54,骨架/gl_fruit/assets/effects/Skin3/Fruit_03,3
gl_fruit,assets/effects/Skin3/Fruit_04/Fruit_04,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,1024x512,PNG,1024x512,141.86,149.18,骨架/gl_fruit/assets/effects/Skin3/Fruit_04,3
gl_fruit,assets/effects/Skin3/Fruit_05/Fruit_05,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,2048x1024,PNG,2048x1024,174.49,171.83,骨架/gl_fruit/assets/effects/Skin3/Fruit_05,3
gl_fruit,assets/effects/Skin3/Fruit_06/Fruit_06,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,512x256,PNG,512x256,209,209,骨架/gl_fruit/assets/effects/Skin3/Fruit_06,3
gl_fruit,assets/effects/Skin3/Fruit_07/Fruit_07,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,1024x256,PNG,1024x256,244,245,骨架/gl_fruit/assets/effects/Skin3/Fruit_07,3
gl_fruit,assets/effects/Skin3/Fruit_08/Fruit_08,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,1024x512,PNG,1024x512,295,321,骨架/gl_fruit/assets/effects/Skin3/Fruit_08,3
gl_fruit,assets/effects/Skin3/Fruit_09/Fruit_09,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,1024x512,PNG,1024x512,363,361,骨架/gl_fruit/assets/effects/Skin3/Fruit_09,3
gl_fruit,assets/effects/Skin3/Fruit_10/Fruit_10,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,1024x512,PNG,1024x512,430,490,骨架/gl_fruit/assets/effects/Skin3/Fruit_10,3
gl_fruit,assets/effects/Skin3/Fruit_11/Fruit_11,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,5,12,16.6,1,是,2048x1024,PNG,2048x1024,541,555,骨架/gl_fruit/assets/effects/Skin3/Fruit_11,3
gl_fruit,assets/effects/Skin3/Fruit_12/Fruit_12,Spine 3.8-from-4.0-from-4.1.24,,11,10,1,10,12,16.0,1,是,1024x1024,PNG,1024x1024,547,579,骨架/gl_fruit/assets/effects/Skin3/Fruit_12,3
gl_fruit,assets/effects/WatermelonPanel/WatermelonPanel,Spine 3.8.99,,103,69,1,69,1,4.2,1,是,2048x1024,PNG,2048x1024,888,1129.09,骨架/gl_fruit/assets/effects/WatermelonPanel,3
gl_fruit,assets/effects/combo/watermelon_gamplay_combo,Spine 3.8.99,,3,2,1,1,5,6.0,1,是,522x331,PNG,522x331,0,0,骨架/gl_fruit/assets/effects/combo,3
gl_fruit,assets/effects/dianzan/dianzan,Spine 3.8.99,,3,2,1,2,2,2.2,1,是,2048x256,PNG,2048x256,450,198,骨架/gl_fruit/assets/effects/dianzan,3
