_key,ID,UnitID,Weight,ScoreBeg,ScoreEnd,CubeNumBeg,CubeNumEnd,ProgressBeg,ProgressEnd,CubeIDWeight
38,38,12,100,30000,60000,3001,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
39,39,12,100,60000,-1,3001,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
40,40,13,100,0,30000,0,5500,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
41,41,13,100,30000,60000,0,5500,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
42,42,13,100,60000,-1,0,5500,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
43,43,13,100,0,30000,5501,-1,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,7|9,7|10,7|14,7|17,7|18,7|26,7|30,7|33,7|34,7|11,7|12,7|21,7|35,7|13,7"
44,44,13,100,30000,60000,5501,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,1041,10|8,7|9,7|10,7|14,7|16,7|17,7|18,7|19,7|20,7|25,7|26,7|29,7|30,7|31,7|32,7|33,7|34,7|42,7|11,7|12,7|21,7|23,7|24,7|35,7|36,7|13,7"
45,45,13,100,60000,-1,5501,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
46,46,14,100,0,-1,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10"
47,47,15,100,0,-1,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
48,48,16,100,0,30000,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
49,49,16,100,30000,60000,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
50,50,16,100,60000,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
51,51,17,100,0,30000,0,-1,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
52,52,17,100,30000,60000,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
53,53,17,100,60000,-1,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
54,54,18,100,0,30000,0,-1,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10"
55,55,18,100,30000,60000,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10"
56,56,18,100,60000,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
57,57,300,100,0,-1,0,-1,0,-1,"3033,10|3008,10|3026,10|3010,10|3018,10|3014,10|3017,10|3009,10"
58,58,301,100,0,-1,0,-1,0,-1,"3133,10|3108,10|3126,10|3110,10|3118,10|3114,10|3117,10|3109,10"
59,59,302,100,0,-1,0,-1,0,-1,"3033,10|3008,10|3026,10|3010,10|3018,10|3014,10|3017,10|3009,10|3133,10|3108,10|3126,10|3110,10|3118,10|3114,10|3117,10|3109,10"
60,60,19,100,0,-1,0,-1,0,-1,"11,10|12,10|13,10|17,10|21,10|23,10|24,10|35,10|36,10|8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
61,61,303,100,0,-1,0,-1,0,-1,"17,10"
62,62,401,90,0,30000,0,-1,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10|4001,1|4002,1|4003,1|4004,1|4005,1|4006,1|4007,1|4008,1|4009,1|4010,1|4011,1|4012,1|4013,1|4014,1|4015,1|4016,1|4017,1|4018,1|4019,1|4020,1|4021,1"
63,63,401,90,30000,60000,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10|4001,2|4002,2|4003,2|4004,2|4005,2|4006,2|4007,2|4008,2|4009,2|4010,2|4011,2|4012,2|4013,2|4014,2|4015,2|4016,2|4017,2|4018,2|4019,2|4020,2|4021,2"
64,64,401,90,60000,-1,0,-1,0,-1,"8,20|9,20|10,20|14,20|18,20|26,20|30,20|33,20|34,20|4001,1|4002,1|4003,1|4004,1|4005,1|4006,1|4007,1|4008,1|4009,1|4010,1|4011,1|4012,1|4013,1|4014,1|4015,1|4016,1|4017,1|4018,1|4019,1|4020,1|4021,1"
65,65,402,100,0,-1,0,-1,0,-1,"4101,10|4102,10|4103,10|4104,10|4105,10|4106,10|4107,10|4108,10"
66,66,20,100,0,30000,0,-1,0,-1,"3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
67,67,20,100,30000,60000,0,-1,0,-1,"3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
68,68,20,100,60000,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
69,69,21,100,0,30000,0,-1,0,-1,"8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
70,70,21,100,30000,60000,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
71,71,21,100,60000,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
72,72,22,100,0,30000,0,5500,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
73,73,22,100,30000,60000,0,5500,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
74,74,22,100,60000,-1,0,5500,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
75,75,22,100,0,30000,5501,-1,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,7|9,7|10,7|14,7|17,7|18,7|26,7|30,7|33,7|34,7|11,7|12,7|21,7|35,7|13,7"
76,76,22,100,30000,60000,5501,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,7|9,7|10,7|14,7|16,7|17,7|18,7|19,7|20,7|25,7|26,7|29,7|30,7|31,7|32,7|33,7|34,7|42,7|11,7|12,7|21,7|23,7|24,7|35,7|36,7|13,7"
77,77,22,100,60000,-1,5501,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,7|9,7|10,7|14,7|16,7|17,7|18,7|19,7|20,7|25,7|26,7|29,7|30,7|31,7|32,7|33,7|34,7|42,7|11,7|12,7|21,7|23,7|24,7|35,7|36,7|13,7"
78,78,23,100,0,30000,0,3000,0,-1,"3,5|5,5|6,5|15,5|27,5|28,5|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
79,79,23,100,30000,60000,0,3000,0,-1,"3,5|37,5|38,5|5,5|6,5|15,5|27,5|28,5|39,5|40,5|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
80,80,23,100,60000,-1,0,3000,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
81,81,23,100,0,30000,3001,5500,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,10|13,10"
82,82,23,100,30000,60000,3001,5500,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10"
83,83,23,100,60000,-1,3001,5500,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
84,84,23,100,0,30000,5501,-1,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,7|9,7|10,7|14,7|17,7|18,7|26,7|30,7|33,7|34,7|11,7|12,7|21,7|35,7|13,7"
85,85,23,100,30000,60000,5501,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|41,10|8,7|9,7|10,7|14,7|16,7|17,7|18,7|19,7|20,7|25,7|26,7|29,7|30,7|31,7|32,7|33,7|34,7|42,7|11,7|12,7|21,7|23,7|24,7|35,7|36,7|13,7"
86,86,23,100,60000,-1,5501,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
87,87,24,100,0,-1,0,3000,0,-1,"1,5|2,3|3,3|4,3|5,3|6,3|8,10|9,10|10,10|11,13|12,13|13,10|14,10|15,3|16,10|17,10|18,10|19,10|20,10|21,13|23,13|24,13|25,10|26,10|27,3|28,3|29,10|30,10|31,10|32,10|33,10|34,10|35,7|36,7|37,3|38,3|39,3|40,3|42,10"
88,88,24,100,0,-1,3001,4500,0,-1,"1,5|2,5|3,5|4,6|5,6|6,6|8,10|9,10|10,10|11,10|12,10|13,10|14,10|15,6|16,10|17,10|18,10|19,10|20,10|21,10|23,10|24,10|25,10|26,10|27,6|28,6|29,10|30,10|31,10|32,10|33,10|34,10|35,10|36,10|37,5|38,5|39,6|40,6|42,10"
89,89,24,100,0,-1,4501,5000,0,-1,"1,5|2,5|3,5|4,10|5,10|6,10|8,10|9,10|10,10|11,5|12,5|13,10|14,10|15,10|16,10|17,10|18,10|19,10|20,10|21,5|23,5|24,5|25,10|26,10|27,10|28,10|29,10|30,10|31,10|32,10|33,10|34,10|35,5|36,5|37,5|38,5|39,10|40,10|42,10"
90,90,24,100,0,-1,5001,5500,0,-1,"1,5|2,12|3,12|4,11|5,11|6,11|8,7|9,7|10,7|11,10|12,10|13,5|14,7|15,11|16,7|17,7|18,7|19,7|20,7|21,10|23,10|24,10|25,7|26,7|27,11|28,11|29,7|30,7|31,7|32,7|33,7|34,7|35,5|36,5|37,12|38,12|39,11|40,11|42,7"
91,91,24,100,0,-1,5501,-1,0,-1,"1,5|2,12|3,12|4,11|5,11|6,11|8,6|9,6|10,6|11,7|12,7|13,5|14,6|15,11|16,6|17,6|18,6|19,6|20,6|21,7|23,7|24,7|25,6|26,6|27,11|28,11|29,6|30,6|31,6|32,6|33,6|34,6|35,5|36,5|37,12|38,12|39,11|40,11|42,6"
92,92,25,100,0,-1,0,-1,0,-1,"2,10|3,10|4,10|5,10|6,10|8,10|9,10|10,10|11,10|12,10|14,10|15,10|16,10|17,10|18,10|19,10|20,10|21,10|23,10|24,10|25,10|26,10|27,10|28,10|29,10|30,10|31,10|32,10|33,10|34,10|37,10|38,10|39,10|40,10|42,10"
93,93,26,100,0,-1,0,-1,0,-1,"1,3|2,10|3,10|4,10|5,10|6,10|8,10|9,10|10,10|11,10|12,10|13,3|14,10|15,10|16,10|17,10|18,10|19,10|20,10|21,10|23,10|24,10|25,10|26,10|27,10|28,10|29,10|30,10|31,10|32,10|33,10|34,10|35,3|36,3|37,10|38,10|39,10|40,10|42,10"
94,94,27,100,0,-1,0,-1,0,-1,"1,75|2,100|3,100|4,88|5,88|6,88|8,37|9,37|10,37|11,119|12,119|13,75|14,37|15,88|16,37|17,37|18,37|19,37|20,37|21,119|23,119|24,119|25,37|26,37|27,88|28,88|29,37|30,37|31,37|32,37|33,37|34,37|35,75|36,75|37,100|38,100|39,88|40,88|42,37"
95,95,28,100,0,30000,0,-1,0,-1,"3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|23,10|24,10|35,10"
96,96,28,100,30000,60000,0,-1,0,-1,"5,10|6,10|15,10|27,10|28,10|39,10|40,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|23,10|24,10|35,10"
97,97,28,100,60000,-1,0,-1,0,-1,"8,10|9,10|10,10|14,10|18,10|26,10|30,10|33,10|34,10"
98,98,29,100,0,30000,0,-1,0,-1,"2,10|4,10|6,10|15,10|27,10|28,10|9,10|16,10|17,10|19,10|20,10|25,10|29,10|31,10|32,10|42,10|11,10|12,10|21,10|36,10|13,10"
99,99,29,100,30000,60000,0,-1,0,-1,"4,10|6,10|15,10|27,10|28,10|39,10|40,10|9,10|16,10|17,10|19,10|20,10|25,10|29,10|31,10|32,10|42,10|11,10|12,10|21,10|36,10|13,10"
100,100,29,100,60000,-1,0,-1,0,-1,"9,10|16,10|17,10|19,10|20,10|25,10|29,10|31,10|32,10|42,10"
101,101,30,100,0,-1,0,4500,0,-1,"1,75|2,100|3,100|4,88|5,88|6,88|8,37|9,37|10,37|11,119|12,119|13,75|14,37|15,88|16,37|17,37|18,37|19,37|20,37|21,119|23,119|24,119|25,37|26,37|27,88|28,88|29,37|30,37|31,37|32,37|33,37|34,37|35,75|36,75|37,100|38,100|39,88|40,88|42,37"
102,102,30,100,0,-1,4501,5000,0,-1,"1,75|2,100|3,100|4,88|5,88|6,88|8,37|9,37|10,37|11,75|12,75|13,75|14,37|15,88|16,37|17,37|18,37|19,37|20,37|21,75|23,75|24,75|25,37|26,37|27,88|28,88|29,37|30,37|31,37|32,37|33,37|34,37|35,40|36,40|37,100|38,100|39,88|40,88|42,37"
103,103,30,100,0,-1,5001,5500,0,-1,"1,75|2,100|3,100|4,88|5,88|6,88|8,55|9,55|10,55|11,75|12,75|13,75|14,55|15,88|16,55|17,55|18,55|19,55|20,55|21,75|23,75|24,75|25,55|26,55|27,88|28,88|29,55|30,55|31,55|32,55|33,55|34,55|35,40|36,40|37,100|38,100|39,88|40,88|42,55"
104,104,30,100,0,-1,5501,-1,0,-1,"1,75|2,110|3,110|4,120|5,120|6,120|8,35|9,35|10,35|11,40|12,40|13,75|14,35|15,120|16,35|17,35|18,35|19,35|20,35|21,40|23,40|24,40|25,35|26,35|27,120|28,120|29,35|30,35|31,35|32,35|33,35|34,35|35,40|36,40|37,110|38,110|39,120|40,120|42,35"
105,105,403,100,0,-1,0,-1,0,-1,"4201,10|4202,10|4203,10|4204,10|4205,10|4206,10|4207,10|4208,10|4209,10|4210,10|4211,10|4212,10|4213,10|4214,10|4215,10|4216,10|4217,10|4218,10|4219,10|4220,10|4221,10"
106,106,31,100,0,-1,0,-1,0,-1,"1,10|3,10|37,10|38,10|5,10|6,10|15,10|27,10|28,10|39,10|40,10|41,10|8,10|9,10|10,10|14,10|16,10|17,10|18,10|19,10|20,10|25,10|26,10|29,10|30,10|31,10|32,10|33,10|34,10|42,10|11,10|12,10|21,10|23,10|24,10|35,10|36,10|13,10|4001,2|4002,2|4003,2|4004,2|4005,2|4006,2|4007,2|4008,2|4009,2|4010,2|4011,2|4012,2|4013,2|4014,2|4015,2|4016,2|4017,2|4018,2|4019,2|4020,2|4021,2"
107,107,32,100,0,30000,0,5500,0,-1,"1,10|3,10|5,10|6,10|15,10|27,10|28,10|8,10|9,10|10,10|14,10|17,10|18,10|26,10|30,10|33,10|34,10|11,10|12,10|21,10|35,5|13,10|42,10|4001,2|4002,2|4003,2|4004,2|4005,2|4006,2|4007,2|4008,2|4009,2|4010,2|4011,2|4012,2|4013,5|4014,5|4015,2|4016,2|4017,2|4018,2|4019,2|4020,2|4021,2"
108,108,32,100,30000,60000,0,5500,0,-1,"1,10|3,10|4,10|5,10|6,10|8,10|9,10|10,10|11,10|12,10|13,10|14,10|15,10|16,10|17,10|18,10|19,10|20,10|21,10|23,10|24,10|25,10|26,10|27,10|28,10|29,10|30,10|31,10|32,10|33,10|34,10|35,5|36,5|37,10|38,10|39,10|40,10|42,10|4001,2|4002,2|4003,2|4004,2|4005,2|4006,2|4007,2|4008,2|4009,2|4010,2|4011,2|4012,2|4013,5|4014,5|4015,2|4016,2|4017,2|4018,2|4019,2|4020,2|4021,2"
109,109,32,100,60000,-1,0,5500,0,-1,"1,10|3,10|4,10|5,10|6,10|8,10|9,10|10,10|11,10|12,10|13,10|14,10|15,10|16,10|17,10|18,10|19,10|20,10|21,10|23,10|24,10|25,10|26,10|27,10|28,10|29,10|30,10|31,10|32,10|33,10|34,10|35,5|36,5|37,10|38,10|39,10|40,10|42,10|4001,2|4002,2|4003,2|4004,2|4005,2|4006,2|4007,2|4008,2|4009,2|4010,2|4011,2|4012,2|4013,5|4014,5|4015,2|4016,2|4017,2|4018,2|4019,2|4020,2|4021,2"
