_key,cubeID,data,tc,WetFix,ts
1004,1004,"0;14;1;0,1;5;1;0,0;1;1;0|0;13;1;0,1;2;1;0,1;1;1;3,1;4;1;0|0;13;1;0,1;7;1;0|0;13;1;0,1;7;1;0|0;13;1;0,1;3;1;0,0;4;1;0|1;1;1;0,0;11;1;0,1;4;1;0,0;4;1;0|1;1;1;0,0;10;1;0,1;8;1;0,0;1;1;0|1;2;1;0,0;8;1;0,1;6;1;0,0;4;1;0|1;3;1;0,0;6;1;0,1;10;1;0,0;1;1;0|0;1;1;0,1;3;1;0,0;3;1;0,1;9;1;0,0;4;1;0|0;2;1;0,1;13;1;0,0;5;1;0|0;3;1;0,1;11;1;0,0;6;1;0|0;5;1;0,1;8;1;0,0;7;1;0|0;7;1;0,1;6;1;0,0;7;1;0|0;7;1;0,1;2;1;0,0;2;1;0,1;2;1;0,0;7;1;0|0;7;1;0,1;2;1;0,0;2;1;0,1;2;1;0,0;7;1;0|0;7;1;0,1;3;1;0,0;1;1;0,1;3;1;0,0;6;1;0",1,1,2
1005,1005,"0;5;1;0,1;8;1;0,0;5;1;0|0;3;1;0,1;8;1;0,1;2;1;2,1;2;1;0,0;3;1;0|0;2;1;0,1;3;1;0,1;2;1;3,1;4;1;0,1;2;1;2,1;4;1;0,0;1;1;0|1;5;1;0,1;2;1;3,1;11;1;0|1;15;1;0,1;2;1;3,1;1;1;0|1;2;1;0,1;2;1;2,1;5;1;0,1;2;1;2,1;4;1;0,1;2;1;3,1;1;1;0|1;2;1;0,1;2;1;2,1;5;1;0,1;2;1;2,1;7;1;0|0;1;1;0,1;16;1;0,0;1;1;0|0;6;1;0,1;6;1;3,0;6;1;0|0;6;1;0,1;6;1;3,0;6;1;0|0;6;1;0,1;6;1;3,0;6;1;0|0;6;1;0,1;6;1;3,0;6;1;0|0;6;1;0,1;6;1;3,0;6;1;0|0;7;1;0,1;4;1;3,0;7;1;0",1,1,2
1006,1006,"0;2;1;0,1;10;1;0,0;5;1;0|0;1;1;0,1;2;1;0,1;8;1;3,1;2;1;0,0;4;1;0|1;1;1;0,1;12;1;3,1;1;1;0,0;3;1;0|1;2;1;0,1;10;1;3,1;5;1;0|1;14;1;0,0;2;1;0,1;1;1;0|1;14;1;0,0;2;1;0,1;1;1;0|1;14;1;0,0;1;1;0,1;2;1;0|1;16;1;0,0;1;1;0|0;1;1;0,1;13;1;0,0;3;1;0|0;3;1;0,1;9;1;0,0;5;1;0",1,1,2
1007,1007,"0;4;1;0,1;4;1;0,0;8;1;0,2;4;1;0,0;4;1;0|0;2;1;0,1;8;1;0,0;4;1;0,2;8;1;0,0;2;1;0|1;2;1;3,1;9;1;0,0;2;1;0,2;9;1;0,2;2;1;3|1;2;1;3,0;2;1;0,1;8;1;0,2;8;1;0,0;2;1;0,2;2;1;3|0;5;1;0,1;7;1;0,2;7;1;0,0;5;1;0|0;6;1;0,1;6;1;0,2;6;1;0,0;6;1;0|0;7;1;0,1;5;1;0,2;5;1;0,0;7;1;0|0;7;1;0,1;5;1;0,2;5;1;0,0;7;1;0|0;8;1;0,1;4;1;0,2;4;1;0,0;8;1;0|0;8;1;0,1;4;1;0,2;4;1;0,0;8;1;0|0;8;1;0,1;4;1;3,2;4;1;3,0;8;1;0|0;8;1;0,1;4;1;3,2;4;1;3,0;8;1;0",2,1,2
1008,1008,"0;4;1;0,1;8;1;0,0;4;1;0|0;3;1;0,1;10;1;0,0;3;1;0|0;2;1;0,1;12;1;0,0;2;1;0|0;1;1;0,1;14;1;0,0;1;1;0|1;16;1;0|1;16;1;0|1;2;1;0,1;3;1;3,1;6;1;0,1;3;1;3,1;2;1;0|1;1;1;0,1;5;1;3,1;4;1;0,1;5;1;3,1;1;1;0|1;2;1;0,1;5;1;3,1;2;1;0,1;5;1;3,1;2;1;0|1;3;1;0,1;4;1;3,1;2;1;0,1;4;1;3,1;3;1;0|1;16;1;0|0;1;1;0,1;14;1;0,0;1;1;0|0;1;1;0,1;14;1;0,0;1;1;0|0;2;1;0,1;12;1;0,0;2;1;0|0;3;1;0,1;3;1;0,1;4;1;3,1;3;1;0,0;3;1;0|0;5;1;0,1;6;1;0,0;5;1;0|0;6;1;0,1;4;1;0,0;6;1;0|0;7;1;0,1;2;1;0,0;7;1;0",1,1,2
1009,1009,"0;4;1;0,1;2;1;2,0;4;1;0,1;2;1;0,0;10;1;0|0;4;1;0,1;2;1;0,0;3;1;0,1;4;1;0,0;9;1;0|0;4;1;0,1;2;1;0,0;1;1;0,1;8;1;0,0;7;1;0|0;4;1;0,1;12;1;0,0;6;1;0|0;4;1;0,1;14;1;0,0;4;1;0|0;3;1;0,1;16;1;0,0;3;1;0|0;1;1;0,1;20;1;0,0;1;1;0|1;22;1;0|0;3;1;0,1;16;1;2,0;3;1;0|0;3;1;0,1;16;1;0,0;3;1;0|0;3;1;0,1;2;1;0,1;4;1;3,1;2;1;0,1;5;1;3,1;3;1;0,0;3;1;0|0;3;1;0,1;2;1;0,1;1;1;3,1;2;1;1,1;1;1;3,1;2;1;0,1;1;1;3,1;3;1;1,1;1;1;3,1;3;1;0,0;3;1;0|0;3;1;0,1;2;1;0,1;1;1;3,1;2;1;1,1;1;1;3,1;2;1;0,1;1;1;3,1;3;1;1,1;1;1;3,1;3;1;0,0;3;1;0|0;3;1;0,1;2;1;0,1;4;1;3,1;2;1;0,1;1;1;3,1;3;1;1,1;1;1;3,1;3;1;0,0;3;1;0|0;3;1;0,1;8;1;0,1;1;1;3,1;3;1;1,1;1;1;3,1;3;1;0,0;3;1;0|0;3;1;0,1;8;1;0,1;1;1;3,1;3;1;1,1;1;1;3,1;3;1;0,0;3;1;0",1,1,2
1010,1010,"0;5;1;0,1;6;1;0,0;5;1;0|0;4;1;0,1;8;1;0,0;4;1;0|0;2;1;0,1;7;1;0,1;1;1;1,1;4;1;0,0;2;1;0|0;1;1;0,1;9;1;0,1;1;1;1,1;4;1;0,0;1;1;0|0;1;1;0,1;14;1;0,0;1;1;0|1;12;1;0,1;1;1;1,1;3;1;0|1;12;1;0,1;1;1;1,1;3;1;0|1;12;1;0,1;1;1;1,1;3;1;0|0;1;1;0,1;11;1;0,1;1;1;1,1;2;1;0,0;1;1;0|0;1;1;0,1;14;1;0,0;1;1;0|0;2;1;0,1;12;1;0,0;2;1;0|0;3;1;0,1;10;1;0,0;3;1;0|0;4;1;0,1;8;1;0,0;4;1;0|0;5;1;0,1;6;1;3,0;5;1;0|0;5;1;0,1;6;1;0,0;5;1;0|0;5;1;0,1;6;1;3,0;5;1;0|0;5;1;0,1;6;1;0,0;5;1;0|0;6;1;0,1;4;1;0,0;6;1;0",1,1,2
1011,1011,"1;2;1;0,0;15;1;0|1;3;1;0,0;14;1;0|1;5;1;0,0;12;1;0|1;6;1;0,0;11;1;0|1;8;1;0,0;9;1;0|1;10;1;0,0;7;1;0|1;11;1;0,0;6;1;0|1;13;1;0,0;4;1;0|1;14;1;0,0;3;1;0|1;16;1;0,0;1;1;0|1;17;1;0|1;2;1;0,0;15;1;0|1;2;1;0,0;15;1;0|1;2;1;0,0;15;1;0|1;2;1;0,0;15;1;0|1;2;1;0,0;15;1;0|1;2;1;0,0;15;1;0|1;2;1;0,0;15;1;0|1;2;1;0,0;15;1;0|1;2;1;0,0;15;1;0",1,1,2
1012,1012,"0;15;1;0,1;4;1;0|0;14;1;0,1;4;1;0,1;1;1;1|0;13;1;0,1;4;1;0,1;2;1;1|0;12;1;0,1;4;1;0,1;3;1;1|0;11;1;0,1;4;1;0,1;3;1;1,0;1;1;0|0;2;1;0,1;1;1;0,0;7;1;0,1;4;1;0,1;3;1;1,0;2;1;0|0;2;1;0,1;2;1;0,0;5;1;0,1;4;1;0,1;3;1;1,0;3;1;0|0;2;1;0,1;3;1;0,0;3;1;0,1;4;1;0,1;3;1;1,0;4;1;0|0;2;1;0,1;4;1;0,0;1;1;0,1;4;1;0,1;3;1;1,0;5;1;0|0;2;1;0,1;8;1;0,1;3;1;1,0;6;1;0|0;3;1;0,1;6;1;0,1;3;1;1,0;7;1;0|0;4;1;0,1;4;1;0,1;3;1;1,0;8;1;0|0;4;1;0,1;3;1;0,1;3;1;1,0;9;1;0|0;3;1;0,1;3;1;0,1;5;1;1,0;8;1;0|0;1;1;0,1;4;1;0,1;7;1;1,0;7;1;0|1;3;1;0,1;1;1;3,1;2;1;1,0;2;1;0,1;5;1;1,0;6;1;0|1;1;1;0,1;2;1;3,1;2;1;1,0;4;1;0,1;5;1;1,0;5;1;0|1;1;1;0,1;2;1;3,1;2;1;1,0;14;1;0|1;4;1;1,0;15;1;0",1,1,2
1013,1013,"0;7;1;0,1;5;1;3,0;7;1;0|0;5;1;0,1;2;1;3,1;5;1;0,1;2;1;3,0;5;1;0|0;4;1;0,1;1;1;3,1;3;1;0,1;3;1;3,1;3;1;0,1;1;1;3,0;4;1;0|0;3;1;0,1;1;1;3,1;2;1;0,1;2;1;3,1;3;1;0,1;2;1;3,1;2;1;0,1;1;1;3,0;3;1;0|0;3;1;0,1;1;1;3,1;1;1;0,1;1;1;3,1;7;1;0,1;1;1;3,1;1;1;0,1;1;1;3,0;3;1;0|0;2;1;0,1;1;1;3,1;2;1;0,1;1;1;3,1;7;1;0,1;1;1;3,1;2;1;0,1;1;1;3,0;2;1;0|0;2;1;0,1;1;1;3,1;1;1;0,1;1;1;3,1;9;1;0,1;1;1;3,1;1;1;0,1;1;1;3,0;2;1;0|0;2;1;0,1;1;1;3,1;1;1;0,1;1;1;3,1;9;1;0,1;1;1;3,1;1;1;0,1;1;1;3,0;2;1;0|0;2;1;0,1;1;1;3,1;1;1;0,1;1;1;3,1;9;1;0,1;1;1;3,1;1;1;0,1;1;1;3,0;2;1;0|0;2;1;0,1;1;1;3,1;2;1;0,1;1;1;3,1;7;1;0,1;1;1;3,1;2;1;0,1;1;1;3,0;2;1;0|0;3;1;0,1;1;1;3,1;1;1;0,1;1;1;3,1;7;1;0,1;1;1;3,1;1;1;0,1;1;1;3,0;3;1;0|0;3;1;0,1;1;1;3,1;2;1;0,1;2;1;3,1;3;1;0,1;2;1;3,1;2;1;0,1;1;1;3,0;3;1;0|0;4;1;0,1;1;1;3,1;3;1;0,1;3;1;3,1;3;1;0,1;1;1;3,0;4;1;0|0;3;1;0,1;4;1;3,1;5;1;0,1;4;1;3,0;3;1;0|0;2;1;0,1;15;1;3,0;2;1;0|0;1;1;0,1;5;1;3,0;7;1;0,1;5;1;3,0;1;1;0|1;5;1;3,0;9;1;0,1;5;1;3|0;2;1;0,1;2;1;3,0;11;1;0,1;2;1;3,0;2;1;0|0;2;1;0,1;1;1;3,0;13;1;0,1;1;1;3,0;2;1;0",1,1,2
1014,1014,"0;1;1;0,1;8;1;0,0;2;1;0,1;8;1;0,0;1;1;0|1;1;1;1,1;8;1;0,1;2;1;1,1;8;1;0,1;1;1;1|1;1;1;1,1;1;1;0,1;5;1;2,1;2;1;0,1;2;1;1,1;2;1;0,1;5;1;2,1;1;1;0,1;1;1;1|1;1;1;1,1;8;1;0,1;2;1;1,1;8;1;0,1;1;1;1|1;1;1;1,1;8;1;0,1;2;1;1,1;8;1;0,1;1;1;1|1;1;1;1,1;1;1;0,1;5;1;2,1;2;1;0,1;2;1;1,1;2;1;0,1;4;1;2,1;2;1;0,1;1;1;1|1;1;1;1,1;8;1;0,1;2;1;1,1;8;1;0,1;1;1;1|1;1;1;1,1;8;1;0,1;2;1;1,1;8;1;0,1;1;1;1|1;1;1;1,1;1;1;0,1;3;1;2,1;4;1;0,1;2;1;1,1;2;1;0,1;5;1;2,1;1;1;0,1;1;1;1|1;1;1;1,1;8;1;0,1;2;1;1,1;8;1;0,1;1;1;1|1;1;1;1,1;8;1;0,1;2;1;1,1;8;1;0,1;1;1;1|1;1;1;1,1;8;1;0,1;2;1;1,1;8;1;0,1;1;1;1|1;1;1;1,1;18;1;3,1;1;1;1|0;7;1;0,1;6;1;3,0;7;1;0",1,1,2
1015,1015,"0;10;1;0,1;2;1;3,0;6;1;0|0;9;1;0,1;2;1;3,0;7;1;0|0;8;1;0,1;2;1;3,0;8;1;0|0;8;1;0,1;1;1;3,0;9;1;0|0;5;1;0,1;3;1;0,1;1;1;3,1;4;1;0,0;5;1;0|0;2;1;0,1;6;1;0,1;1;1;3,1;7;1;0,0;2;1;0|0;1;1;0,1;4;1;0,1;1;1;3,1;2;1;0,1;1;1;3,1;3;1;0,1;1;1;3,1;4;1;0,0;1;1;0|1;5;1;0,1;2;1;3,1;1;1;0,1;1;1;3,1;2;1;0,1;2;1;3,1;5;1;0|1;6;1;0,1;6;1;3,1;6;1;0|1;18;1;0|1;18;1;0|1;18;1;0|1;18;1;0|0;1;1;0,1;16;1;0,0;1;1;0|0;1;1;0,1;16;1;0,0;1;1;0|0;2;1;0,1;14;1;0,0;2;1;0|0;4;1;0,1;10;1;0,0;4;1;0|0;6;1;0,1;6;1;0,0;6;1;0",1,1,2
1016,1016,"0;12;1;0,1;6;1;0,0;3;1;0|0;2;1;0,1;4;1;0,0;5;1;0,1;8;1;0,0;2;1;0|1;21;1;0|1;9;1;0,1;3;1;3,1;4;1;0,1;3;1;3,1;2;1;0|1;8;1;0,1;1;1;3,1;3;1;0,1;1;1;3,1;8;1;0|1;7;1;0,1;1;1;3,1;5;1;0,1;1;1;3,1;7;1;0|1;6;1;0,1;1;1;3,1;7;1;0,1;1;1;3,1;6;1;0|1;6;1;0,1;1;1;3,1;7;1;0,1;1;1;3,1;6;1;0|1;6;1;0,1;1;1;3,1;7;1;0,1;1;1;3,1;6;1;0|1;7;1;0,1;1;1;3,1;5;1;0,1;1;1;3,1;7;1;0|1;8;1;0,1;1;1;3,1;3;1;0,1;1;1;3,1;8;1;0|1;9;1;0,1;3;1;3,1;9;1;0|1;21;1;0",1,1,2
1017,1017,"0;20;1;0,1;2;1;3|0;19;1;0,1;3;1;3|0;18;1;0,1;3;1;3,0;1;1;0|0;14;1;0,1;4;1;0,1;2;1;3,0;2;1;0|0;10;1;0,1;1;1;3,1;6;1;0,1;3;1;3,0;2;1;0|0;9;1;0,1;1;1;0,1;2;1;3,1;4;1;0,1;3;1;3,1;1;1;0,0;2;1;0|0;8;1;0,1;4;1;0,1;6;1;3,1;2;1;0,0;2;1;0|0;6;1;0,1;9;1;0,1;3;1;3,1;2;1;0,0;2;1;0|0;6;1;0,1;7;1;0,1;3;1;3,1;2;1;0,1;1;1;3,1;1;1;0,0;2;1;0|0;5;1;0,1;7;1;0,1;3;1;3,1;4;1;0,1;1;1;3,0;2;1;0|0;4;1;0,1;1;1;0,1;1;1;3,1;5;1;0,1;3;1;3,1;6;1;0,0;2;1;0|0;4;1;0,1;2;1;0,1;6;1;3,1;1;1;0,1;2;1;3,1;4;1;0,0;3;1;0|0;4;1;0,1;5;1;0,1;2;1;3,1;3;1;0,1;1;1;3,1;4;1;0,0;3;1;0|0;3;1;0,1;5;1;0,1;2;1;3,1;5;1;0,1;1;1;3,1;2;1;0,0;4;1;0|0;3;1;0,1;4;1;0,1;3;1;3,1;5;1;0,1;1;1;3,1;2;1;0,0;4;1;0|0;2;1;0,1;3;1;0,1;3;1;3,1;2;1;0,1;1;1;3,1;3;1;0,1;1;1;3,1;2;1;0,0;5;1;0|0;1;1;0,1;2;1;0,1;3;1;3,1;4;1;0,1;1;1;3,1;5;1;0,0;6;1;0|0;1;1;0,1;1;1;0,1;2;1;3,1;6;1;0,1;1;1;3,1;3;1;0,0;8;1;0|1;1;1;0,1;2;1;3,1;6;1;0,1;1;1;3,1;2;1;0,0;10;1;0",1,1,2
1018,1018,"0;9;1;0,1;10;1;0,0;9;1;0|1;5;1;0,0;3;1;0,1;12;1;0,0;3;1;0,1;5;1;0|0;1;1;0,1;5;1;0,0;1;1;0,1;14;1;0,0;1;1;0,1;5;1;0,0;1;1;0|0;2;1;0,1;4;1;0,1;1;1;2,1;14;1;0,1;1;1;2,1;4;1;0,0;2;1;0|0;1;1;0,1;5;1;0,1;1;1;2,1;14;1;0,1;1;1;2,1;5;1;0,0;1;1;0|1;6;1;0,1;1;1;2,1;14;1;0,1;1;1;2,1;6;1;0|1;6;1;0,1;1;1;2,1;14;1;0,1;1;1;2,1;6;1;0|0;1;1;0,1;5;1;0,1;1;1;2,1;14;1;0,1;1;1;2,1;5;1;0,0;1;1;0|0;2;1;0,1;4;1;0,1;1;1;2,1;14;1;0,1;1;1;2,1;4;1;0,0;2;1;0|0;1;1;0,1;5;1;0,0;1;1;0,1;14;1;0,0;1;1;0,1;5;1;0,0;1;1;0|1;5;1;0,0;3;1;0,1;12;1;0,0;3;1;0,1;5;1;0|0;9;1;0,1;10;1;0,0;9;1;0",1,1,2
1019,1019,"0;2;1;0,1;2;1;3,0;13;1;0,1;2;1;3,0;2;1;0|0;1;1;0,1;1;1;3,1;2;1;0,1;2;1;3,0;9;1;0,1;2;1;3,1;2;1;0,1;1;1;3,0;1;1;0|1;1;1;3,1;5;1;0,1;1;1;3,0;7;1;0,1;1;1;3,1;5;1;0,1;1;1;3|1;1;1;3,1;6;1;0,1;7;1;3,1;6;1;0,1;1;1;3|1;1;1;3,1;2;1;0,1;1;1;3,1;13;1;0,1;1;1;3,1;2;1;0,1;1;1;3|0;1;1;0,1;1;1;0,1;1;1;3,1;15;1;0,1;1;1;3,1;1;1;0,0;1;1;0|1;2;1;3,1;17;1;0,1;2;1;3|1;1;1;3,1;4;1;0,1;2;1;3,1;7;1;0,1;2;1;3,1;4;1;0,1;1;1;3|1;1;1;3,1;4;1;0,1;2;1;3,1;7;1;0,1;2;1;3,1;4;1;0,1;1;1;3|1;1;1;3,1;8;1;0,1;3;1;3,1;8;1;0,1;1;1;3|1;1;1;3,1;8;1;0,1;3;1;3,1;8;1;0,1;1;1;3|1;1;1;3,1;6;1;0,1;1;1;3,1;2;1;0,1;1;1;3,1;2;1;0,1;1;1;3,1;6;1;0,1;1;1;3|0;1;1;0,1;1;1;3,1;6;1;0,1;5;1;3,1;6;1;0,1;1;1;3,0;1;1;0|0;1;1;0,1;1;1;3,1;7;1;0,1;3;1;3,1;7;1;0,1;1;1;3,0;1;1;0|0;2;1;0,1;2;1;3,1;6;1;0,1;1;1;3,1;6;1;0,1;2;1;3,0;2;1;0|0;4;1;0,1;2;1;3,1;9;1;0,1;2;1;3,0;4;1;0|0;6;1;0,1;9;1;3,0;6;1;0",1,1,2
1020,1020,"0;9;1;0,1;2;1;0,0;9;1;0|0;6;1;0,1;8;1;0,0;6;1;0|0;4;1;0,1;12;1;0,0;4;1;0|0;3;1;0,1;14;1;0,0;3;1;0|0;2;1;0,1;16;1;0,0;2;1;0|0;2;1;0,1;16;1;0,0;2;1;0|0;1;1;0,1;18;1;0,0;1;1;0|0;1;1;0,1;18;1;0,0;1;1;0|1;20;1;0|0;9;1;0,1;2;1;0,0;9;1;0|0;9;1;0,1;2;1;0,0;9;1;0|0;9;1;0,1;2;1;0,0;9;1;0|0;9;1;0,1;2;1;0,0;9;1;0|0;9;1;0,1;2;1;0,0;9;1;0|0;9;1;0,1;2;1;0,0;9;1;0|0;5;1;0,1;2;1;0,0;2;1;0,1;2;1;0,0;9;1;0|0;5;1;0,1;6;1;0,0;9;1;0|0;6;1;0,1;4;1;0,0;10;1;0",1,1,2
1021,1021,"0;3;1;0,1;3;1;0,0;8;1;0,1;3;1;0,0;3;1;0|0;2;1;0,1;5;1;0,0;6;1;0,1;5;1;0,0;2;1;0|0;1;1;0,1;7;1;0,0;4;1;0,1;7;1;0,0;1;1;0|1;20;1;0|1;20;1;0|0;1;1;0,1;18;1;0,0;1;1;0|0;2;1;0,1;16;1;0,0;2;1;0|0;3;1;0,1;14;1;0,0;3;1;0|0;4;1;0,1;12;1;0,0;4;1;0|0;4;1;0,1;12;1;0,0;4;1;0|0;4;1;0,1;12;1;0,0;4;1;0|0;4;1;0,1;12;1;0,0;4;1;0|0;4;1;0,1;12;1;0,0;4;1;0|0;4;1;0,1;12;1;0,0;4;1;0|0;4;1;0,1;12;1;0,0;4;1;0|0;4;1;0,1;12;1;0,0;4;1;0",1,1,2
